Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	2	0
Feb 20, 2020	0	0	2	0
Feb 21, 2020	0	0	3	0
Feb 22, 2020	0	0	9	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	1	0	2	0
Feb 26, 2020	1	0	1	0
Feb 27, 2020	1	0	0	0
Feb 28, 2020	1	0	0	0
Feb 29, 2020	1	0	0	0
Mar 01, 2020	3	2	6	0
Mar 02, 2020	5	0	0	0
Mar 03, 2020	8	1	13	0
Mar 04, 2020	17	1	15	0
Mar 05, 2020	17	0	6	0
Mar 06, 2020	17	1	1	0
Mar 07, 2020	19	2	14	0
Mar 08, 2020	20	2	15	0
Mar 09, 2020	20	2	4	0
Mar 10, 2020	20	4	45	0
Mar 11, 2020	12	2	62	0
Mar 12, 2020	14	0	29	0
Mar 13, 2020	14	2	34	0
Mar 14, 2020	26	2	38	0
Mar 15, 2020	40	4	65	0
Mar 16, 2020	46	1	42	0
Mar 17, 2020	46	3	45	0
Mar 18, 2020	36	2	57	0
Mar 19, 2020	49	4	73	6
Mar 20, 2020	51	9	132	2
Mar 21, 2020	59	14	131	0
Mar 22, 2020	119	28	139	3
Mar 23, 2020	148	19	185	6
Mar 24, 2020	221	25	80	5
Mar 25, 2020	216	22	69	0
Mar 26, 2020	313	21	103	21
Mar 27, 2020	354	20	45	18
Mar 28, 2020	394	12	104	14
Mar 29, 2020	449	30	94	81
Mar 30, 2020	512	21	95	0
Mar 31, 2020	626	19	64	78
Apr 01, 2020	728	18	89	101
Apr 02, 2020	839	20	69	92
Apr 03, 2020	1004	13	87	101
Apr 04, 2020	1031	10	90	90
Apr 05, 2020	1078	12	108	110
Apr 06, 2020	1160	16	150	170
Apr 07, 2020	1162	3	116	217
Apr 08, 2020	1130	8	95	159
Apr 09, 2020	1084	9	89	297
Apr 10, 2020	1100	8	93	293
Apr 11, 2020	1090	10	99	195
Apr 12, 2020	1030	5	97	308
Apr 13, 2020	1069	8	120	279
Apr 14, 2020	1053	4	129	291
Apr 15, 2020	1116	6	126	362
Apr 16, 2020	1137	7	135	322
Apr 17, 2020	1208	5	132	414
Apr 18, 2020	1273	7	199	303
Apr 19, 2020	1207	6	158	338
Apr 20, 2020	1235	3	148	293
Apr 21, 2020	1267	6	141	417
Apr 22, 2020	1304	4	179	418
Apr 23, 2020	1245	2	174	523
Apr 24, 2020	1304	5	190	419
Apr 25, 2020	1358	6	159	278
Apr 26, 2020	1449	7	185	303
Apr 27, 2020	1527	5	187	383
Apr 28, 2020	1561	6	189	347
Apr 29, 2020	1702	8	165	523
Apr 30, 2020	1777	5	168	438
May 01, 2020	1880	8	176	554
May 02, 2020	1964	7	186	469
May 03, 2020	2075	7	189	374
May 04, 2020	2185	7	187	295
May 05, 2020	2301	6	192	479
May 06, 2020	2324	6	198	475
May 07, 2020	2376	7	182	496
May 08, 2020	2414	6	176	507
May 09, 2020	2518	7	165	445
May 10, 2020	2543	7	186	493
May 11, 2020	2543	7	190	520
May 12, 2020	2554	10	195	740
May 13, 2020	2673	8	193	790
May 14, 2020	2755	9	197	959
May 15, 2020	2822	8	194	1400
May 16, 2020	2870	6	160	1199
May 17, 2020	2964	7	140	952
May 18, 2020	3021	8	137	1342
May 19, 2020	3070	8	133	997
May 20, 2020	3006	7	127	1488
May 21, 2020	3091	8	119	1350
May 22, 2020	3080	6	113	1204
May 23, 2020	3095	6	107	1602
May 24, 2020	3128	8	98	1154
May 25, 2020	3147	9	104	1613
May 26, 2020	3162	8	115	2625
May 27, 2020	3105	9	104	2610
May 28, 2020	3090	8	111	2448
May 29, 2020	3074	9	117	1833
May 30, 2020	3072	8	102	2296
May 31, 2020	2993	9	105	2219
Jun 01, 2020	2958	10	109	0
Jun 02, 2020	2892	9	112	41227
Jun 03, 2020	2842	7	109	4575
Jun 04, 2020	2853	10	112	4883
Jun 05, 2020	2792	11	116	0
Jun 06, 2020	2721	11	121	0
Jun 07, 2020	2730	12	117	0
Jun 08, 2020	2751	14	119	0
Jun 09, 2020	2707	12	127	0
Jun 10, 2020	2678	8	140	30813
Jun 11, 2020	2593	7	149	4914
Jun 12, 2020	2625	9	156	5938
Jun 13, 2020	2630	8	172	6408
Jun 14, 2020	2546	9	197	5088
Jun 15, 2020	2519	7	240	7440
Jun 16, 2020	2517	7	283	0
Jun 17, 2020	2526	5	305	30209
Jun 18, 2020	2496	8	298	5050
Jun 19, 2020	2483	7	336	5118
Jun 20, 2020	2470	8	365	3960
Jun 21, 2020	2504	8	385	4828
Jun 22, 2020	2509	9	413	5173
Jun 23, 2020	2541	9	430	4523
Jun 24, 2020	2587	6	441	4234
Jun 25, 2020	2647	7	463	4104
Jun 26, 2020	2734	9	475	4624
Jun 27, 2020	2874	10	469	4155
Jun 28, 2020	3005	10	460	3944
Jun 29, 2020	2992	8	434	5075
Jun 30, 2020	3098	8	470	4214
Jul 01, 2020	3312	7	483	3804
Jul 02, 2020	3387	7	494	4096
Jul 03, 2020	3301	10	527	4102
Jul 04, 2020	3373	12	554	3587
Jul 05, 2020	3497	12	585	3339
Jul 06, 2020	3561	5	593	3874
Jul 07, 2020	3817	11	601	3458
Jul 08, 2020	4041	10	535	3219
Jul 09, 2020	4183	9	607	3131
Jul 10, 2020	4122	13	587	3061
Jul 11, 2020	4584	11	594	2788
Jul 12, 2020	4441	13	612	2654
Jul 13, 2020	4652	12	675	2664
Jul 14, 2020	4893	10	605	2865
Jul 15, 2020	4938	9	593	3216
Jul 16, 2020	5196	8	616	1513
Jul 17, 2020	5461	11	642	2635
Jul 18, 2020	5737	12	614	2345
Jul 19, 2020	5955	14	602	2198
Jul 20, 2020	6204	10	563	2824
Jul 21, 2020	6532	13	556	2425
Jul 22, 2020	6778	8	515	2190
Jul 23, 2020	6991	8	507	2265
Jul 24, 2020	7654	9	532	2473
Jul 25, 2020	7542	13	551	1926
Jul 26, 2020	8114	12	571	1859
Jul 27, 2020	7973	9	529	2378
Jul 28, 2020	8208	11	538	2225
Jul 29, 2020	8451	9	521	2071
Jul 30, 2020	8549	10	498	1699
Jul 31, 2020	8647	10	492	2180
Aug 01, 2020	8739	11	495	1904
Aug 02, 2020	8815	8	488	1565
Aug 03, 2020	8832	10	477	2354
Aug 04, 2020	8881	9	469	1961
Aug 05, 2020	8992	10	450	1877
Aug 06, 2020	9115	9	442	2000
Aug 07, 2020	9206	12	419	1965
Aug 08, 2020	9317	11	403	1693
Aug 09, 2020	9406	9	411	1516
Aug 10, 2020	9480	7	409	2199
Aug 11, 2020	9619	6	401	1878
Aug 12, 2020	9739	11	392	1712
Aug 13, 2020	9842	11	398	1906
Aug 14, 2020	10005	10	370	1914
Aug 15, 2020	10129	9	391	1877
Aug 16, 2020	10196	10	397	1557
Aug 17, 2020	10299	8	387	2055
Aug 18, 2020	10400	8	378	1845
