Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	1	0	0
Feb 16, 2020	0	0	1	0
Feb 17, 2020	0	0	6	0
Feb 18, 2020	0	1	1	0
Feb 19, 2020	0	0	3	0
Feb 20, 2020	0	3	5	0
Feb 21, 2020	0	0	2	0
Feb 22, 2020	0	0	2	0
Feb 23, 2020	0	0	10	0
Feb 24, 2020	0	0	3	0
Feb 25, 2020	0	0	11	0
Feb 26, 2020	0	3	11	0
Feb 27, 2020	0	0	9	0
Feb 28, 2020	0	3	14	0
Feb 29, 2020	0	0	18	0
Mar 01, 2020	0	0	31	0
Mar 02, 2020	0	5	30	0
Mar 03, 2020	1	5	0	0
Mar 04, 2020	1	10	108	0
Mar 05, 2020	2	3	35	0
Mar 06, 2020	8	16	86	0
Mar 07, 2020	8	3	115	0
Mar 08, 2020	10	8	87	0
Mar 09, 2020	15	10	0	0
Mar 10, 2020	17	13	156	0
Mar 11, 2020	18	10	75	0
Mar 12, 2020	28	16	0	0
Mar 13, 2020	28	3	234	0
Mar 14, 2020	39	8	79	3
Mar 15, 2020	47	18	132	0
Mar 16, 2020	56	18	88	0
Mar 17, 2020	70	13	98	0
Mar 18, 2020	88	37	103	0
Mar 19, 2020	116	8	74	0
Mar 20, 2020	146	18	87	0
Mar 21, 2020	143	3	80	24
Mar 22, 2020	227	21	99	24
Mar 23, 2020	238	10	81	1
Mar 24, 2020	318	26	167	0
Mar 25, 2020	428	26	0	20
Mar 26, 2020	485	3	135	0
Mar 27, 2020	482	24	0	0
Mar 28, 2020	622	5	294	19
Mar 29, 2020	675	21	98	137
Mar 30, 2020	530	24	0	12
Mar 31, 2020	742	21	170	8
Apr 01, 2020	800	16	102	8
Apr 02, 2020	914	29	90	10
Apr 03, 2020	976	24	113	13
Apr 04, 2020	1058	18	144	1
Apr 05, 2020	1152	13	147	45
Apr 06, 2020	1163	26	172	13
Apr 07, 2020	1219	18	173	20
Apr 08, 2020	1266	10	112	7
Apr 09, 2020	1321	18	111	10
Apr 10, 2020	1384	31	124	65
Apr 11, 2020	1468	24	158	28
Apr 12, 2020	1437	37	143	47
Apr 13, 2020	1504	10	104	44
Apr 14, 2020	1450	24	149	37
Apr 15, 2020	1681	24	102	35
Apr 16, 2020	1718	29	104	35
Apr 17, 2020	1680	18	133	19
Apr 18, 2020	1807	13	188	24
Apr 19, 2020	1880	24	163	28
Apr 20, 2020	1921	13	240	103
Apr 21, 2020	1907	26	165	32
Apr 22, 2020	1998	63	258	47
Apr 23, 2020	2082	8	244	57
Apr 24, 2020	2168	18	285	54
Apr 25, 2020	2263	26	316	77
Apr 26, 2020	2280	24	255	33
Apr 27, 2020	2345	29	345	22
Apr 28, 2020	2421	26	326	30
Apr 29, 2020	2531	34	263	64
Apr 30, 2020	2600	45	303	36
May 01, 2020	2650	31	438	28
May 02, 2020	2740	18	474	34
May 03, 2020	2784	39	648	88
May 04, 2020	2763	45	718	30
May 05, 2020	2856	42	704	52
May 06, 2020	2968	21	723	77
May 07, 2020	3030	31	552	58
May 08, 2020	3183	21	600	69
May 09, 2020	3261	29	705	29
May 10, 2020	3477	45	769	80
May 11, 2020	3617	34	717	25
May 12, 2020	3864	37	795	404
May 13, 2020	3750	66	637	119
May 14, 2020	3823	63	564	112
May 15, 2020	4048	42	904	37
May 16, 2020	4319	42	949	35
May 17, 2020	4521	76	929	56
May 18, 2020	4744	63	840	247
May 19, 2020	4906	47	983	61
May 20, 2020	5293	79	774	99
May 21, 2020	5808	52	826	30
May 22, 2020	6451	79	1141	468
May 23, 2020	6656	47	1226	202
May 24, 2020	7159	55	1386	267
May 25, 2020	7405	63	1391	168
May 26, 2020	7792	92	1531	182
May 27, 2020	8273	92	1282	268
May 28, 2020	8753	81	1208	171
May 29, 2020	9268	34	1374	0
May 30, 2020	10042	50	1393	548
May 31, 2020	10102	84	1958	185
Jun 01, 2020	10436	92	2060	188
Jun 02, 2020	11118	100	1634	187
Jun 03, 2020	11843	89	1581	97
Jun 04, 2020	12609	89	2146	95
Jun 05, 2020	13291	60	2272	92
Jun 06, 2020	14140	66	2648	729
Jun 07, 2020	14143	126	2606	396
Jun 08, 2020	14497	71	2886	263
Jun 09, 2020	15312	47	2401	423
Jun 10, 2020	16068	85	2189	341
Jun 11, 2020	17034	121	2335	411
Jun 12, 2020	17962	126	2262	340
Jun 13, 2020	19074	115	2667	481
Jun 14, 2020	19828	96	2744	327
Jun 15, 2020	20654	154	2845	283
Jun 16, 2020	21682	159	2590	338
Jun 17, 2020	22645	179	2439	209
Jun 18, 2020	24302	132	2632	1130
Jun 19, 2020	25151	127	2979	355
Jun 20, 2020	26396	165	3604	522
Jun 21, 2020	27405	120	3663	425
Jun 22, 2020	29042	207	3367	423
Jun 23, 2020	30799	193	3449	240
Jun 24, 2020	33107	181	2657	972
Jun 25, 2020	34652	211	3099	3628
Jun 26, 2020	33821	192	3645	727
Jun 27, 2020	35435	120	4236	991
Jun 28, 2020	36567	152	3637	1004
Jun 29, 2020	37772	212	4518	890
Jun 30, 2020	39073	244	3223	1012
Jul 01, 2020	40681	218	4231	1146
Jul 02, 2020	42194	246	4019	1038
Jul 03, 2020	43880	189	5344	706
Jul 04, 2020	45638	139	5782	1667
Jul 05, 2020	46295	162	6127	934
Jul 06, 2020	47897	206	5493	1564
Jul 07, 2020	49158	190	4814	6407
Jul 08, 2020	46196	193	4192	1811
Jul 09, 2020	47869	196	4890	671
Jul 10, 2020	50433	211	5939	2424
Jul 11, 2020	51331	137	5641	1286
Jul 12, 2020	52537	183	6377	1479
Jul 13, 2020	54037	266	5929	1294
Jul 14, 2020	56181	265	5241	1831
Jul 15, 2020	58393	276	5376	1822
Jul 16, 2020	60027	275	4824	660
Jul 17, 2020	63674	199	6792	2827
Jul 18, 2020	63878	133	7147	1498
Jul 19, 2020	66491	154	7513	1808
Jul 20, 2020	68550	215	7482	2685
Jul 21, 2020	70997	249	6134	1933
Jul 22, 2020	74602	219	4688	2284
Jul 23, 2020	78227	243	7369	2632
Jul 24, 2020	80842	230	7043	2575
Jul 25, 2020	82892	159	7663	2496
Jul 26, 2020	84449	171	7498	2057
Jul 27, 2020	87120	179	6365	2508
Jul 28, 2020	90345	281	6663	2772
Jul 29, 2020	93024	261	5469	2741
Jul 30, 2020	96467	273	4557	3184
Jul 31, 2020	99016	229	6840	2719
Aug 01, 2020	101327	358	6693	2527
Aug 02, 2020	104039	332	8225	2276
Aug 03, 2020	106404	282	8159	2827
Aug 04, 2020	110103	324	7759	2819
Aug 05, 2020	114166	300	5352	2904
Aug 06, 2020	118499	290	8713	3445
Aug 07, 2020	122261	181	8771	4945
Aug 08, 2020	123251	177	10550	61867
Aug 09, 2020	65939	302	10104	4865
Aug 10, 2020	68289	301	11717	6415
Aug 11, 2020	68702	267	9230	5894
Aug 12, 2020	70222	247	7187	5151
Aug 13, 2020	72350	252	9309	6571
Aug 14, 2020	71901	171	10504	6692
Aug 15, 2020	71642	136	10933	6005
Aug 16, 2020	70947	281	12026	6148
Aug 17, 2020	69185	231	10684	5681
Aug 18, 2020	70165	222	9924	5194
Aug 19, 2020	71383	248	6986	4926
Aug 20, 2020	74421	193	9215	6155
Aug 21, 2020	76152	174	12027	5975
Aug 22, 2020	77707	106	12259	5619
Aug 23, 2020	77082	194	11905	5389
Aug 24, 2020	80074	168	11507	6413
Aug 25, 2020	82150	150	10776	5599
Aug 26, 2020	86777	158	9056	5657
Aug 27, 2020	90924	171	9909	5707
Aug 28, 2020	96644	100	11892	7055
Aug 29, 2020	98638	64	11674	6787
Aug 30, 2020	98861	102	12701	7188
Aug 31, 2020	100680	89	11945	7181
Sep 01, 2020	103702	109	9276	7154
Sep 02, 2020	107214	67	8431	6931
Sep 03, 2020	112062	61	8782	9160
Sep 04, 2020	113334	40	12027	8760
Sep 05, 2020	114327	23	12625	8751
Sep 06, 2020	112426	49	13467	8256
Sep 07, 2020	113104	33	12969	9202
Sep 08, 2020	115698	15	11249	15900
Sep 09, 2020	111835	6	8841	7608
Sep 10, 2020	115884	311	11807	10023
Sep 11, 2020	117175	196	13477	9650
Sep 12, 2020	118127	223	14392	9742
Sep 13, 2020	117335	450	14001	9440
Sep 14, 2020	117610	359	14687	9930
Sep 15, 2020	119404	399	11129	9380
Sep 16, 2020	121548	484	7668	8084
Sep 17, 2020	126007	515	11242	10939
Sep 18, 2020	126842	356	14740	10791
Sep 19, 2020	125227	287	16447	10154
Sep 20, 2020	123440	318	15454	20332
Sep 21, 2020	111788	386	15099	8665
Sep 22, 2020	115061	349	12414	8258
Sep 23, 2020	119319	421	10324	11103
Sep 24, 2020	121616	381	9524	10335
Sep 25, 2020	124189	384	13305	9565
Sep 26, 2020	125833	160	14932	9446
Sep 27, 2020	125205	449	17096	10780
Sep 28, 2020	126183	384	16546	9142
Sep 29, 2020	130485	419	13510	8788
Sep 30, 2020	136074	438	10561	8495
Oct 01, 2020	141574	381	12982	11375
Oct 02, 2020	144575	275	16337	11599
Oct 03, 2020	143909	283	18326	10558
Oct 04, 2020	140796	405	16325	12345
Oct 05, 2020	139243	429	15718	11255
Oct 06, 2020	142369	341	11968	10453
Oct 07, 2020	147964	371	9253	14119
Oct 08, 2020	148815	350	11712	12297
Oct 09, 2020	151102	210	14308	12323
Oct 10, 2020	150837	138	13924	11916
Oct 11, 2020	148958	483	13267	11202
Oct 12, 2020	146962	429	13379	9653
Oct 13, 2020	150228	468	9745	8911
Oct 14, 2020	155900	246	6609	13713
Oct 15, 2020	158862	370	9598	13642
Oct 16, 2020	161385	212	12145	12673
Oct 17, 2020	161838	212	10652	12791
Oct 18, 2020	159448	347	11100	0
Oct 19, 2020	171981	276	11786	25682
Oct 20, 2020	162252	348	8037	10873
Oct 21, 2020	169286	251	5331	11334
Oct 22, 2020	173839	263	8317	14841
Oct 23, 2020	174335	262	11977	14418
Oct 24, 2020	171610	129	10880	13706
Oct 25, 2020	166874	291	11163	14767
Oct 26, 2020	163414	379	11859	11758
Oct 27, 2020	165535	241	8468	9803
Oct 28, 2020	169315	185	5645	14987
Oct 29, 2020	167224	258	7893	14967
Oct 30, 2020	165286	112	10621	12838
Oct 31, 2020	161983	100	10332	11377
Nov 01, 2020	157077	120	10097	12700
Nov 02, 2020	153492	310	9608	11262
Nov 03, 2020	153946	282	7140	8369
Nov 04, 2020	155761	227	4184	12490
Nov 05, 2020	154125	275	4265	12100
Nov 06, 2020	153441	106	7164	11076
Nov 07, 2020	150190	151	8593	9598
Nov 08, 2020	145711	257	9043	10666
Nov 09, 2020	143015	198	7846	8320
Nov 10, 2020	146396	228	6098	0
Nov 11, 2020	156928	149	5432	18283
Nov 12, 2020	149557	207	5726	10297
Nov 13, 2020	150856	120	8037	8889
Nov 14, 2020	150173	138	7533	9736
Nov 15, 2020	145953	118	7629	11094
Nov 16, 2020	142461	121	6899	8637
Nov 17, 2020	144066	213	5201	7641
Nov 18, 2020	146516	209	3278	11040
Nov 19, 2020	145388	175	3199	10305
Nov 20, 2020	144433	62	3610	9234
Nov 21, 2020	142227	98	5303	8439
Nov 22, 2020	137872	275	6994	8308
Nov 23, 2020	133709	163	7112	6834
Nov 24, 2020	133729	161	5274	6650
Nov 25, 2020	135390	169	3558	9378
Nov 26, 2020	134828	138	5062	8595
Nov 27, 2020	133804	91	6981	7620
Nov 28, 2020	132176	50	6843	6966
Nov 29, 2020	130491	184	7326	7384
Nov 30, 2020	128576	257	7002	6024
Dec 01, 2020	130391	60	5795	5107
Dec 02, 2020	132589	78	4116	6317
Dec 03, 2020	133752	30	5853	7280
Dec 04, 2020	133164	79	8141	6830
Dec 05, 2020	131415	149	8586	5907
Dec 06, 2020	128648	218	7815	6004
Dec 07, 2020	125725	150	2874	4891
Dec 08, 2020	124323	145	3713	5901
Dec 09, 2020	123512	82	5030	6699
Dec 10, 2020	123598	74	7216	6605
Dec 11, 2020	123930	56	11650	5368
Dec 12, 2020	123774	107	11765	5157
Dec 13, 2020	122077	152	11586	4803
Dec 14, 2020	122061	151	4080	4180
Dec 15, 2020	124699	191	5240	3614
Dec 16, 2020	127767	146	5884	4642
Dec 17, 2020	130282	151	8222	4199
Dec 18, 2020	132947	144	13790	5862
Dec 19, 2020	132789	78	13441	5729
Dec 20, 2020	131126	159	13835	6055
Dec 21, 2020	130740	194	13346	5325
Dec 22, 2020	133299	135	11057	4551
Dec 23, 2020	137274	142	7808	0
Dec 24, 2020	145011	102	8704	0
Dec 25, 2020	147855	68	13783	17950
Dec 26, 2020	133539	112	12725	5699
Dec 27, 2020	132721	425	13286	6754
Dec 28, 2020	132965	234	12332	6205
Dec 29, 2020	138260	150	8932	5791
Dec 30, 2020	144089	139	7264	0
Dec 31, 2020	155593	220	8185	0
Jan 01, 2021	159599	162	12141	20416
Jan 02, 2021	144367	90	12112	5868
Jan 03, 2021	144276	207	11396	5123
Jan 04, 2021	147223	219	10753	8533
Jan 05, 2021	152329	182	8362	7432
Jan 06, 2021	158147	166	5031	10746
Jan 07, 2021	161090	174	7578	10102
Jan 08, 2021	164183	156	10409	9434
Jan 09, 2021	165662	43	10843	7420
Jan 10, 2021	165972	275	9471	6965
Jan 11, 2021	167552	177	9838	9146
Jan 12, 2021	171995	113	6902	8562
Jan 13, 2021	176023	161	4975	13067
Jan 14, 2021	176100	285	6614	12473
Jan 15, 2021	175857	125	9695	11141
Jan 16, 2021	173580	61	9196	10361
Jan 17, 2021	170371	227	8891	11303
Jan 18, 2021	166828	168	8374	9605
Jan 19, 2021	169130	108	6680	9400
Jan 20, 2021	171692	200	3658	11982
Jan 21, 2021	170967	155	5154	11071
Jan 22, 2021	170429	159	7794	9842
Jan 23, 2021	168787	48	7739	9481
Jan 24, 2021	164247	91	7311	10378
Jan 25, 2021	161240	105	7151	8028
Jan 26, 2021	163402	184	6057	8008
Jan 27, 2021	166055	241	4245	10583
Jan 28, 2021	164777	143	3259	10313
Jan 29, 2021	164128	122	4003	9409
Jan 30, 2021	161465	76	6064	8782
Jan 31, 2021	157615	161	7671	8349
Feb 01, 2021	155605	151	7886	8769
Feb 02, 2021	156354	140	5944	6440
Feb 03, 2021	158997	145	3709	9497
Feb 04, 2021	158230	92	5417	9057
Feb 05, 2021	157262	59	7477	8297
Feb 06, 2021	155520	19	8183	6906
Feb 07, 2021	152211	112	8234	7213
Feb 08, 2021	149925	115	5083	6143
Feb 09, 2021	151408	261	5469	5799
Feb 10, 2021	153240	191	3168	8140
Feb 11, 2021	152211	140	4658	7900
Feb 12, 2021	151307	86	6653	6805
Feb 13, 2021	150400	10	7855	6153
Feb 14, 2021	148444	241	7432	6324
Feb 15, 2021	145288	131	7891	4849
Feb 16, 2021	144337	107	4860	4587
Feb 17, 2021	145630	134	2922	6573
Feb 18, 2021	146487	85	5058	6194
Feb 19, 2021	148036	68	7307	5788
Feb 20, 2021	148070	24	7693	5068
Feb 21, 2021	146635	166	8204	5712
Feb 22, 2021	146179	200	7849	5685
Feb 23, 2021	147820	195	6278	4670
Feb 24, 2021	151193	155	3697	4164
Feb 25, 2021	155118	90	6164	6102
Feb 26, 2021	154007	41	8235	6253
Feb 27, 2021	153164	28	8304	5934
Feb 28, 2021	150379	126	8328	6317
Mar 01, 2021	148608	152	8160	5598
Mar 02, 2021	149548	123	6826	4653
Mar 03, 2021	152489	146	4032	6788
