Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	1
Feb 17, 2020	0	1	0	2
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	1	0	0
Feb 20, 2020	0	1	2	2
Feb 21, 2020	0	1	0	1
Feb 22, 2020	1	0	3	1
Feb 23, 2020	1	0	2	-6
Feb 24, 2020	1	0	4	7
Feb 25, 2020	5	0	4	0
Feb 26, 2020	5	0	2	6
Feb 27, 2020	7	0	4	0
Feb 28, 2020	8	1	9	0
Feb 29, 2020	13	0	6	2
Mar 01, 2020	19	0	0	0
Mar 02, 2020	27	2	5	0
Mar 03, 2020	32	1	4	0
Mar 04, 2020	35	3	0	1
Mar 05, 2020	37	5	0	0
Mar 06, 2020	41	3	1	0
Mar 07, 2020	49	1	2	2
Mar 08, 2020	58	6	3	0
Mar 09, 2020	61	3	2	0
Mar 10, 2020	49	4	5	1
Mar 11, 2020	49	5	9	1
Mar 12, 2020	51	7	18	0
Mar 13, 2020	68	4	35	0
Mar 14, 2020	74	10	41	0
Mar 15, 2020	88	15	54	0
Mar 16, 2020	91	9	112	6
Mar 17, 2020	102	7	94	1
Mar 18, 2020	111	10	58	0
Mar 19, 2020	130	9	139	0
Mar 20, 2020	142	10	182	2
Mar 21, 2020	146	7	209	0
Mar 22, 2020	156	4	219	8
Mar 23, 2020	181	9	341	0
Mar 24, 2020	214	5	266	18
Mar 25, 2020	214	7	306	18
Mar 26, 2020	241	3	312	9
Mar 27, 2020	296	8	492	0
Mar 28, 2020	333	5	434	132
Mar 29, 2020	362	2	390	0
Mar 30, 2020	432	5	414	113
Mar 31, 2020	474	2	503	163
Apr 01, 2020	494	5	309	0
Apr 02, 2020	516	1	418	107
Apr 03, 2020	540	3	497	62
Apr 04, 2020	563	13	549	119
Apr 05, 2020	621	7	641	0
Apr 06, 2020	623	8	564	95
Apr 07, 2020	684	14	571	0
Apr 08, 2020	681	11	552	52
Apr 09, 2020	667	11	665	73
Apr 10, 2020	659	19	688	122
Apr 11, 2020	645	14	786	83
Apr 12, 2020	636	15	790	70
Apr 13, 2020	583	16	706	117
Apr 14, 2020	556	14	709	92
Apr 15, 2020	524	21	636	96
Apr 16, 2020	498	21	887	96
