Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	1	0
Feb 29, 2020	1	0	17	0
Mar 01, 2020	18	0	19	0
Mar 02, 2020	37	0	34	0
Mar 03, 2020	71	0	53	0
Mar 04, 2020	124	0	81	0
Mar 05, 2020	205	0	110	0
Mar 06, 2020	315	1	27	0
Mar 07, 2020	342	3	64	0
Mar 08, 2020	406	1	94	0
Mar 09, 2020	500	3	99	0
Mar 10, 2020	599	5	174	0
Mar 11, 2020	772	6	250	0
Mar 12, 2020	1019	11	338	0
Mar 13, 2020	1356	10	179	1
Mar 14, 2020	1532	-39	214	0
Mar 15, 2020	1741	1	387	0
Mar 16, 2020	2109	3	422	0
Mar 17, 2020	2503	3	534	0
Mar 18, 2020	2893	7	713	0
Mar 19, 2020	3606	7	662	0
Mar 20, 2020	4208	11	469	0
Mar 21, 2020	4674	15	486	0
Mar 22, 2020	5019	25	1328	0
Mar 23, 2020	6280	35	1195	0
Mar 24, 2020	7382	40	1199	6
Mar 25, 2020	8442	41	1363	0
Mar 26, 2020	9607	55	1518	0
Mar 27, 2020	10895	82	844	0
Mar 28, 2020	11408	76	683	0
Mar 29, 2020	11883	111	1738	0
Mar 30, 2020	13411	102	1681	0
Mar 31, 2020	14601	136	1516	49
Apr 01, 2020	15672	143	1478	0
Apr 02, 2020	16697	145	1694	0
Apr 03, 2020	17905	171	922	60
Apr 04, 2020	18221	201	665	18
Apr 05, 2020	18515	241	1934	28
Apr 06, 2020	20135	214	1515	29
Apr 07, 2020	20981	242	1598	31
Apr 08, 2020	21925	270	2239	62
Apr 09, 2020	23559	245	2336	34
Apr 10, 2020	25236	255	1029	57
Apr 11, 2020	25574	276	524	64
Apr 12, 2020	25612	324	537	48
Apr 13, 2020	25718	271	1560	131
Apr 14, 2020	26794	303	1633	50
Apr 15, 2020	27717	288	1674	106
Apr 16, 2020	28716	268	1394	92
Apr 17, 2020	29399	276	722	115
Apr 18, 2020	29441	259	443	59
Apr 19, 2020	29443	280	1276	93
Apr 20, 2020	30324	245	1270	164
Apr 21, 2020	30895	205	777	216
Apr 22, 2020	31029	210	976	227
Apr 23, 2020	31424	186	811	204
Apr 24, 2020	31660	209	388	182
Apr 25, 2020	31435	191	205	139
Apr 26, 2020	31342	181	755	201
Apr 27, 2020	31822	157	569	189
Apr 28, 2020	31865	155	522	370
Apr 29, 2020	31885	142	586	211
Apr 30, 2020	31964	152	237	255
May 01, 2020	31701	132	286	271
May 02, 2020	31732	113	140	183
May 03, 2020	31648	107	670	150
May 04, 2020	32113	91	546	185
May 05, 2020	32217	94	552	375
May 06, 2020	32388	79	442	207
May 07, 2020	31885	91	483	322
May 08, 2020	31123	93	240	253
May 09, 2020	29766	84	118	261
May 10, 2020	28177	77	476	118
May 11, 2020	27295	69	395	315
May 12, 2020	26035	79	321	279
May 13, 2020	25366	77	305	286
May 14, 2020	25113	72	346	222
May 15, 2020	22971	66	147	257
May 16, 2020	21858	47	81	276
May 17, 2020	20561	60	317	177
May 18, 2020	19787	46	292	275
May 19, 2020	18731	47	385	280
May 20, 2020	17596	29	70	269
May 21, 2020	16676	32	248	279
May 22, 2020	15965	39	123	246
May 23, 2020	15175	36	75	217
May 24, 2020	13732	31	314	82
May 25, 2020	13018	38	202	744
May 26, 2020	12405	42	182	310
May 27, 2020	12019	28	171	230
May 28, 2020	11532	32	165	132
May 29, 2020	11167	26	61	324
May 30, 2020	10546	26	49	255
May 31, 2020	10063	25	59	178
Jun 01, 2020	9631	28	181	277
Jun 02, 2020	9412	16	159	288
Jun 03, 2020	9207	25	172	213
Jun 04, 2020	9131	22	154	183
Jun 05, 2020	9002	21	69	231
Jun 06, 2020	8416	24	53	214
Jun 07, 2020	7873	19	152	143
Jun 08, 2020	7427	17	145	198
Jun 09, 2020	7074	13	119	215
Jun 10, 2020	6816	11	95	285
Jun 11, 2020	6569	12	89	109
Jun 12, 2020	6444	10	49	299
Jun 13, 2020	6179	12	22	122
Jun 14, 2020	5837	15	147	157
Jun 15, 2020	5631	9	99	271
Jun 16, 2020	5435	10	123	267
Jun 17, 2020	5276	5	108	396
Jun 18, 2020	5147	5	121	381
Jun 19, 2020	5066	8	50	483
Jun 20, 2020	4859	9	20	502
Jun 21, 2020	4596	8	143	393
Jun 22, 2020	4444	5	110	497
Jun 23, 2020	4279	4	100	561
Jun 24, 2020	4125	4	76	520
Jun 25, 2020	4082	8	113	564
Jun 26, 2020	4055	12	41	754
Jun 27, 2020	3836	4	24	576
Jun 28, 2020	3652	5	127	349
Jun 29, 2020	3655	5	100	384
Jun 30, 2020	3555	2	135	510
Jul 01, 2020	3550	8	93	418
Jul 02, 2020	3543	5	94	442
Jul 03, 2020	3567	3	64	476
Jul 04, 2020	3546	8	24	619
Jul 05, 2020	3431	3	112	220
Jul 06, 2020	3372	4	99	272
Jul 07, 2020	3313	2	137	640
Jul 08, 2020	3328	4	124	599
Jul 09, 2020	3356	2	127	571
Jul 10, 2020	3350	1	62	587
Jul 11, 2020	3266	3	43	513
Jul 12, 2020	3201	1	224	367
Jul 13, 2020	3326	2	207	241
Jul 14, 2020	3420	2	260	736
Jul 15, 2020	3611	4	226	436
Jul 16, 2020	3784	1	274	577
Jul 17, 2020	3973	3	130	419
Jul 18, 2020	3999	5	64	368
Jul 19, 2020	3936	5	443	247
Jul 20, 2020	4302	2	145	232
Jul 21, 2020	4448	3	553	368
Jul 22, 2020	4999	2	439	402
Jul 23, 2020	5175	2	496	456
Jul 24, 2020	5580	1	229	422
Jul 25, 2020	5703	2	184	334
Jul 26, 2020	5786	2	595	103
Jul 27, 2020	6278	5	685	187
Jul 28, 2020	6879	1	703	147
Jul 29, 2020	7516	2	635	453
Jul 30, 2020	8086	6	684	344
Jul 31, 2020	8688	1	309	387
Aug 01, 2020	8906	3	148	335
Aug 02, 2020	8926	2	794	172
Aug 03, 2020	9612	5	813	175
Aug 04, 2020	10351	1	767	265
Aug 05, 2020	11015	5	769	321
Aug 06, 2020	11744	5	771	399
Aug 07, 2020	12452	7	304	362
Aug 08, 2020	12670	5	122	288
Aug 09, 2020	12646	4	873	186
Aug 10, 2020	13407	7	718	273
Aug 11, 2020	13994	2	609	461
Aug 12, 2020	14508	5	669	350
Aug 13, 2020	15109	11	587	401
Aug 14, 2020	15613	12	163	491
Aug 15, 2020	15614	11	132	277
Aug 16, 2020	15554	14	707	229
Aug 17, 2020	16002	12	725	284
Aug 18, 2020	16516	10	612	456
Aug 19, 2020	16941	8	581	382
Aug 20, 2020	17319	7	510	548
