Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	4	0	0
Feb 16, 2020	0	3	1	0
Feb 17, 2020	0	1	7	0
Feb 18, 2020	0	1	0	0
Feb 19, 2020	0	1	0	0
Feb 20, 2020	0	1	1	0
Feb 21, 2020	0	0	1	0
Feb 22, 2020	0	1	0	0
Feb 23, 2020	0	4	3	0
Feb 24, 2020	0	1	1	0
Feb 25, 2020	0	4	3	0
Feb 26, 2020	0	1	5	0
Feb 27, 2020	0	1	3	0
Feb 28, 2020	0	5	2	0
Feb 29, 2020	0	4	3	0
Mar 01, 2020	0	1	29	0
Mar 02, 2020	0	0	0	0
Mar 03, 2020	0	1	13	0
Mar 04, 2020	0	3	7	0
Mar 05, 2020	0	0	16	0
Mar 06, 2020	0	1	10	0
Mar 07, 2020	0	1	8	0
Mar 08, 2020	0	1	8	0
Mar 09, 2020	0	4	9	0
Mar 10, 2020	2	4	7	0
Mar 11, 2020	2	4	18	0
Mar 12, 2020	3	1	26	0
Mar 13, 2020	10	3	11	0
Mar 14, 2020	10	5	16	0
Mar 15, 2020	10	4	54	0
Mar 16, 2020	11	3	4	0
Mar 17, 2020	12	5	7	0
Mar 18, 2020	12	4	25	0
Mar 19, 2020	15	5	30	6
Mar 20, 2020	16	6	24	2
Mar 21, 2020	19	6	43	0
Mar 22, 2020	24	8	44	3
Mar 23, 2020	27	5	24	6
Mar 24, 2020	29	6	28	5
Mar 25, 2020	32	14	27	0
Mar 26, 2020	61	5	44	21
Mar 27, 2020	61	10	34	18
Mar 28, 2020	74	5	11	14
Mar 29, 2020	80	5	63	81
Mar 30, 2020	92	8	31	0
Mar 31, 2020	99	18	104	78
Apr 01, 2020	105	13	59	101
Apr 02, 2020	112	15	84	92
Apr 03, 2020	120	1	64	101
Apr 04, 2020	126	5	39	90
Apr 05, 2020	143	6	57	110
Apr 06, 2020	168	19	57	170
Apr 07, 2020	175	13	62	217
Apr 08, 2020	190	21	241	159
Apr 09, 2020	240	19	124	297
Apr 10, 2020	243	13	87	293
Apr 11, 2020	249	13	121	195
Apr 12, 2020	269	14	84	308
Apr 13, 2020	295	17	195	279
Apr 14, 2020	314	8	185	291
Apr 15, 2020	356	17	171	362
Apr 16, 2020	392	9	119	322
Apr 17, 2020	401	13	275	414
Apr 18, 2020	424	4	133	303
Apr 19, 2020	450	40	184	338
Apr 20, 2020	493	44	224	293
Apr 21, 2020	520	32	205	417
Apr 22, 2020	520	19	249	418
Apr 23, 2020	579	15	262	523
Apr 24, 2020	606	36	175	419
Apr 25, 2020	699	14	218	278
Apr 26, 2020	735	13	438	303
Apr 27, 2020	808	15	268	383
Apr 28, 2020	850	33	392	347
Apr 29, 2020	874	28	336	523
Apr 30, 2020	919	35	348	438
May 01, 2020	957	35	397	554
May 02, 2020	1012	35	476	469
May 03, 2020	1222	28	632	374
May 04, 2020	1333	36	619	295
May 05, 2020	1404	27	344	479
May 06, 2020	1507	23	861	475
May 07, 2020	1574	23	390	496
May 08, 2020	1734	33	549	507
May 09, 2020	1896	44	460	445
May 10, 2020	2036	62	647	493
May 11, 2020	2135	35	607	520
May 12, 2020	2379	40	483	740
May 13, 2020	2490	49	630	790
May 14, 2020	2630	28	285	959
May 15, 2020	2824	47	306	1400
May 16, 2020	2936	58	695	1199
May 17, 2020	3145	76	637	952
May 18, 2020	3382	68	884	1342
May 19, 2020	3541	104	764	997
May 20, 2020	3710	93	913	1488
May 21, 2020	4115	64	617	1350
May 22, 2020	4354	77	614	1204
May 23, 2020	4713	73	810	1602
May 24, 2020	5002	55	802	1154
May 25, 2020	5317	71	814	1613
May 26, 2020	5682	62	977	2625
May 27, 2020	6111	81	1036	2610
May 28, 2020	6723	85	876	2448
May 29, 2020	7276	68	1105	1833
May 30, 2020	7600	69	896	2296
May 31, 2020	8308	78	1098	2219
Jun 01, 2020	8615	42	1016	0
Jun 02, 2020	8955	58	920	41227
Jun 03, 2020	9210	55	1253	4575
Jun 04, 2020	9616	86	848	4883
