Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	1	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	1	0
Feb 23, 2020	0	0	5	0
Feb 24, 2020	0	0	5	0
Feb 25, 2020	1	0	6	0
Feb 26, 2020	1	0	6	0
Feb 27, 2020	1	0	0	0
Feb 28, 2020	1	0	9	0
Feb 29, 2020	2	0	18	0
Mar 01, 2020	2	0	25	0
Mar 02, 2020	2	0	74	0
Mar 03, 2020	2	0	0	0
Mar 04, 2020	3	0	49	0
Mar 05, 2020	8	1	34	0
Mar 06, 2020	13	3	113	0
Mar 07, 2020	19	3	184	0
Mar 08, 2020	25	4	112	0
Mar 09, 2020	25	7	332	0
Mar 10, 2020	34	7	209	0
Mar 11, 2020	52	9	370	0
Mar 12, 2020	77	12	380	1
Mar 13, 2020	150	13	325	0
Mar 14, 2020	150	18	309	1
Mar 15, 2020	198	15	434	0
Mar 16, 2020	232	22	435	0
Mar 17, 2020	344	22	490	0
Mar 18, 2020	525	27	354	0
Mar 19, 2020	634	38	376	0
Mar 20, 2020	962	41	1092	0
Mar 21, 2020	1164	82	1169	0
Mar 22, 2020	1527	39	1170	0
Mar 23, 2020	1898	82	1156	0
Mar 24, 2020	2211	41	1172	0
Mar 25, 2020	2507	78	898	4
Mar 26, 2020	2919	122	934	0
Mar 27, 2020	3339	134	1861	0
Mar 28, 2020	3807	134	2167	0
Mar 29, 2020	4139	114	1968	115
Mar 30, 2020	4373	72	1653	7
Mar 31, 2020	5420	83	1179	0
Apr 01, 2020	6548	105	1237	0
Apr 02, 2020	7636	204	1245	0
Apr 03, 2020	8753	225	1842	0
Apr 04, 2020	9843	190	3367	0
Apr 05, 2020	10700	194	2085	0
Apr 06, 2020	11556	220	3016	0
Apr 07, 2020	13295	101	3057	0
Apr 08, 2020	15328	125	1943	46
Apr 09, 2020	17116	154	2101	0
Apr 10, 2020	18655	165	2350	0
Apr 11, 2020	19762	407	2692	0
Apr 12, 2020	20916	357	3757	0
Apr 13, 2020	22056	375	3522	13896
Apr 14, 2020	9798	226	6236	0
Apr 15, 2020	12940	272	3683	0
Apr 16, 2020	14835	520	3662	0
Apr 17, 2020	17657	448	6434	0
Apr 18, 2020	20494	390	6498	8129
Apr 19, 2020	14207	509	6052	0
Apr 20, 2020	16183	340	6767	2202
Apr 21, 2020	16177	275	4474	997
Apr 22, 2020	17707	318	4614	1259
Apr 23, 2020	19798	578	7159	1085
Apr 24, 2020	21878	667	6485	1510
Apr 25, 2020	26229	600	11963	996
Apr 26, 2020	28690	804	9132	994
Apr 27, 2020	31086	664	10257	1406
Apr 28, 2020	35594	467	10226	1593
Apr 29, 2020	40051	502	6675	1808
Apr 30, 2020	43905	779	6480	2111
May 01, 2020	48052	754	8506	2907
May 02, 2020	49279	835	11620	2060
May 03, 2020	51558	824	13838	2833
May 04, 2020	55566	816	15390	2413
May 05, 2020	59060	485	15002	3158
May 06, 2020	67198	735	7983	3992
May 07, 2020	71738	1130	14368	3959
May 08, 2020	77232	911	16609	2395
May 09, 2020	84399	1188	21592	3282
May 10, 2020	87325	966	17662	2434
May 11, 2020	90869	965	20081	5229
May 12, 2020	93367	703	16600	5845
May 13, 2020	98388	806	16311	1058
May 14, 2020	110333	1027	13124	5508
May 15, 2020	119391	1148	15778	4717
May 16, 2020	128860	1067	22425	4463
May 17, 2020	131895	1180	24286	6357
May 18, 2020	139171	890	29691	6355
May 19, 2020	148295	480	30270	9919
May 20, 2020	159057	732	16501	9306
May 21, 2020	166225	1232	14638	9499
May 22, 2020	175841	1269	27415	7179
May 23, 2020	184297	1492	27465	7347
May 24, 2020	192558	1008	32068	3934
May 25, 2020	200942	910	30304	4775
May 26, 2020	210918	542	27735	8079
May 27, 2020	224116	813	18479	26616
May 28, 2020	220719	1185	19030	0
May 29, 2020	249230	1300	31371	12228
May 30, 2020	266382	1261	33285	1187
May 31, 2020	281216	843	30635	4539
Jun 01, 2020	290583	890	24389	29639
Jun 02, 2020	287127	598	21011	25584
Jun 03, 2020	287739	729	17181	8893
Jun 04, 2020	309422	1338	23806	13698
Jun 05, 2020	325020	1209	37487	13474
Jun 06, 2020	338371	1204	31651	0
Jun 07, 2020	356308	1221	23179	23591
Jun 08, 2020	350934	968	55518	0
Jun 09, 2020	381120	601	31747	54867
Jun 10, 2020	358238	748	16945	16443
Jun 11, 2020	371169	1364	24494	0
Jun 12, 2020	394715	1103	40355	31014
Jun 13, 2020	383822	1180	41223	9932
Jun 14, 2020	390473	1055	40901	16106
Jun 15, 2020	397444	994	47170	11240
Jun 16, 2020	422353	555	36088	38853
Jun 17, 2020	413942	727	29477	0
Jun 18, 2020	435917	1271	25375	16905
Jun 19, 2020	473309	1057	38209	22897
Jun 20, 2020	481191	1277	45135	36151
Jun 21, 2020	461384	1264	48252	0
Jun 22, 2020	485130	1111	42223	34225
Jun 23, 2020	489896	535	35231	36677
Jun 24, 2020	493339	656	26356	0
Jun 25, 2020	533060	1312	21606	47766
Jun 26, 2020	531409	1187	48856	18436
Jun 27, 2020	548067	1199	41773	17998
Jun 28, 2020	558991	1270	43147	23687
Jun 29, 2020	559952	968	45488	32679
Jun 30, 2020	564211	659	36678	36940
Jul 01, 2020	571349	770	25505	89558
Jul 02, 2020	528766	1341	21905	29861
Jul 03, 2020	539864	1261	43486	32801
Jul 04, 2020	541183	1299	39927	0
Jul 05, 2020	567004	1110	44074	0
Jul 06, 2020	587954	885	34149	93904
Jul 07, 2020	541594	716	26697	45835
Jul 08, 2020	536345	718	24788	34653
Jul 09, 2020	543640	1346	21870	33232
Jul 10, 2020	554626	1293	45138	28002
Jul 11, 2020	562334	1317	65703	0
Jul 12, 2020	587180	1178	58404	0
Jul 13, 2020	608315	1111	58574	0
Jul 14, 2020	650460	556	48503	42182
Jul 15, 2020	646944	627	23598	111555
Jul 16, 2020	578164	955	23710	0
Jul 17, 2020	611203	1554	41399	0
Jul 18, 2020	637015	1189	71265	4467
Jul 19, 2020	656620	1191	58596	38090
Jul 20, 2020	639682	1048	52802	56944
Jul 21, 2020	626530	514	42815	66373
Jul 22, 2020	624567	572	24940	38217
Jul 23, 2020	643437	1394	18089	22112
Jul 24, 2020	678721	1322	56726	25277
Jul 25, 2020	700836	1226	54990	16846
Jul 26, 2020	707032	1058	55107	33496
Jul 27, 2020	696619	841	49779	54060
Jul 28, 2020	683003	593	46564	66063
Jul 29, 2020	686651	721	22337	36789
Jul 30, 2020	707269	1242	22010	60142
Jul 31, 2020	698738	1164	55230	0
Aug 01, 2020	740505	1301	58405	0
Aug 02, 2020	764931	1007	59478	28356
Aug 03, 2020	754092	726	49548	58629
Aug 04, 2020	750795	582	39155	50025
Aug 05, 2020	754438	775	22489	27107
Aug 06, 2020	781212	1365	23167	20798
Aug 07, 2020	809135	1170	48909	25979
