Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	7	0	0	0
Feb 16, 2020	7	0	0	0
Feb 17, 2020	7	0	0	0
Feb 18, 2020	7	0	0	0
Feb 19, 2020	7	0	0	1
Feb 20, 2020	6	0	1	1
Feb 21, 2020	6	0	0	0
Feb 22, 2020	6	0	1	0
Feb 23, 2020	7	0	1	0
Feb 24, 2020	8	0	0	0
Feb 25, 2020	8	0	1	0
Feb 26, 2020	9	0	2	0
Feb 27, 2020	11	0	1	0
Feb 28, 2020	12	0	5	1
Feb 29, 2020	16	0	4	0
Mar 01, 2020	20	0	3	3
Mar 02, 2020	20	0	3	0
Mar 03, 2020	23	0	4	0
Mar 04, 2020	27	1	3	1
Mar 05, 2020	29	0	17	0
Mar 06, 2020	46	0	6	0
Mar 07, 2020	52	0	6	0
Mar 08, 2020	58	0	11	0
Mar 09, 2020	68	0	18	0
Mar 10, 2020	86	0	15	1
Mar 11, 2020	100	0	32	2
Mar 12, 2020	130	3	56	0
Mar 13, 2020	186	3	54	0
Mar 14, 2020	240	1	89	0
Mar 15, 2020	329	2	100	0
Mar 16, 2020	429	1	157	1
Mar 17, 2020	582	4	129	0
Mar 18, 2020	708	0	146	0
Mar 19, 2020	853	3	214	2
Mar 20, 2020	1063	1	241	0
Mar 21, 2020	1303	3	142	0
Mar 22, 2020	1441	2	621	98
Mar 23, 2020	1964	11	701	0
Mar 24, 2020	2662	6	617	73
Mar 25, 2020	3205	1	634	43
Mar 26, 2020	3793	14	714	126
Mar 27, 2020	4379	7	898	42
Mar 28, 2020	5224	9	665	177
Mar 29, 2020	5706	66	1128	520
Mar 30, 2020	6313	49	1164	149
Mar 31, 2020	7314	44	1119	494
Apr 01, 2020	7932	49	1552	243
Apr 02, 2020	9232	43	1092	207
Apr 03, 2020	10051	56	1537	409
Apr 04, 2020	11130	55	1600	347
Apr 05, 2020	12339	74	1155	674
Apr 06, 2020	12771	60	1230	412
Apr 07, 2020	13546	84	1541	520
Apr 08, 2020	14511	64	1327	763
Apr 09, 2020	15020	63	1383	702
Apr 10, 2020	15627	123	1170	415
Apr 11, 2020	16322	107	1065	744
Apr 12, 2020	16559	182	1297	584
Apr 13, 2020	17208	115	1383	479
Apr 14, 2020	18049	158	1316	744
Apr 15, 2020	18498	113	1727	750
Apr 16, 2020	19368	110	1821	814
Apr 17, 2020	20193	144	1456	664
Apr 18, 2020	20870	140	1673	636
Apr 19, 2020	21749	172	1773	743
Apr 20, 2020	22666	156	1593	602
Apr 21, 2020	23547	162	1768	798
Apr 22, 2020	24373	94	1920	775
Apr 23, 2020	25378	146	1778	708
Apr 24, 2020	26276	152	1466	956
Apr 25, 2020	26630	137	1541	896
Apr 26, 2020	27113	186	1605	947
Apr 27, 2020	27677	206	1526	922
Apr 28, 2020	28135	174	1571	1137
Apr 29, 2020	28417	115	1639	1096
Apr 30, 2020	28823	172	1825	1328
May 01, 2020	29134	188	1653	1050
May 02, 2020	29531	189	2760	1107
May 03, 2020	31010	175	1298	1109
May 04, 2020	31084	161	1274	976
May 05, 2020	31210	123	1450	1178
May 06, 2020	31294	178	1426	801
May 07, 2020	31730	122	1512	1434
May 08, 2020	31633	176	1268	843
May 09, 2020	31897	133	1146	847
May 10, 2020	32073	168	1133	898
May 11, 2020	32130	90	1176	1048
May 12, 2020	32136	117	1121	1122
May 13, 2020	31959	103	1123	927
May 14, 2020	32022	60	1212	804
May 15, 2020	32262	69	1251	924
May 16, 2020	32499	118	1138	731
May 17, 2020	32789	122	1070	678
May 18, 2020	33078	97	1040	822
May 19, 2020	33236	103	1030	726
May 20, 2020	33471	69	1182	939
May 21, 2020	33596	121	1156	879
May 22, 2020	33751	94	1141	711
May 23, 2020	34084	126	1078	680
May 24, 2020	34379	112	1012	653
May 25, 2020	34669	102	936	701
May 26, 2020	34783	94	872	825
May 27, 2020	34736	222	993	676
May 28, 2020	34927	31	906	678
May 29, 2020	35043	69	772	585
May 30, 2020	35128	103	757	776
May 31, 2020	35015	139	758	847
Jun 01, 2020	34704	66	705	631
Jun 02, 2020	34747	67	675	691
Jun 03, 2020	34662	26	641	691
