Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	2	0
Feb 16, 2020	0	1	1	0
Feb 17, 2020	0	0	1	0
Feb 18, 2020	0	1	2	0
Feb 19, 2020	0	1	4	0
Feb 20, 2020	0	1	4	0
Feb 21, 2020	0	1	5	0
Feb 22, 2020	0	1	7	0
Feb 23, 2020	0	1	12	0
Feb 24, 2020	0	6	12	0
Feb 25, 2020	0	6	21	0
Feb 26, 2020	0	3	16	0
Feb 27, 2020	0	6	95	0
Feb 28, 2020	0	8	53	0
Feb 29, 2020	0	10	43	0
Mar 01, 2020	0	4	122	0
Mar 02, 2020	0	9	108	0
Mar 03, 2020	1	8	121	0
Mar 04, 2020	3	13	111	0
Mar 05, 2020	4	11	133	0
Mar 06, 2020	5	11	206	0
Mar 07, 2020	7	10	257	0
Mar 08, 2020	11	3	192	0
Mar 09, 2020	15	14	356	0
Mar 10, 2020	20	3	350	0
Mar 11, 2020	27	15	269	0
Mar 12, 2020	39	15	363	0
Mar 13, 2020	51	14	338	0
Mar 14, 2020	72	10	343	0
Mar 15, 2020	88	9	437	0
Mar 16, 2020	183	11	390	0
Mar 17, 2020	236	19	496	0
Mar 18, 2020	279	11	363	0
Mar 19, 2020	401	9	403	6
Mar 20, 2020	503	10	352	2
Mar 21, 2020	621	11	503	0
Mar 22, 2020	732	13	499	3
Mar 23, 2020	861	13	619	6
Mar 24, 2020	1061	13	499	5
Mar 25, 2020	1312	15	335	0
Mar 26, 2020	1503	10	365	21
Mar 27, 2020	1837	19	459	18
Mar 28, 2020	2168	19	417	14
Mar 29, 2020	2422	14	625	81
Mar 30, 2020	2703	8	521	0
Mar 31, 2020	3035	9	559	78
Apr 01, 2020	3294	6	419	101
Apr 02, 2020	3627	13	490	92
Apr 03, 2020	3919	14	380	101
Apr 04, 2020	4306	11	543	90
Apr 05, 2020	4569	15	604	110
Apr 06, 2020	4858	18	578	170
Apr 07, 2020	5031	15	646	217
Apr 08, 2020	5309	31	554	159
Apr 09, 2020	5636	36	564	297
Apr 10, 2020	5947	39	646	293
Apr 11, 2020	6142	41	609	195
Apr 12, 2020	6272	40	1332	308
Apr 13, 2020	6326	44	1153	279
Apr 14, 2020	6492	50	1670	291
Apr 15, 2020	6615	64	1437	362
Apr 16, 2020	6863	58	1147	322
Apr 17, 2020	7047	61	1607	414
Apr 18, 2020	7178	64	1208	303
Apr 19, 2020	7284	61	1794	338
Apr 20, 2020	7427	64	1628	293
Apr 21, 2020	7503	50	1459	417
Apr 22, 2020	7610	69	1928	418
Apr 23, 2020	7785	77	1401	523
Apr 24, 2020	7831	75	1940	419
Apr 25, 2020	8048	80	3114	278
Apr 26, 2020	8313	84	3113	303
Apr 27, 2020	8561	107	2929	383
Apr 28, 2020	8811	123	2208	347
Apr 29, 2020	9060	115	2755	523
Apr 30, 2020	9854	130	2667	438
May 01, 2020	10559	132	4121	554
May 02, 2020	11656	921	4727	469
May 03, 2020	12605	105	4640	374
May 04, 2020	13364	26	5005	295
May 05, 2020	14668	272	4139	479
May 06, 2020	15388	246	4342	475
May 07, 2020	16701	315	5730	496
May 08, 2020	17820	327	4640	507
May 09, 2020	18758	315	5066	445
May 10, 2020	20230	55	5448	493
