Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	1	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	1	2	0
Feb 18, 2020	0	2	0	0
Feb 19, 2020	0	0	6	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	4	7	0
Feb 22, 2020	0	4	8	0
Feb 23, 2020	0	2	10	0
Feb 24, 2020	0	1	20	0
Feb 25, 2020	0	2	11	0
Feb 26, 2020	0	6	28	0
Feb 27, 2020	0	7	15	0
Feb 28, 2020	0	3	37	0
Feb 29, 2020	0	11	51	0
Mar 01, 2020	0	4	35	0
Mar 02, 2020	0	5	46	0
Mar 03, 2020	0	14	101	0
Mar 04, 2020	0	11	92	0
Mar 05, 2020	0	20	21	0
Mar 06, 2020	1	9	48	0
Mar 07, 2020	1	3	69	0
Mar 08, 2020	1	15	94	0
Mar 09, 2020	3	4	96	0
Mar 10, 2020	3	13	108	0
Mar 11, 2020	9	9	159	0
Mar 12, 2020	9	13	96	0
Mar 13, 2020	16	13	106	0
Mar 14, 2020	24	10	139	3
Mar 15, 2020	34	7	79	0
Mar 16, 2020	53	10	94	0
Mar 17, 2020	64	9	201	0
Mar 18, 2020	92	10	274	0
Mar 19, 2020	107	8	169	0
Mar 20, 2020	144	11	250	0
Mar 21, 2020	195	9	236	24
Mar 22, 2020	226	16	67	24
Mar 23, 2020	271	9	76	1
Mar 24, 2020	369	15	127	0
Mar 25, 2020	458	21	126	20
Mar 26, 2020	477	10	128	0
Mar 27, 2020	523	16	206	0
Mar 28, 2020	592	18	182	19
Mar 29, 2020	682	20	171	137
Mar 30, 2020	769	19	185	12
Mar 31, 2020	859	10	172	8
Apr 01, 2020	1009	21	207	8
Apr 02, 2020	1087	17	205	10
Apr 03, 2020	1187	18	320	13
Apr 04, 2020	1289	16	261	1
Apr 05, 2020	1362	14	237	45
Apr 06, 2020	1445	16	218	13
Apr 07, 2020	1630	16	352	20
Apr 08, 2020	1876	21	258	7
Apr 09, 2020	1980	16	300	10
Apr 10, 2020	2196	12	499	65
Apr 11, 2020	2395	18	279	28
Apr 12, 2020	2397	21	383	47
Apr 13, 2020	2421	17	305	44
Apr 14, 2020	2498	22	640	37
Apr 15, 2020	2522	30	346	35
Apr 16, 2020	2539	23	497	35
Apr 17, 2020	2652	22	595	19
Apr 18, 2020	2764	23	444	24
Apr 19, 2020	2902	26	568	28
Apr 20, 2020	2984	27	550	103
Apr 21, 2020	3149	19	659	32
Apr 22, 2020	3280	31	658	47
Apr 23, 2020	3419	37	680	57
Apr 24, 2020	3653	49	606	54
Apr 25, 2020	3842	30	723	77
Apr 26, 2020	4002	40	635	33
Apr 27, 2020	4134	36	721	22
Apr 28, 2020	4412	42	640	30
Apr 29, 2020	4518	58	752	64
Apr 30, 2020	4775	60	643	36
May 01, 2020	5141	54	801	28
May 02, 2020	5295	49	1046	34
May 03, 2020	5606	64	998	88
May 04, 2020	5808	61	806	30
May 05, 2020	6222	55	1022	52
May 06, 2020	6414	57	1101	77
May 07, 2020	6749	47	1262	58
May 08, 2020	7199	75	1322	69
May 09, 2020	7481	59	1548	29
May 10, 2020	7895	75	1147	80
May 11, 2020	8309	63	1110	25
May 12, 2020	8808	86	1340	404
May 13, 2020	9288	95	1521	119
May 14, 2020	9727	81	1766	112
May 15, 2020	10210	111	1515	37
May 16, 2020	10790	73	1392	35
May 17, 2020	11249	94	1209	56
May 18, 2020	11800	87	1483	247
May 19, 2020	12272	163	1359	61
May 20, 2020	12801	157	1604	99
May 21, 2020	13247	128	1530	30
May 22, 2020	13874	167	1646	468
May 23, 2020	14754	117	1888	202
May 24, 2020	15432	111	2193	267
