Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	1	0	0
Feb 17, 2020	0	0	8	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	4	1
Feb 20, 2020	0	0	9	1
Feb 21, 2020	0	0	1	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	4	0
Feb 24, 2020	0	0	8	0
Feb 25, 2020	0	0	6	0
Feb 26, 2020	0	0	9	0
Feb 27, 2020	0	0	19	0
Feb 28, 2020	0	0	18	1
Feb 29, 2020	0	0	26	0
Mar 01, 2020	0	0	4	3
Mar 02, 2020	0	0	17	0
Mar 03, 2020	0	0	24	0
Mar 04, 2020	0	0	19	1
Mar 05, 2020	0	0	24	0
Mar 06, 2020	0	1	30	0
Mar 07, 2020	0	0	32	0
Mar 08, 2020	0	0	32	0
Mar 09, 2020	0	0	19	0
Mar 10, 2020	0	0	16	1
Mar 11, 2020	3	0	17	2
Mar 12, 2020	3	0	28	0
Mar 13, 2020	4	1	21	0
Mar 14, 2020	4	0	20	0
Mar 15, 2020	4	0	19	0
Mar 16, 2020	4	0	19	1
Mar 17, 2020	7	1	13	0
Mar 18, 2020	9	1	16	0
Mar 19, 2020	10	0	19	2
Mar 20, 2020	20	0	37	0
Mar 21, 2020	20	0	19	0
Mar 22, 2020	34	0	19	98
Mar 23, 2020	39	0	18	0
Mar 24, 2020	46	0	17	73
Mar 25, 2020	55	0	6	43
Mar 26, 2020	64	0	8	126
Mar 27, 2020	74	0	16	42
Mar 28, 2020	112	0	7	177
Mar 29, 2020	132	0	6	520
Mar 30, 2020	162	0	5	149
Mar 31, 2020	172	0	2	494
Apr 01, 2020	194	0	7	243
Apr 02, 2020	214	0	12	207
Apr 03, 2020	248	0	5	409
Apr 04, 2020	267	0	1	347
Apr 05, 2020	297	0	6	674
Apr 06, 2020	323	0	2	412
Apr 07, 2020	358	0	2	520
Apr 08, 2020	418	1	8	763
Apr 09, 2020	472	0	8	702
Apr 10, 2020	498	0	6	415
Apr 11, 2020	527	1	6	744
Apr 12, 2020	559	1	8	584
Apr 13, 2020	584	1	6	479
Apr 14, 2020	613	0	3	744
Apr 15, 2020	639	0	13	750
Apr 16, 2020	664	0	6	814
Apr 17, 2020	700	0	4	664
Apr 18, 2020	727	0	8	636
Apr 19, 2020	746	0	7	743
Apr 20, 2020	766	0	12	602
Apr 21, 2020	790	0	9	798
Apr 22, 2020	808	0	3	775
Apr 23, 2020	827	0	11	708
Apr 24, 2020	820	0	15	956
Apr 25, 2020	849	0	13	896
Apr 26, 2020	814	0	10	947
Apr 27, 2020	808	0	10	922
Apr 28, 2020	804	0	3	1137
Apr 29, 2020	792	0	16	1096
Apr 30, 2020	759	0	15	1328
May 01, 2020	759	0	6	1050
May 02, 2020	780	0	8	1107
May 03, 2020	755	0	7	1109
May 04, 2020	723	0	12	976
May 05, 2020	662	0	21	1178
May 06, 2020	633	0	5	801
May 07, 2020	625	1	28	1434
May 08, 2020	589	1	16	843
May 09, 2020	540	0	22	847
May 10, 2020	496	0	25	898
May 11, 2020	477	0	9	1048
May 12, 2020	449	0	28	1122
May 13, 2020	405	0	21	927
May 14, 2020	368	0	52	804
May 15, 2020	336	0	37	924
May 16, 2020	323	0	34	731
May 17, 2020	298	0	35	678
May 18, 2020	297	0	55	822
May 19, 2020	270	0	24	726
May 20, 2020	248	0	33	939
May 21, 2020	225	0	86	879
May 22, 2020	204	0	77	711
May 23, 2020	179	0	74	680
May 24, 2020	170	0	50	653
May 25, 2020	161	1	53	701
May 26, 2020	172	2	29	825
May 27, 2020	168	0	52	676
May 28, 2020	167	1	75	678
May 29, 2020	163	1	68	585
May 30, 2020	147	1	119	776
May 31, 2020	153	0	69	847
Jun 01, 2020	174	0	86	631
Jun 02, 2020	182	1	64	691
Jun 03, 2020	194	4	91	691
Jun 04, 2020	197	0	147	829
Jun 05, 2020	202	1	169	1046
Jun 06, 2020	235	1	152	619
Jun 07, 2020	246	1	143	767
Jun 08, 2020	249	2	151	572
Jun 09, 2020	242	2	139	1067
Jun 10, 2020	242	1	190	1019
Jun 11, 2020	242	5	294	865
Jun 12, 2020	247	4	270	831
Jun 13, 2020	231	2	288	918
Jun 14, 2020	216	5	310	770
Jun 15, 2020	213	7	375	401
Jun 16, 2020	195	8	245	574
Jun 17, 2020	197	4	245	479
Jun 18, 2020	190	2	350	507
Jun 19, 2020	183	3	649	485
Jun 20, 2020	153	9	360	398
Jun 21, 2020	124	7	386	448
Jun 22, 2020	117	11	365	370
Jun 23, 2020	110	6	440	387
Jun 24, 2020	104	11	446	334
Jun 25, 2020	65	10	504	301
Jun 26, 2020	60	8	560	247
Jun 27, 2020	57	7	423	218
Jun 28, 2020	45	10	582	987
Jun 29, 2020	43	4	563	416
Jun 30, 2020	41	8	420	150
Jul 01, 2020	44	9	277	603
Jul 02, 2020	46	10	550	346
Jul 03, 2020	51	10	768	297
Jul 04, 2020	56	9	540	249
Jul 05, 2020	57	18	931	331
Jul 06, 2020	60	10	629	313
Jul 07, 2020	69	7	612	364
Jul 08, 2020	71	9	503	327
Jul 09, 2020	73	11	456	327
Jul 10, 2020	78	8	490	365
Jul 11, 2020	79	9	530	201
Jul 12, 2020	81	9	367	374
Jul 13, 2020	73	10	788	329
Jul 14, 2020	70	3	427	315
Jul 15, 2020	74	10	435	351
Jul 16, 2020	68	10	580	23853
Jul 17, 2020	57	7	653	225
Jul 18, 2020	54	12	1011	137
Jul 19, 2020	51	7	721	423
Jul 20, 2020	51	8	484	283
Jul 21, 2020	41	7	586	385
Jul 22, 2020	49	7	636	377
Jul 23, 2020	40	14	549	354
Jul 24, 2020	41	10	1072	242
Jul 25, 2020	46	11	802	240
Jul 26, 2020	59	10	806	505
Jul 27, 2020	94	11	728	274
Jul 28, 2020	116	0	619	331
Jul 29, 2020	148	18	559	397
Jul 30, 2020	155	7	766	365
Jul 31, 2020	166	10	666	209
Aug 01, 2020	179	7	1059	138
Aug 02, 2020	190	9	950	23
Aug 03, 2020	210	9	736	853
Aug 04, 2020	231	0	643	338
Aug 05, 2020	242	32	842	318
Aug 06, 2020	278	21	1002	329
Aug 07, 2020	312	12	985	131
Aug 08, 2020	358	24	1193	162
Aug 09, 2020	414	16	1214	2627
Aug 10, 2020	498	7	0	391
Aug 11, 2020	533	16	1588	402
Aug 12, 2020	536	15	897	405
Aug 13, 2020	561	12	1121	389
Aug 14, 2020	594	16	1153	276
Aug 15, 2020	636	17	1222	266
Aug 16, 2020	608	20	1240	575
Aug 17, 2020	584	20	1027	298
Aug 18, 2020	526	21	833	465
Aug 19, 2020	531	18	1117	466
Aug 20, 2020	583	15	1327	360
Aug 21, 2020	542	21	1325	230
Aug 22, 2020	522	14	1420	234
Aug 23, 2020	547	17	1485	582
Aug 24, 2020	547	16	970	356
Aug 25, 2020	551	14	937	405
Aug 26, 2020	508	19	776	370
Aug 27, 2020	519	19	1379	409
Aug 28, 2020	552	24	1302	267
Aug 29, 2020	558	13	1556	163
Aug 30, 2020	552	13	1338	563
Aug 31, 2020	560	20	1187	380
Sep 01, 2020	575	0	703	443
Sep 02, 2020	570	37	1087	394
Sep 03, 2020	640	17	1370	482
Sep 04, 2020	679	20	1400	210
Sep 05, 2020	628	16	1357	221
Sep 06, 2020	618	15	1233	102
Sep 07, 2020	608	21	730	1106
Sep 08, 2020	573	13	935	706
Sep 09, 2020	628	19	890	719
Sep 10, 2020	666	16	1156	684
Sep 11, 2020	643	10	1068	401
Sep 12, 2020	667	25	1001	356
Sep 13, 2020	646	9	1353	793
Sep 14, 2020	578	15	0	616
Sep 15, 2020	576	11	1947	609
Sep 16, 2020	636	10	1013	660
Sep 17, 2020	594	18	1355	614
Sep 18, 2020	644	14	1331	464
Sep 19, 2020	658	15	1225	504
Sep 20, 2020	564	14	1386	843
Sep 21, 2020	563	17	1051	1370
Sep 22, 2020	599	16	733	884
Sep 23, 2020	570	14	1015	919
Sep 24, 2020	579	17	1542	866
Sep 25, 2020	574	11	1372	755
Sep 26, 2020	560	17	1196	770
Sep 27, 2020	584	14	1166	1509
Sep 28, 2020	574	14	929	1130
Sep 29, 2020	543	11	632	1234
Sep 30, 2020	582	8	847	1379
Oct 01, 2020	626	15	1503	1264
Oct 02, 2020	674	12	1191	1253
Oct 03, 2020	540	13	1210	1376
Oct 04, 2020	542	9	1262	2091
Oct 05, 2020	490	11	861	1660
Oct 06, 2020	482	12	511	1672
Oct 07, 2020	454	15	862	1842
Oct 08, 2020	423	11	1231	2016
Oct 09, 2020	422	11	1017	1833
Oct 10, 2020	385	14	1296	1862
Oct 11, 2020	315	10	1105	1039
Oct 12, 2020	303	9	746	3228
Oct 13, 2020	292	9	540	1865
Oct 14, 2020	259	11	863	2139
Oct 15, 2020	261	12	1141	2154
Oct 16, 2020	292	10	1106	1802
Oct 17, 2020	292	11	1050	1666
Oct 18, 2020	327	9	946	2559
Oct 19, 2020	351	0	736	2072
Oct 20, 2020	372	26	488	1771
Oct 21, 2020	427	7	979	2291
Oct 22, 2020	422	21	1202	2074
Oct 23, 2020	452	12	1171	1757
Oct 24, 2020	479	5	1184	1793
Oct 25, 2020	440	11	1100	2877
Oct 26, 2020	438	10	726	2158
Oct 27, 2020	499	15	643	2403
Oct 28, 2020	492	11	998	2342
Oct 29, 2020	506	5	1422	2728
Oct 30, 2020	495	8	1219	1939
Oct 31, 2020	514	18	1187	1853
Nov 01, 2020	518	16	0	2323
Nov 02, 2020	523	20	2259	3457
Nov 03, 2020	532	17	618	2138
Nov 04, 2020	621	15	895	2351
Nov 05, 2020	553	21	1330	3239
Nov 06, 2020	556	18	1222	1857
Nov 07, 2020	555	18	1351	1911
Nov 08, 2020	487	13	1155	3395
Nov 09, 2020	498	18	851	2879
Nov 10, 2020	513	8	539	1920
Nov 11, 2020	468	15	534	3576
Nov 12, 2020	432	20	1168	3871
Nov 13, 2020	445	11	1165	2269
Nov 14, 2020	422	13	1180	2486
Nov 15, 2020	399	16	1206	4886
Nov 16, 2020	430	15	954	3865
Nov 17, 2020	423	12	576	4169
Nov 18, 2020	401	14	1009	3973
Nov 19, 2020	393	14	1258	4352
Nov 20, 2020	365	14	1127	3752
Nov 21, 2020	359	21	1132	3651
Nov 22, 2020	380	17	1149	5150
Nov 23, 2020	391	14	524	4192
Nov 24, 2020	389	17	549	3841
Nov 25, 2020	423	10	927	3691
Nov 26, 2020	445	12	1167	5581
Nov 27, 2020	452	15	1125	4196
Nov 28, 2020	486	14	1084	3711
Nov 29, 2020	513	8	1019	5561
Nov 30, 2020	518	12	767	4916
Dec 01, 2020	587	13	635	4998
Dec 02, 2020	606	11	911	4722
Dec 03, 2020	625	19	1138	5488
Dec 04, 2020	616	19	1048	4786
Dec 05, 2020	669	19	1072	4256
Dec 06, 2020	683	19	545	9597
Dec 07, 2020	773	17	597	5465
Dec 08, 2020	799	16	558	5811
