Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	3	0
Feb 17, 2020	0	0	1	0
Feb 18, 2020	0	0	1	0
Feb 19, 2020	0	1	0	0
Feb 20, 2020	0	0	1	0
Feb 21, 2020	0	0	2	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	2	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	1	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	4	0
Feb 29, 2020	0	0	0	0
Mar 01, 2020	0	0	5	0
Mar 02, 2020	0	0	2	0
Mar 03, 2020	0	0	3	0
Mar 04, 2020	0	0	3	0
Mar 05, 2020	0	0	0	0
Mar 06, 2020	0	0	6	0
Mar 07, 2020	0	0	3	0
Mar 08, 2020	0	0	5	0
Mar 09, 2020	0	0	1	0
Mar 10, 2020	0	0	8	0
Mar 11, 2020	0	0	3	0
Mar 12, 2020	0	0	1	0
Mar 13, 2020	1	0	9	0
Mar 14, 2020	1	0	4	0
Mar 15, 2020	4	1	2	0
Mar 16, 2020	5	0	3	0
Mar 17, 2020	6	0	8	0
Mar 18, 2020	6	0	3	0
Mar 19, 2020	7	1	7	6
Mar 20, 2020	9	0	4	2
Mar 21, 2020	9	0	9	0
Mar 22, 2020	11	0	3	3
Mar 23, 2020	11	0	3	6
Mar 24, 2020	12	0	3	5
Mar 25, 2020	12	0	2	0
Mar 26, 2020	12	0	0	21
Mar 27, 2020	16	0	1	18
Mar 28, 2020	15	0	5	14
Mar 29, 2020	20	0	1	81
Mar 30, 2020	19	0	1	0
Mar 31, 2020	24	0	2	78
Apr 01, 2020	27	0	4	101
Apr 02, 2020	26	0	1	92
Apr 03, 2020	32	0	2	101
Apr 04, 2020	34	0	0	90
Apr 05, 2020	37	1	2	110
Apr 06, 2020	38	0	5	170
Apr 07, 2020	46	1	5	217
Apr 08, 2020	49	1	17	159
Apr 09, 2020	50	0	29	297
Apr 10, 2020	58	3	3	293
Apr 11, 2020	56	1	16	195
Apr 12, 2020	58	2	29	308
Apr 13, 2020	57	3	11	279
Apr 14, 2020	65	1	11	291
Apr 15, 2020	67	1	2	362
Apr 16, 2020	74	1	9	322
Apr 17, 2020	78	7	15	414
Apr 18, 2020	86	0	19	303
Apr 19, 2020	89	5	11	338
Apr 20, 2020	92	3	35	293
Apr 21, 2020	95	5	13	417
Apr 22, 2020	92	7	24	418
Apr 23, 2020	92	8	10	523
Apr 24, 2020	89	2	34	419
Apr 25, 2020	90	3	61	278
Apr 26, 2020	79	1	88	303
Apr 27, 2020	71	2	73	383
Apr 28, 2020	73	2	46	347
Apr 29, 2020	69	7	30	523
Apr 30, 2020	69	0	100	438
May 01, 2020	64	2	137	554
May 02, 2020	61	1	95	469
May 03, 2020	57	0	109	374
May 04, 2020	62	3	85	295
May 05, 2020	50	3	87	479
May 06, 2020	65	8	142	475
May 07, 2020	94	5	150	496
May 08, 2020	95	4	169	507
May 09, 2020	108	5	129	445
May 10, 2020	135	0	86	493
May 11, 2020	140	0	136	520
May 12, 2020	150	0	180	740
May 13, 2020	150	0	170	790
May 14, 2020	159	0	164	959
May 15, 2020	170	0	245	1400
May 16, 2020	188	0	251	1199
May 17, 2020	199	0	179	952
May 18, 2020	231	17	176	1342
May 19, 2020	240	0	109	997
May 20, 2020	262	4	129	1488
May 21, 2020	271	0	195	1350
May 22, 2020	300	3	116	1204
May 23, 2020	338	1	399	1602
May 24, 2020	425	11	63	1154
May 25, 2020	491	7	131	1613
May 26, 2020	528	2	185	2625
May 27, 2020	544	2	186	2610
May 28, 2020	633	13	141	2448
May 29, 2020	763	4	250	1833
May 30, 2020	847	3	145	2296
May 31, 2020	952	10	119	2219
Jun 01, 2020	1028	8	157	0
Jun 02, 2020	1099	9	0	41227
Jun 03, 2020	1223	3	0	4575
Jun 04, 2020	1368	9	0	4883
Jun 05, 2020	1524	14	0	0
Jun 06, 2020	1633	5	0	0
Jun 07, 2020	1649	11	0	0
Jun 08, 2020	1768	14	0	0
Jun 09, 2020	1925	10	0	0
Jun 10, 2020	2070	11	928	30813
Jun 11, 2020	2196	8	199	4914
Jun 12, 2020	2417	28	147	5938
Jun 13, 2020	2616	26	282	6408
Jun 14, 2020	2743	7	158	5088
Jun 15, 2020	2841	13	206	7440
Jun 16, 2020	2831	9	203	0
Jun 17, 2020	2847	15	212	30209
Jun 18, 2020	2955	10	294	5050
Jun 19, 2020	2969	17	328	5118
Jun 20, 2020	3275	13	344	3960
Jun 21, 2020	3245	20	356	4828
Jun 22, 2020	3291	23	704	5173
Jun 23, 2020	3361	16	865	4523
Jun 24, 2020	3470	13	452	4234
Jun 25, 2020	3550	17	409	4104
Jun 26, 2020	3648	19	760	4624
Jun 27, 2020	3461	16	555	4155
Jun 28, 2020	3459	28	720	3944
Jun 29, 2020	3313	28	579	5075
Jun 30, 2020	3313	20	653	4214
Jul 01, 2020	3313	17	610	3804
Jul 02, 2020	3313	25	805	4096
Jul 03, 2020	3313	16	915	4102
Jul 04, 2020	3313	14	469	3587
Jul 05, 2020	3313	17	707	3339
Jul 06, 2020	3313	16	583	3874
Jul 07, 2020	3313	20	588	3458
Jul 08, 2020	4224	13	459	3219
Jul 09, 2020	4423	12	564	3131
Jul 10, 2020	4566	23	552	3061
Jul 11, 2020	4848	16	801	2788
Jul 12, 2020	5003	19	565	2654
Jul 13, 2020	5208	18	773	2664
Jul 14, 2020	5400	10	584	2865
Jul 15, 2020	5605	24	943	3216
Jul 16, 2020	5897	17	1086	1513
Jul 17, 2020	6223	21	1038	2635
Jul 18, 2020	6554	15	1652	2345
Jul 19, 2020	6906	16	982	2198
Jul 20, 2020	7607	17	1460	2824
Jul 21, 2020	5444	8	1386	2425
Jul 22, 2020	5830	12	1336	2190
Jul 23, 2020	6091	10	1778	2265
Jul 24, 2020	6708	17	1829	2473
Jul 25, 2020	7073	9	1368	1926
Jul 26, 2020	7529	13	1638	1859
Jul 27, 2020	7933	10	1472	2378
Jul 28, 2020	8435	15	1545	2225
Jul 29, 2020	8872	12	1533	2071
Jul 30, 2020	9589	17	1186	1699
Jul 31, 2020	10306	7	1733	2180
Aug 01, 2020	10522	12	1514	1904
Aug 02, 2020	10795	19	1468	1565
Aug 03, 2020	11022	14	1009	2354
Aug 04, 2020	11294	7	1173	1961
Aug 05, 2020	11382	7	1105	1877
Aug 06, 2020	11508	10	804	2000
Aug 07, 2020	11657	5	1303	1965
Aug 08, 2020	12156	7	950	1693
Aug 09, 2020	12205	14	1206	1516
Aug 10, 2020	12760	7	976	2199
Aug 11, 2020	13039	7	1136	1878
Aug 12, 2020	13621	3	916	1712
Aug 13, 2020	14297	6	878	1906
Aug 14, 2020	15090	8	789	1914
Aug 15, 2020	16348	8	521	1877
Aug 16, 2020	16989	8	413	1557
Aug 17, 2020	18268	17	485	2055
Aug 18, 2020	19212	7	700	1845
Aug 19, 2020	20150	9	738	1778
Aug 20, 2020	21680	6	689	1834
Aug 21, 2020	23115	10	602	1833
Aug 22, 2020	23891	14	616	1449
Aug 23, 2020	24998	4	689	1285
Aug 24, 2020	26189	7	889	1999
Aug 25, 2020	27183	13	713	1805
Aug 26, 2020	28185	12	661	1654
Aug 27, 2020	28833	9	604	1530
Aug 28, 2020	29967	6	486	1731
Aug 29, 2020	30768	13	527	1401
Aug 30, 2020	31947	6	632	1295
Aug 31, 2020	32328	13	612	1911
Sep 01, 2020	32989	12	640	1893
Sep 02, 2020	33660	4	784	1726
Sep 03, 2020	34074	19	730	1839
Sep 04, 2020	35024	7	890	1719
Sep 05, 2020	35793	11	872	1432
Sep 06, 2020	36447	8	959	1318
Sep 07, 2020	36926	6	618	2013
Sep 08, 2020	37158	6	566	1825
Sep 09, 2020	37680	7	892	1801
Sep 10, 2020	37964	5	902	1708
Sep 11, 2020	38357	9	865	1855
Sep 12, 2020	38399	11	767	1407
Sep 13, 2020	38305	5	866	1399
Sep 14, 2020	38431	9	841	2219
Sep 15, 2020	38463	5	582	1909
Sep 16, 2020	38514	4	712	2075
Sep 17, 2020	38768	6	739	2053
Sep 18, 2020	38805	5	665	2120
Sep 19, 2020	39103	7	600	1645
Sep 20, 2020	39410	7	703	1365
Sep 21, 2020	39967	8	723	2065
Sep 22, 2020	40304	9	630	1989
Sep 23, 2020	40689	4	628	1711
Sep 24, 2020	41078	7	575	1704
Sep 25, 2020	41155	4	536	4390
Sep 26, 2020	41506	12	629	1429
Sep 27, 2020	41799	7	485	2113
Sep 28, 2020	42014	13	364	1764
Sep 29, 2020	42441	6	511	1842
Sep 30, 2020	42966	13	602	1700
Oct 01, 2020	43463	16	481	1839
Oct 02, 2020	44103	11	488	1402
Oct 03, 2020	44321	4	380	1165
Oct 04, 2020	44537	10	414	1981
Oct 05, 2020	44191	3	359	1580
Oct 06, 2020	43805	8	560	1436
Oct 07, 2020	43970	14	379	1617
Oct 08, 2020	44101	9	510	1665
Oct 09, 2020	44289	5	355	1275
Oct 10, 2020	44469	6	455	1093
Oct 11, 2020	44692	3	474	1638
Oct 12, 2020	44931	6	307	1619
Oct 13, 2020	45106	9	345	1558
Oct 14, 2020	44953	10	400	1582
Oct 15, 2020	44856	11	521	1531
Oct 16, 2020	44869	2	509	1337
Oct 17, 2020	44989	8	564	1033
Oct 18, 2020	45136	11	399	1265
Oct 19, 2020	45346	3	336	1767
Oct 20, 2020	45481	10	339	1613
Oct 21, 2020	45228	12	533	1517
Oct 22, 2020	45037	12	499	1425
Oct 23, 2020	44711	3	452	1246
Oct 24, 2020	44597	3	473	1123
Oct 25, 2020	44374	4	433	1698
Oct 26, 2020	44120	5	418	1481
Oct 27, 2020	43805	13	388	1395
Oct 28, 2020	43483	12	518	1295
Oct 29, 2020	43091	3	560	1350
Oct 30, 2020	42612	7	769	1118
Oct 31, 2020	42183	8	492	1031
Nov 01, 2020	41653	3	604	1591
Nov 02, 2020	41048	6	540	1508
Nov 03, 2020	40754	12	480	1503
Nov 04, 2020	40222	15	430	1218
Nov 05, 2020	39769	4	595	1340
Nov 06, 2020	39131	8	512	1054
Nov 07, 2020	38735	3	649	1079
Nov 08, 2020	38386	1	555	1727
Nov 09, 2020	37742	5	440	1473
Nov 10, 2020	37274	5	531	1313
Nov 11, 2020	36685	14	568	1343
Nov 12, 2020	36426	7	526	1353
Nov 13, 2020	36628	4	422	1170
Nov 14, 2020	37081	2	515	1052
Nov 15, 2020	37285	13	472	1632
Nov 16, 2020	37345	2	473	1529
Nov 17, 2020	37514	1	300	1366
Nov 18, 2020	37734	8	464	1319
Nov 19, 2020	37837	11	475	1332
Nov 20, 2020	37934	9	544	1150
Nov 21, 2020	38182	9	469	1027
Nov 22, 2020	38447	1	457	1557
Nov 23, 2020	38713	2	397	1393
Nov 24, 2020	38912	2	290	1401
Nov 25, 2020	38871	15	351	1377
Nov 26, 2020	38996	6	410	1486
Nov 27, 2020	39246	1	481	1140
Nov 28, 2020	38985	3	533	1070
Nov 29, 2020	38519	4	451	1683
Nov 30, 2020	34560	7	281	1501
Dec 01, 2020	33928	13	243	1446
Dec 02, 2020	33202	3	468	1400
Dec 03, 2020	32470	3	408	1410
Dec 04, 2020	31738	3	388	1190
Dec 05, 2020	31416	5	397	1036
Dec 06, 2020	30717	4	573	1787
Dec 07, 2020	29177	8	297	1766
Dec 08, 2020	27552	2	322	1683
Dec 09, 2020	25821	2	545	1677
Dec 10, 2020	24606	4	441	1665
Dec 11, 2020	22782	2	345	1420
Dec 12, 2020	22045	10	220	1227
Dec 13, 2020	21073	13	524	2044
Dec 14, 2020	20208	6	300	1589
Dec 15, 2020	19422	4	376	1893
Dec 16, 2020	18219	10	463	1884
Dec 17, 2020	16899	9	467	1912
Dec 18, 2020	16323	3	404	1664
Dec 19, 2020	15495	8	446	1533
Dec 20, 2020	15118	2	423	2334
Dec 21, 2020	14806	9	351	2222
Dec 22, 2020	13956	4	181	2039
Dec 23, 2020	13295	6	307	1980
Dec 24, 2020	12672	4	292	2054
Dec 25, 2020	12384	13	555	1805
Dec 26, 2020	12243	15	417	1783
Dec 27, 2020	11662	14	469	2672
Dec 28, 2020	11387	14	365	2400
Dec 29, 2020	10736	12	437	2425
Dec 30, 2020	10068	10	476	2144
Dec 31, 2020	10245	12	549	1915
Jan 01, 2021	10464	8	771	2535
Jan 02, 2021	10780	14	656	2474
Jan 03, 2021	11307	12	629	3728
Jan 04, 2021	11359	11	734	3088
Jan 05, 2021	11465	5	477	3115
Jan 06, 2021	11847	19	547	2675
Jan 07, 2021	12240	14	749	2735
Jan 08, 2021	12416	11	726	3088
Jan 09, 2021	12512	8	570	3022
Jan 10, 2021	12948	13	885	4823
Jan 11, 2021	13050	5	656	4156
Jan 12, 2021	12726	3	572	4216
Jan 13, 2021	12882	10	683	4112
Jan 14, 2021	13165	16	613	3991
Jan 15, 2021	12875	9	686	3416
Jan 16, 2021	12698	13	756	2859
Jan 17, 2021	13018	9	788	4566
Jan 18, 2021	13178	15	733	4157
Jan 19, 2021	13298	17	665	4106
Jan 20, 2021	12637	27	818	3942
Jan 21, 2021	12263	30	871	4289
Jan 22, 2021	12308	10	837	3515
Jan 23, 2021	12505	5	841	3111
Jan 24, 2021	12285	18	949	4892
Jan 25, 2021	11862	19	735	4341
Jan 26, 2021	11746	10	716	4236
Jan 27, 2021	11368	16	977	4091
Jan 28, 2021	11649	29	878	4167
Jan 29, 2021	12291	12	935	3280
Jan 30, 2021	12342	15	1006	2817
Jan 31, 2021	12695	19	1019	4573
Feb 01, 2021	13313	25	900	3871
Feb 02, 2021	12939	23	841	3651
Feb 03, 2021	13298	28	1161	3723
Feb 04, 2021	13789	15	980	3506
Feb 05, 2021	13506	17	1119	2716
Feb 06, 2021	13777	24	956	2339
Feb 07, 2021	14571	16	1109	4400
Feb 08, 2021	15082	27	995	3611
Feb 09, 2021	15404	22	1202	3391
Feb 10, 2021	15285	25	1543	3390
Feb 11, 2021	15069	21	1332	3519
Feb 12, 2021	15507	27	1361	2983
Feb 13, 2021	16104	37	1483	2482
Feb 14, 2021	16156	25	1413	4060
