Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	13	0	0	0
Feb 16, 2020	13	0	0	4
Feb 17, 2020	9	0	0	2
Feb 18, 2020	7	0	0	0
Feb 19, 2020	7	0	0	4
Feb 20, 2020	3	0	0	1
Feb 21, 2020	2	0	0	0
Feb 22, 2020	2	0	0	0
Feb 23, 2020	2	0	0	0
Feb 24, 2020	2	0	2	1
Feb 25, 2020	3	0	8	0
Feb 26, 2020	11	0	22	1
Feb 27, 2020	32	0	26	0
Feb 28, 2020	58	0	5	0
Feb 29, 2020	63	0	51	0
Mar 01, 2020	114	0	35	0
Mar 02, 2020	149	0	38	0
Mar 03, 2020	187	0	59	0
Mar 04, 2020	246	2	283	1
Mar 05, 2020	528	0	125	1
Mar 06, 2020	652	1	130	0
Mar 07, 2020	782	3	240	0
Mar 08, 2020	1022	2	184	0
Mar 09, 2020	1204	1	341	0
Mar 10, 2020	1545	4	401	7
Mar 11, 2020	1938	4	779	0
Mar 12, 2020	2714	9	930	21
Mar 13, 2020	3621	2	924	0
Mar 14, 2020	4544	16	1214	0
Mar 15, 2020	5754	24	1459	21
Mar 16, 2020	7188	16	2095	0
Mar 17, 2020	9274	10	2960	38
Mar 18, 2020	12194	29	2993	10
Mar 19, 2020	15161	36	4528	65
Mar 20, 2020	19600	47	2516	29
Mar 21, 2020	22071	61	2509	57
Mar 22, 2020	24513	84	4183	187
Mar 23, 2020	28480	82	3935	2837
Mar 24, 2020	29542	108	4332	257
Mar 25, 2020	33570	104	6615	2126
Mar 26, 2020	37998	130	6933	985
Mar 27, 2020	43862	157	6824	1823
Mar 28, 2020	48781	177	4740	730
Mar 29, 2020	52683	169	4450	4289
Mar 30, 2020	52740	170	4923	2600
Mar 31, 2020	54933	141	6173	2600
Apr 01, 2020	58349	227	6813	3740
Apr 02, 2020	61245	207	6365	2135
Apr 03, 2020	65306	334	4933	1825
Apr 04, 2020	68244	259	4031	2300
Apr 05, 2020	69834	129	3252	0
Apr 06, 2020	72859	136	4288	7381
Apr 07, 2020	69559	152	5633	10219
Apr 08, 2020	64639	173	4939	6107
Apr 09, 2020	63212	302	3936	1506
Apr 10, 2020	65513	310	3281	3487
Apr 11, 2020	65171	249	2402	2900
Apr 12, 2020	64521	301	2218	4000
Apr 13, 2020	62566	187	2138	3900
Apr 14, 2020	60502	104	2543	4400
Apr 15, 2020	58335	221	2945	4400
Apr 16, 2020	56631	225	3699	6114
Apr 17, 2020	53915	230	2327	2286
Apr 18, 2020	53769	261	2018	2600
Apr 19, 2020	53083	186	1323	3500
Apr 20, 2020	50685	117	1388	3700
Apr 21, 2020	48148	99	2195	4200
Apr 22, 2020	45913	151	2481	3900
Apr 23, 2020	44233	189	1870	3500
Apr 24, 2020	42417	154	1514	3000
Apr 25, 2020	40814	157	1257	2200
Apr 26, 2020	39772	113	988	2500
Apr 27, 2020	38109	76	1154	2900
Apr 28, 2020	36174	54	1627	3000
Apr 29, 2020	34647	127	1470	3100
Apr 30, 2020	32860	0	1068	3400
May 01, 2020	30415	283	890	2100
May 02, 2020	29129	117	697	1600
May 03, 2020	28172	118	488	2100
May 04, 2020	26433	39	855	2400
May 05, 2020	24888	20	1155	2596
May 06, 2020	23164	92	1268	2204
May 07, 2020	22111	77	1158	1800
May 08, 2020	21351	123	736	1600
May 09, 2020	20448	67	555	1100
May 10, 2020	19883	73	697	1217
May 11, 2020	19271	26	595	1583
May 12, 2020	18206	22	927	1500
May 13, 2020	17510	74	877	1600
May 14, 2020	16720	70	724	1400
May 15, 2020	15971	77	545	900
May 16, 2020	15590	39	407	800
May 17, 2020	15175	43	638	1200
May 18, 2020	14539	14	538	1100
May 19, 2020	13907	5	704	1200
May 20, 2020	13334	57	490	1100
May 21, 2020	12685	70	692	1000
May 22, 2020	12334	35	273	900
May 23, 2020	11693	37	342	400
May 24, 2020	11630	24	461	900
May 25, 2020	11134	6	499	800
May 26, 2020	10763	5	607	800
May 27, 2020	10535	13	557	400
May 28, 2020	10655	56	567	900
May 29, 2020	10298	25	275	800
May 30, 2020	9767	37	200	300
May 31, 2020	9662	27	271	700
Jun 01, 2020	9220	6	326	500
Jun 02, 2020	8990	7	334	900
Jun 03, 2020	8399	7	498	500
Jun 04, 2020	8360	48	491	700
Jun 05, 2020	8124	13	282	400
Jun 06, 2020	8000	7	173	200
Jun 07, 2020	7966	12	336	500
Jun 08, 2020	7795	4	311	600
Jun 09, 2020	7458	3	0	500
Jun 10, 2020	6945	15	279	500
Jun 11, 2020	6717	25	456	400
Jun 12, 2020	6761	17	172	300
Jun 13, 2020	6629	19	248	300
Jun 14, 2020	6574	14	373	400
Jun 15, 2020	6532	1	338	500
Jun 16, 2020	6345	1	1122	500
Jun 17, 2020	6950	7	622	500
Jun 18, 2020	7053	17	534	300
Jun 19, 2020	7273	17	556	300
Jun 20, 2020	7528	9	359	200
Jun 21, 2020	7686	14	544	400
Jun 22, 2020	7823	0	659	400
Jun 23, 2020	8065	3	476	600
Jun 24, 2020	7924	12	531	500
Jun 25, 2020	7946	11	614	300
Jun 26, 2020	8246	9	290	400
Jun 27, 2020	8136	3	175	200
Jun 28, 2020	8108	9	528	400
Jun 29, 2020	8224	8	440	1000
Jun 30, 2020	7653	5	492	700
Jul 01, 2020	7436	6	393	500
Jul 02, 2020	7326	11	283	700
Jul 03, 2020	6900	12	418	300
Jul 04, 2020	7010	10	140	400
Jul 05, 2020	6745	5	499	500
Jul 06, 2020	6738	4	298	500
Jul 07, 2020	6525	0	410	0
Jul 08, 2020	6923	5	433	900
Jul 09, 2020	6446	5	390	400
Jul 10, 2020	6431	4	224	500
Jul 11, 2020	6151	9	138	100
Jul 12, 2020	6189	3	486	500
Jul 13, 2020	6170	2	330	400
Jul 14, 2020	6095	1	486	500
Jul 15, 2020	6077	10	584	400
Jul 16, 2020	6252	7	509	800
Jul 17, 2020	5958	2	227	300
Jul 18, 2020	5883	5	273	300
Jul 19, 2020	5855	14	642	0
Jul 20, 2020	6487	1	403	300
Jul 21, 2020	6583	1	580	500
Jul 22, 2020	6661	2	672	400
Jul 23, 2020	6928	2	818	1400
Jul 24, 2020	6332	5	372	200
Jul 25, 2020	6503	9	409	0
Jul 26, 2020	6911	3	638	800
Jul 27, 2020	6747	2	572	600
Jul 28, 2020	6717	0	860	0
Jul 29, 2020	7572	6	842	0
Jul 30, 2020	8405	0	1012	300
Jul 31, 2020	9114	13	412	1300
Aug 01, 2020	8224	7	385	0
Aug 02, 2020	8609	2	858	1100
Aug 03, 2020	8361	6	760	0
Aug 04, 2020	9121	0	1024	0
Aug 05, 2020	10132	5	1106	1500
Aug 06, 2020	9731	3	1105	0
Aug 07, 2020	10834	8	581	1200
Aug 08, 2020	10209	5	385	0
Aug 09, 2020	10594	8	1219	500
Aug 10, 2020	11308	1	1030	1000
