Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	0	0
Mar 01, 2020	0	0	3	0
Mar 02, 2020	0	0	1	0
Mar 03, 2020	0	0	22	0
Mar 04, 2020	0	0	1	0
Mar 05, 2020	0	0	1	0
Mar 06, 2020	0	0	3	0
Mar 07, 2020	0	1	6	0
Mar 08, 2020	0	1	7	1
Mar 09, 2020	0	0	15	0
Mar 10, 2020	1	0	0	0
Mar 11, 2020	13	0	12	0
Mar 12, 2020	13	1	8	6
Mar 13, 2020	26	0	18	0
Mar 14, 2020	42	1	14	3
Mar 15, 2020	54	1	15	0
Mar 16, 2020	68	0	14	1
Mar 17, 2020	68	3	26	0
Mar 18, 2020	108	3	25	6
Mar 19, 2020	135	0	55	3
Mar 20, 2020	198	2	83	0
Mar 21, 2020	241	8	64	1
Mar 22, 2020	309	0	103	10
Mar 23, 2020	338	4	37	6
Mar 24, 2020	436	3	121	3
Mar 25, 2020	548	5	70	2
Mar 26, 2020	663	3	160	28
Mar 27, 2020	770	23	100	11
Mar 28, 2020	880	14	37	11
Mar 29, 2020	961	14	227	7
Mar 30, 2020	1039	13	146	21
Mar 31, 2020	1142	19	601	25
Apr 01, 2020	1276	18	545	43
Apr 02, 2020	1429	24	516	1
Apr 03, 2020	1622	18	529	37
Apr 04, 2020	1742	49	701	99
Apr 05, 2020	1742	22	489	47
Apr 06, 2020	2031	39	573	93
Apr 07, 2020	2031	43	565	38
Apr 08, 2020	2449	27	809	129
Apr 09, 2020	2670	35	875	139
Apr 10, 2020	2883	29	846	195
Apr 11, 2020	3132	26	759	111
Apr 12, 2020	3284	38	1248	101
Apr 13, 2020	3317	36	1034	178
Apr 14, 2020	3407	38	883	149
Apr 15, 2020	3573	33	1060	260
Apr 16, 2020	3573	53	922	273
Apr 17, 2020	3809	36	2013	422
Apr 18, 2020	3972	40	1250	391
Apr 19, 2020	4013	59	924	419
Apr 20, 2020	4176	45	1541	702
Apr 21, 2020	4318	56	1290	395
Apr 22, 2020	4449	58	1669	642
Apr 23, 2020	4593	70	1408	484
Apr 24, 2020	4749	72	1836	443
Apr 25, 2020	4865	76	1607	584
Apr 26, 2020	5041	71	1561	614
Apr 27, 2020	5245	103	1873	610
Apr 28, 2020	5399	69	1738	690
Apr 29, 2020	5540	177	1801	631
Apr 30, 2020	5673	129	2394	939
May 01, 2020	5768	93	2442	812
May 02, 2020	5906	107	2806	956
May 03, 2020	6252	97	3932	1072
May 04, 2020	6356	118	2963	1295
May 05, 2020	6458	114	3587	1189
May 06, 2020	6490	83	3364	1445
May 07, 2020	6654	123	3344	1111
May 08, 2020	6757	139	3113	1414
May 09, 2020	6953	100	4353	1668
May 10, 2020	3544	106	3607	1580
May 11, 2020	3517	121	3524	1871
May 12, 2020	3680	156	3763	1980
May 13, 2020	2510	134	3942	1569
May 14, 2020	2621	148	3787	2289
May 15, 2020	2778	134	4864	3966
May 16, 2020	2922	152	5050	2571
May 17, 2020	3100	145	4630	2438
May 18, 2020	3250	144	6147	3076
May 19, 2020	3392	158	5553	3113
May 20, 2020	3496	151	6198	3131
May 21, 2020	3580	175	6568	3271
May 22, 2020	3697	195	6629	2561
May 23, 2020	3999	179	7113	3307
May 24, 2020	4341	275	6414	3014
May 25, 2020	4594	215	5843	3571
May 26, 2020	4755	230	7293	3472
May 27, 2020	4034	206	7300	3171
May 28, 2020	4432	228	8105	11707
May 29, 2020	4665	266	8336	4309
May 30, 2020	3274	283	8782	4916
May 31, 2020	3613	293	7761	3902
Jun 01, 2020	3979	304	8821	4531
Jun 02, 2020	4229	268	9633	3786
Jun 03, 2020	4733	273	9889	4379
Jun 04, 2020	5062	253	9471	4783
Jun 05, 2020	5374	397	10438	5462
Jun 06, 2020	5500	402	10864	5153
Jun 07, 2020	5814	398	8442	5247
Jun 08, 2020	6055	316	8852	5070
Jun 09, 2020	6269	330	12375	6814
Jun 10, 2020	6499	404	11128	5993
Jun 11, 2020	7191	2048	11320	7259
Jun 12, 2020	5031	349	12023	8095
Jun 13, 2020	5871	354	11157	7363
Jun 14, 2020	6483	378	10243	10631
Jun 15, 2020	7208	314	11135	7232
Jun 16, 2020	7731	435	13103	6886
Jun 17, 2020	8353	320	13827	10744
Jun 18, 2020	9094	478	14721	9024
Jun 19, 2020	9430	433	15915	13975
Jun 20, 2020	10370	410	15183	9071
Jun 21, 2020	11170	389	13540	10885
Jun 22, 2020	11567	423	15665	10437
Jun 23, 2020	12084	395	16870	13114
Jun 24, 2020	12689	426	18185	13983
Jun 25, 2020	13673	520	18276	10246
Jun 26, 2020	14060	450	20131	14229
Jun 27, 2020	14696	389	19620	11628
Jun 28, 2020	15612	456	18339	13497
Jun 29, 2020	16570	627	18256	12565
Jun 30, 2020	17174	430	19428	12060
Jul 01, 2020	17873	488	21948	20006
Jul 02, 2020	18125	489	22721	14417
Jul 03, 2020	18352	502	24015	14743
Jul 04, 2020	18502	495	23932	15829
Jul 05, 2020	19416	532	22510	15259
Jul 06, 2020	20528	558	23135	16908
Jul 07, 2020	20766	515	25571	19496
Jul 08, 2020	20963	557	25790	19406
Jul 09, 2020	20940	609	27761	20246
Jul 10, 2020	20968	638	27755	20025
Jul 11, 2020	21269	702	29108	18198
Jul 12, 2020	21685	694	28179	17683
Jul 13, 2020	22322	556	29842	20968
Jul 14, 2020	22473	690	32682	20655
Jul 15, 2020	22844	616	35468	22867
Jul 16, 2020	23531	693	34820	17476
Jul 17, 2020	23850	1151	37407	23552
Jul 18, 2020	23696	774	40243	22769
Jul 19, 2020	23890	784	36810	24303
Jul 20, 2020	24135	713	39168	27691
Jul 21, 2020	23919	744	45599	31873
Jul 22, 2020	23604	654	48446	33327
Jul 23, 2020	23780	802	48892	32514
Jul 24, 2020	24039	798	48472	36128
Jul 25, 2020	24161	808	50525	32500
Jul 26, 2020	24871	790	46484	34454
Jul 27, 2020	25034	879	49632	35581
Jul 28, 2020	24693	781	52249	32841
Jul 29, 2020	24579	836	54966	37482
Jul 30, 2020	24576	875	57704	36554
Jul 31, 2020	24669	953	54865	51232
Aug 01, 2020	24853	931	52783	40349
Aug 02, 2020	24944	969	50629	43212
Aug 03, 2020	24866	907	51282	51220
Aug 04, 2020	24572	1042	56626	45540
Aug 05, 2020	23886	920	62170	50184
Aug 06, 2020	24186	863	61455	50285
Aug 07, 2020	24294	977	65156	52135
Aug 08, 2020	24558	1035	62117	54474
Aug 09, 2020	24105	1024	53016	47362
Aug 10, 2020	24220	981	61252	56461
