Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	2	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	2	0
Feb 21, 2020	0	0	13	0
Feb 22, 2020	0	0	8	1
Feb 23, 2020	0	1	7	2
Feb 24, 2020	0	0	0	22
Feb 25, 2020	0	3	35	0
Feb 26, 2020	0	1	27	29
Feb 27, 2020	0	0	21	19
Feb 28, 2020	0	0	17	50
Feb 29, 2020	0	2	38	52
Mar 01, 2020	0	12	55	116
Mar 02, 2020	2	6	82	144
Mar 03, 2020	2	7	60	117
Mar 04, 2020	2	6	81	187
Mar 05, 2020	2	10	64	174
Mar 06, 2020	4	1	65	756
Mar 07, 2020	4	6	107	465
Mar 08, 2020	6	3	104	260
Mar 09, 2020	19	20	103	337
Mar 10, 2020	25	9	153	228
Mar 11, 2020	31	15	109	317
Mar 12, 2020	30	12	130	253
Mar 13, 2020	60	8	129	810
Mar 14, 2020	83	14	114	251
Mar 15, 2020	104	21	149	406
Mar 16, 2020	121	13	113	393
Mar 17, 2020	156	11	196	321
Mar 18, 2020	197	10	106	269
Mar 19, 2020	269	7	181	766
Mar 20, 2020	320	11	218	890
Mar 21, 2020	392	12	247	278
Mar 22, 2020	437	19	218	463
Mar 23, 2020	500	40	337	537
Mar 24, 2020	601	26	219	712
Mar 25, 2020	701	21	330	832
Mar 26, 2020	780	46	399	676
Mar 27, 2020	913	26	316	546
Mar 28, 2020	994	60	282	712
Mar 29, 2020	1107	10	297	1520
Mar 30, 2020	1217	27	380	745
Mar 31, 2020	1311	24	407	817
Apr 01, 2020	1417	15	325	1238
Apr 02, 2020	1508	47	327	1224
Apr 03, 2020	1671	8	185	1801
Apr 04, 2020	1751	26	375	2275
Apr 05, 2020	1911	19	283	2225
Apr 06, 2020	2090	12	357	2803
Apr 07, 2020	2313	42	436	2773
Apr 08, 2020	2494	31	396	2497
Apr 09, 2020	2761	23	275	3156
Apr 10, 2020	2924	22	214	6482
Apr 11, 2020	3229	8	415	1947
Apr 12, 2020	3509	11	260	2089
Apr 13, 2020	3778	8	347	2146
Apr 14, 2020	3954	8	433	1804
Apr 15, 2020	4221	31	292	2296
Apr 16, 2020	4472	14	349	1835
Apr 17, 2020	4796	19	395	1923
Apr 18, 2020	5082	8	484	1036
Apr 19, 2020	5307	23	367	2250
Apr 20, 2020	5423	35	338	1692
Apr 21, 2020	5677	13	336	2148
Apr 22, 2020	5870	16	533	1730
Apr 23, 2020	6168	14	387	1756
Apr 24, 2020	6520	18	233	1594
Apr 25, 2020	6845	16	484	1464
Apr 26, 2020	7032	21	689	1276
Apr 27, 2020	7180	15	568	1506
Apr 28, 2020	7484	33	490	1352
Apr 29, 2020	7596	13	529	1312
Apr 30, 2020	7804	59	489	1215
May 01, 2020	8160	43	496	1032
May 02, 2020	8347	30	486	1072
May 03, 2020	8471	21	693	957
May 04, 2020	8769	36	973	1096
May 05, 2020	9002	48	634	1112
May 06, 2020	9226	25	949	1157
May 07, 2020	9465	21	526	1093
May 08, 2020	9675	19	479	1227
May 09, 2020	10079	27	415	1079
May 10, 2020	10361	55	686	1279
May 11, 2020	10393	23	687	935
May 12, 2020	10679	24	678	1071
May 13, 2020	11123	53	557	1111
May 14, 2020	11445	40	700	1297
May 15, 2020	11617	28	467	1311
May 16, 2020	12025	22	609	1317
May 17, 2020	12237	35	684	1197
May 18, 2020	12495	23	585	1512
May 19, 2020	12808	49	703	1635
May 20, 2020	13372	31	993	1756
May 21, 2020	14046	50	672	1712
May 22, 2020	14413	32	847	1796
May 23, 2020	15145	40	1043	1729
May 24, 2020	15497	36	1240	1912
May 25, 2020	15717	41	979	1724
May 26, 2020	15870	48	1111	1739
May 27, 2020	16321	43	1014	1812
May 28, 2020	16802	43	857	1943
May 29, 2020	17204	64	1017	1896
May 30, 2020	17185	33	1106	2021
May 31, 2020	17552	45	1031	2156
Jun 01, 2020	17662	63	1331	2073
Jun 02, 2020	17951	34	1041	2129
Jun 03, 2020	18129	56	1226	2279
Jun 04, 2020	18205	36	862	2256
Jun 05, 2020	18308	35	954	2297
Jun 06, 2020	18806	35	1051	2311
Jun 07, 2020	18837	38	1113	2011
Jun 08, 2020	19246	47	1178	2097
Jun 09, 2020	19739	63	1240	2133
Jun 10, 2020	20228	37	1385	2073
Jun 11, 2020	20659	34	1198	1986
Jun 12, 2020	21145	51	1082	2099
Jun 13, 2020	21553	71	1293	1926
Jun 14, 2020	21612	58	1385	1916
Jun 15, 2020	21973	53	1624	2085
Jun 16, 2020	22466	49	1301	2137
Jun 17, 2020	22912	53	1447	2179
Jun 18, 2020	23625	82	1607	2201
Jun 19, 2020	24081	70	1209	2192
Jun 20, 2020	24717	68	1268	2207
Jun 21, 2020	25022	50	1853	2836
Jun 22, 2020	25610	58	2657	2733
Jun 23, 2020	26120	52	1611	2936
Jun 24, 2020	26778	66	1671	3007
Jun 25, 2020	27118	71	1681	2749
Jun 26, 2020	27411	50	1282	2809
Jun 27, 2020	28183	54	1591	2649
Jun 28, 2020	28320	87	1522	2870
Jun 29, 2020	28487	76	1574	2578
Jun 30, 2020	28703	84	1462	2729
Jul 01, 2020	29241	59	1752	2611
Jul 02, 2020	29740	127	1639	2348
Jul 03, 2020	30091	96	1693	2503
Jul 04, 2020	30834	81	1655	2381
Jul 05, 2020	31473	139	1882	2753
Jul 06, 2020	31798	117	1906	2917
Jul 07, 2020	32132	89	1761	2463
Jul 08, 2020	33135	49	1868	2713
Jul 09, 2020	34668	67	1492	2839
Jul 10, 2020	35349	57	1525	2651
Jul 11, 2020	35764	63	1748	2327
Jul 12, 2020	36455	74	2381	2546
Jul 13, 2020	36636	83	1904	2731
Jul 14, 2020	37226	73	2040	2291
Jul 15, 2020	37247	62	1560	3047
Jul 16, 2020	37450	43	1519	2265
Jul 17, 2020	37339	66	1679	2427
Jul 18, 2020	37598	86	1922	2488
Jul 19, 2020	36977	64	1815	2299
Jul 20, 2020	36998	69	1882	2264
Jul 21, 2020	37083	72	2473	2489
Jul 22, 2020	37037	65	2277	2390
Jul 23, 2020	36917	65	1893	1982
Jul 24, 2020	36808	42	1687	2107
Jul 25, 2020	37218	59	1693	1894
Jul 26, 2020	37342	79	1942	1931
Jul 27, 2020	37292	65	2098	1875
Jul 28, 2020	36611	53	2307	2097
Jul 29, 2020	37319	50	2345	2084
Jul 30, 2020	36986	79	2081	2319
Jul 31, 2020	37338	57	1821	2311
Aug 01, 2020	36824	70	1673	2272
Aug 02, 2020	37244	69	1902	2126
Aug 03, 2020	37595	72	2266	2307
Aug 04, 2020	37618	82	2197	2397
Aug 05, 2020	37530	94	2090	2531
Aug 06, 2020	37587	86	2037	2261
Aug 07, 2020	38076	79	1877	2398
Aug 08, 2020	38539	99	2447	2249
Aug 09, 2020	38721	86	2306	2271
Aug 10, 2020	39082	120	2719	1978
Aug 11, 2020	39242	105	3003	1624
