Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	3	0
Feb 16, 2020	0	2	13	0
Feb 17, 2020	0	2	11	0
Feb 18, 2020	0	2	14	0
Feb 19, 2020	0	4	18	0
Feb 20, 2020	0	4	34	0
Feb 21, 2020	0	3	44	0
Feb 22, 2020	0	7	106	1
Feb 23, 2020	0	8	143	2
Feb 24, 2020	0	9	205	22
Feb 25, 2020	0	11	385	0
Feb 26, 2020	0	12	523	29
Feb 27, 2020	0	11	835	19
Feb 28, 2020	0	15	586	50
Feb 29, 2020	0	16	591	52
Mar 01, 2020	0	16	1234	116
Mar 02, 2020	0	21	1076	144
Mar 03, 2020	0	49	743	117
Mar 04, 2020	0	43	595	187
Mar 05, 2020	0	54	881	174
Mar 06, 2020	0	63	958	756
Mar 07, 2020	0	75	1075	465
Mar 08, 2020	0	85	1289	260
Mar 09, 2020	0	97	1365	337
Mar 10, 2020	1	113	1209	228
Mar 11, 2020	13	129	1053	317
Mar 12, 2020	13	135	1178	253
Mar 13, 2020	26	147	1192	810
Mar 14, 2020	42	149	1046	251
Mar 15, 2020	54	149	1237	406
Mar 16, 2020	68	123	966	393
Mar 17, 2020	68	129	1028	321
Mar 18, 2020	108	127	1411	269
Mar 19, 2020	135	122	1762	766
Mar 20, 2020	198	143	2206	890
Mar 21, 2020	241	157	2389	278
Mar 22, 2020	309	144	2926	463
Mar 23, 2020	338	139	3076	537
Mar 24, 2020	436	123	2901	712
Mar 25, 2020	548	117	3186	832
Mar 26, 2020	663	141	3110	676
Mar 27, 2020	770	138	2988	546
Mar 28, 2020	880	124	2875	712
Mar 29, 2020	961	134	2715	1520
Mar 30, 2020	1039	158	2560	745
Mar 31, 2020	1142	151	2483	817
Apr 01, 2020	1276	136	2274	1238
Apr 02, 2020	1429	133	2089	1224
Apr 03, 2020	1622	121	1997	1801
Apr 04, 2020	1742	117	1634	2275
Apr 05, 2020	1742	122	1972	2225
Apr 06, 2020	2031	125	1837	2803
Apr 07, 2020	2031	117	1657	2773
Apr 08, 2020	2449	111	1617	2497
Apr 09, 2020	2670	98	1574	3156
Apr 10, 2020	2883	94	1512	6482
Apr 11, 2020	3132	92	1606	1947
Apr 12, 2020	3284	89	1499	2089
Apr 13, 2020	3317	73	1374	2146
Apr 14, 2020	3407	87	1343	1804
Apr 15, 2020	3573	91	1294	2296
Apr 16, 2020	3573	88	1297	1835
Apr 17, 2020	3809	94	1194	1923
Apr 18, 2020	3972	90	1030	1036
Apr 19, 2020	4013	93	1168	2250
Apr 20, 2020	4176	76	1134	1692
Apr 21, 2020	4318	60	1153	2148
Apr 22, 2020	4449	96	991	1730
Apr 23, 2020	4593	71	1112	1756
Apr 24, 2020	4749	80	1073	1594
Apr 25, 2020	4865	71	983	1464
Apr 26, 2020	5041	63	1006	1276
Apr 27, 2020	5245	65	802	1506
Apr 28, 2020	5399	47	976	1352
Apr 29, 2020	5540	74	1223	1312
Apr 30, 2020	5673	63	1323	1215
May 01, 2020	5768	78	1680	1032
May 02, 2020	5906	68	1485	1072
May 03, 2020	6252	55	1556	957
May 04, 2020	6356	48	1529	1096
May 05, 2020	6458	51	1383	1112
May 06, 2020	6490	45	1683	1157
May 07, 2020	6654	48	1481	1093
May 08, 2020	6757	50	1958	1227
May 09, 2020	6953	71	1808	1079
May 10, 2020	3544	48	2102	1279
May 11, 2020	3517	35	1757	935
May 12, 2020	3680	51	1806	1071
May 13, 2020	2510	69	2294	1111
May 14, 2020	2621	62	2111	1297
May 15, 2020	2778	64	2346	1311
May 16, 2020	2922	66	2392	1317
May 17, 2020	3100	51	2311	1197
May 18, 2020	3250	59	1869	1512
May 19, 2020	3392	58	2180	1635
May 20, 2020	3496	34	2023	1756
May 21, 2020	3580	57	1787	1712
May 22, 2020	3697	56	2080	1796
May 23, 2020	3999	63	2258	1729
May 24, 2020	4341	50	2819	1912
May 25, 2020	4594	57	2282	1724
May 26, 2020	4755	63	2516	1739
May 27, 2020	4034	81	2979	1812
May 28, 2020	4432	64	3117	1943
May 29, 2020	4665	70	3134	1896
May 30, 2020	3274	59	3574	2021
May 31, 2020	3613	63	2886	2156
Jun 01, 2020	3979	75	2269	2073
Jun 02, 2020	4229	72	2364	2129
Jun 03, 2020	4733	70	2043	2279
Jun 04, 2020	5062	74	2095	2256
Jun 05, 2020	5374	81	2011	2297
Jun 06, 2020	5500	78	2218	2311
Jun 07, 2020	5814	75	2389	2011
Jun 08, 2020	6055	71	2410	2097
Jun 09, 2020	6269	107	2472	2133
Jun 10, 2020	6499	113	2449	2073
Jun 11, 2020	7191	115	2563	1986
Jun 12, 2020	5031	120	2612	2099
Jun 13, 2020	5871	87	2596	1926
Jun 14, 2020	6483	120	2615	1916
Jun 15, 2020	7208	115	2322	2085
Jun 16, 2020	7731	116	2368	2137
Jun 17, 2020	8353	119	2573	2179
Jun 18, 2020	9094	121	2445	2201
Jun 19, 2020	9430	133	2531	2192
Jun 20, 2020	10370	134	2595	2207
Jun 21, 2020	11170	109	2628	2836
Jun 22, 2020	11567	125	2456	2733
Jun 23, 2020	12084	144	2489	2936
Jun 24, 2020	12689	162	2536	3007
Jun 25, 2020	13673	147	2457	2749
Jun 26, 2020	14060	141	2549	2809
Jun 27, 2020	14696	148	2652	2649
Jun 28, 2020	15612	154	2566	2870
Jun 29, 2020	16570	148	2449	2578
Jun 30, 2020	17174	163	2560	2729
Jul 01, 2020	17873	160	2613	2611
Jul 02, 2020	18125	200	2637	2348
Jul 03, 2020	18352	153	2691	2503
Jul 04, 2020	18502	221	2079	2381
Jul 05, 2020	19416	142	2262	2753
Jul 06, 2020	20528	188	2397	2917
Jul 07, 2020	20766	194	2186	2463
Jul 08, 2020	20963	203	2349	2713
Jul 09, 2020	20940	179	2521	2839
Jul 10, 2020	20968	199	2388	2651
Jul 11, 2020	21269	198	2500	2327
Jul 12, 2020	21685	183	2379	2546
Jul 13, 2020	22322	188	2166	2731
Jul 14, 2020	22473	209	2182	2291
Jul 15, 2020	22844	217	2414	3047
Jul 16, 2020	23531	229	2625	2265
Jul 17, 2020	23850	219	2586	2427
Jul 18, 2020	23696	221	2621	2488
Jul 19, 2020	23890	215	2489	2299
Jul 20, 2020	24135	195	2316	2264
Jul 21, 2020	23919	216	2333	2489
Jul 22, 2020	23604	212	2434	2390
