Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	1
Feb 17, 2020	0	0	4	2
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	2	0
Feb 20, 2020	0	0	1	2
Feb 21, 2020	0	0	5	1
Feb 22, 2020	1	0	6	1
Feb 23, 2020	1	2	8	-6
Feb 24, 2020	1	1	5	7
Feb 25, 2020	5	1	5	0
Feb 26, 2020	5	0	3	6
Feb 27, 2020	7	2	6	0
Feb 28, 2020	8	1	8	0
Feb 29, 2020	13	0	11	2
Mar 01, 2020	19	0	6	0
Mar 02, 2020	27	1	0	0
Mar 03, 2020	32	1	0	0
Mar 04, 2020	35	1	12	1
Mar 05, 2020	37	0	18	0
Mar 06, 2020	41	0	9	0
Mar 07, 2020	49	1	14	2
Mar 08, 2020	58	1	9	0
Mar 09, 2020	61	1	21	0
Mar 10, 2020	49	4	10	1
Mar 11, 2020	49	0	28	1
Mar 12, 2020	51	3	16	0
Mar 13, 2020	68	3	6	0
Mar 14, 2020	74	4	19	0
Mar 15, 2020	88	2	33	0
Mar 16, 2020	91	7	50	6
Mar 17, 2020	102	4	30	1
Mar 18, 2020	111	2	36	0
Mar 19, 2020	130	0	76	0
Mar 20, 2020	142	4	48	2
Mar 21, 2020	146	4	41	0
Mar 22, 2020	156	2	83	8
Mar 23, 2020	181	2	64	0
Mar 24, 2020	214	0	34	18
Mar 25, 2020	214	2	44	18
Mar 26, 2020	241	5	48	9
Mar 27, 2020	296	3	58	0
Mar 28, 2020	333	1	83	132
Mar 29, 2020	362	4	70	0
Mar 30, 2020	432	0	91	113
Mar 31, 2020	474	1	80	163
Apr 01, 2020	494	2	30	0
Apr 02, 2020	516	4	47	107
Apr 03, 2020	540	2	39	62
Apr 04, 2020	563	0	34	119
Apr 05, 2020	621	1	26	0
Apr 06, 2020	623	1	22	95
Apr 07, 2020	684	1	15	0
Apr 08, 2020	681	1	19	52
Apr 09, 2020	667	0	48	73
Apr 10, 2020	659	0	31	122
Apr 11, 2020	645	1	26	83
Apr 12, 2020	636	0	35	70
Apr 13, 2020	583	0	28	117
Apr 14, 2020	556	3	29	92
Apr 15, 2020	524	0	46	96
Apr 16, 2020	498	1	31	96
