Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	7	0	0	0
Feb 16, 2020	7	0	0	0
Feb 17, 2020	7	0	0	0
Feb 18, 2020	7	0	0	0
Feb 19, 2020	7	0	0	1
Feb 20, 2020	6	0	1	0
Feb 21, 2020	7	0	0	0
Feb 22, 2020	7	0	0	0
Feb 23, 2020	7	0	1	0
Feb 24, 2020	8	0	0	0
Feb 25, 2020	8	0	0	0
Feb 26, 2020	8	0	1	0
Feb 27, 2020	9	0	3	0
Feb 28, 2020	12	0	0	0
Feb 29, 2020	12	0	1	0
Mar 01, 2020	13	0	5	0
Mar 02, 2020	18	0	3	0
Mar 03, 2020	21	0	0	0
Mar 04, 2020	21	0	9	0
Mar 05, 2020	30	0	4	0
Mar 06, 2020	34	0	4	0
Mar 07, 2020	38	0	9	0
Mar 08, 2020	47	0	4	0
Mar 09, 2020	51	0	33	0
Mar 10, 2020	84	0	19	0
Mar 11, 2020	103	0	22	0
Mar 12, 2020	125	0	35	1
Mar 13, 2020	159	1	29	0
Mar 14, 2020	188	0	40	0
Mar 15, 2020	228	0	73	0
Mar 16, 2020	301	0	94	2
Mar 17, 2020	393	3	125	2
Mar 18, 2020	516	1	136	4
Mar 19, 2020	648	5	168	1
Mar 20, 2020	814	2	209	0
Mar 21, 2020	1023	1	252	5
Mar 22, 2020	1270	3	350	6
Mar 23, 2020	1614	1	420	5
Mar 24, 2020	2026	4	423	6
Mar 25, 2020	2442	8	519	9
Mar 26, 2020	2947	9	432	18
Mar 27, 2020	3359	5	476	9
Mar 28, 2020	3825	6	528	14
Mar 29, 2020	4336	7	551	33
Mar 30, 2020	4853	8	737	43
Mar 31, 2020	5543	8	694	32
Apr 01, 2020	6197	8	724	79
Apr 02, 2020	6833	9	600	54
Apr 03, 2020	7374	8	428	52
Apr 04, 2020	7744	6	584	101
Apr 05, 2020	8220	6	449	118
Apr 06, 2020	8543	9	376	120
Apr 07, 2020	8791	8	340	106
Apr 08, 2020	9017	13	340	110
Apr 09, 2020	9238	7	355	125
Apr 10, 2020	9460	9	342	120
Apr 11, 2020	9676	11	551	258
Apr 12, 2020	9963	8	437	278
Apr 13, 2020	10113	6	394	286
Apr 14, 2020	10213	10	305	276
Apr 15, 2020	10229	3	296	328
Apr 16, 2020	10190	4	297	356
Apr 17, 2020	10122	3	288	249
Apr 18, 2020	10150	3	274	380
Apr 19, 2020	10036	2	297	448
Apr 20, 2020	9879	4	279	372
Apr 21, 2020	9776	5	226	391
Apr 22, 2020	9608	6	275	329
Apr 23, 2020	9550	6	249	337
Apr 24, 2020	9459	4	159	375
Apr 25, 2020	9240	3	82	431
Apr 26, 2020	8889	3	127	467
Apr 27, 2020	8545	3	161	564
Apr 28, 2020	8137	2	82	350
Apr 29, 2020	7863	1	143	426
Apr 30, 2020	7574	1	116	423
May 01, 2020	7263	6	57	278
May 02, 2020	7039	3	27	286
May 03, 2020	6777	4	55	257
May 04, 2020	6572	5	33	318
May 05, 2020	6285	3	65	261
May 06, 2020	6088	3	61	225
May 07, 2020	5923	3	33	222
May 08, 2020	5728	0	20	91
May 09, 2020	5654	3	29	168
May 10, 2020	5511	4	39	327
May 11, 2020	5218	3	23	258
May 12, 2020	4980	2	39	177
May 13, 2020	4839	1	22	240
May 14, 2020	4618	0	12	160
May 15, 2020	4470	0	5	102
May 16, 2020	4370	0	15	150
May 17, 2020	4231	1	27	274
May 18, 2020	3981	2	22	152
May 19, 2020	3849	0	15	109
May 20, 2020	3754	2	18	122
May 21, 2020	3650	1	19	162
May 22, 2020	3507	0	5	44
May 23, 2020	3468	0	13	115
May 24, 2020	3365	0	22	132
May 25, 2020	3253	3	50	91
May 26, 2020	3212	2	40	60
May 27, 2020	3190	1	77	113
May 28, 2020	3153	0	113	39
May 29, 2020	3227	1	29	41
May 30, 2020	3215	4	87	61
May 31, 2020	3241	2	100	67
Jun 01, 2020	3271	0	121	53
Jun 02, 2020	3337	1	96	27
Jun 03, 2020	3405	1	142	42
Jun 04, 2020	3505	0	127	37
Jun 05, 2020	3594	0	78	24
Jun 06, 2020	3644	1	140	42
Jun 07, 2020	3740	2	179	39
