Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	6	0
Feb 16, 2020	0	0	7	18
Feb 17, 2020	0	0	8	2
Feb 18, 2020	0	0	10	0
Feb 19, 2020	0	0	10	0
Feb 20, 2020	0	0	15	2
Feb 21, 2020	0	0	25	0
Feb 22, 2020	0	0	12	1
Feb 23, 2020	0	0	13	0
Feb 24, 2020	0	0	2	0
Feb 25, 2020	0	2	11	0
Feb 26, 2020	0	1	42	9
Feb 27, 2020	0	1	19	0
Feb 28, 2020	0	0	8	0
Feb 29, 2020	0	1	15	10
Mar 01, 2020	0	0	18	0
Mar 02, 2020	0	0	19	1
Mar 03, 2020	0	0	38	0
Mar 04, 2020	0	0	33	0
Mar 05, 2020	0	0	56	6
Mar 06, 2020	2	0	41	27
Mar 07, 2020	3	1	41	0
Mar 08, 2020	7	2	28	8
Mar 09, 2020	21	3	57	18
Mar 10, 2020	29	3	52	16
Mar 11, 2020	44	4	52	0
Mar 12, 2020	44	2	43	0
Mar 13, 2020	56	1	70	26
Mar 14, 2020	99	2	29	0
Mar 15, 2020	124	4	17	0
Mar 16, 2020	126	1	28	0
Mar 17, 2020	168	0	36	47
Mar 18, 2020	178	4	29	0
Mar 19, 2020	192	2	64	24
Mar 20, 2020	203	1	47	0
Mar 21, 2020	275	5	47	20
Mar 22, 2020	340	1	27	0
Mar 23, 2020	411	1	65	50
Mar 24, 2020	497	2	114	25
Mar 25, 2020	572	2	80	49
Mar 26, 2020	634	2	112	13
Mar 27, 2020	718	3	194	32
Mar 28, 2020	972	2	173	20
Mar 29, 2020	1305	2	87	0
Mar 30, 2020	1424	1	226	0
Mar 31, 2020	1943	0	206	48
Apr 01, 2020	2158	6	234	0
Apr 02, 2020	2464	6	319	42
Apr 03, 2020	2814	8	204	0
Apr 04, 2020	2881	8	516	61
Apr 05, 2020	3023	7	253	17
Apr 06, 2020	3419	1	352	30
Apr 07, 2020	3503	1	411	10
Apr 08, 2020	3592	5	682	53
Apr 09, 2020	3749	0	660	0
Apr 10, 2020	3834	9	745	77
Apr 11, 2020	4024	15	624	22
Apr 12, 2020	4154	20	249	15
Apr 13, 2020	4375	3	268	54
Apr 14, 2020	4593	32	743	48
Apr 15, 2020	4751	12	606	34
Apr 16, 2020	4863	0	557	0
Apr 17, 2020	5004	32	510	134
Apr 18, 2020	5174	14	502	90
Apr 19, 2020	5278	27	339	80
Apr 20, 2020	5418	18	378	117
Apr 21, 2020	5508	18	439	68
Apr 22, 2020	5571	29	419	70
Apr 23, 2020	5797	17	345	36
Apr 24, 2020	5953	15	520	126
Apr 25, 2020	6008	12	219	153
Apr 26, 2020	6216	13	165	90
Apr 27, 2020	6334	9	122	0
Apr 28, 2020	6453	19	159	470
Apr 29, 2020	6631	17	193	92
Apr 30, 2020	6877	25	218	516
May 01, 2020	7109	19	267	231
May 02, 2020	7201	13	307	778
May 03, 2020	7402	49	201	175
May 04, 2020	7547	20	175	341
May 05, 2020	7639	0	0	0
May 06, 2020	7840	21	225	423
May 07, 2020	8040	13	98	229
May 08, 2020	8033	17	88	762
May 09, 2020	8064	17	114	2226
May 10, 2020	8151	9	70	166
May 11, 2020	8361	24	121	239
May 12, 2020	8493	21	81	390
May 13, 2020	8595	19	71	950
