Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	2	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	1	0
Feb 19, 2020	0	0	3	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	2	0	0
Feb 22, 2020	0	1	0	0
Feb 23, 2020	0	0	8	0
Feb 24, 2020	0	0	1	0
Feb 25, 2020	0	2	9	0
Feb 26, 2020	0	0	3	0
Feb 27, 2020	0	0	3	0
Feb 28, 2020	0	1	0	0
Feb 29, 2020	0	0	7	0
Mar 01, 2020	0	0	4	0
Mar 02, 2020	0	1	8	0
Mar 03, 2020	0	1	9	0
Mar 04, 2020	0	0	22	0
Mar 05, 2020	0	1	29	0
Mar 06, 2020	0	1	12	0
Mar 07, 2020	0	0	4	0
Mar 08, 2020	0	1	16	0
Mar 09, 2020	0	2	16	0
Mar 10, 2020	0	0	14	0
Mar 11, 2020	0	0	7	0
Mar 12, 2020	0	0	5	0
Mar 13, 2020	1	0	5	0
Mar 14, 2020	1	0	2	0
Mar 15, 2020	3	0	6	0
Mar 16, 2020	3	0	11	0
Mar 17, 2020	4	0	8	0
Mar 18, 2020	7	0	9	0
Mar 19, 2020	7	1	9	6
Mar 20, 2020	7	2	12	2
Mar 21, 2020	7	4	16	0
Mar 22, 2020	15	1	8	3
Mar 23, 2020	16	2	11	6
Mar 24, 2020	25	0	15	5
Mar 25, 2020	27	0	7	0
Mar 26, 2020	29	2	17	21
Mar 27, 2020	29	3	16	18
Mar 28, 2020	36	0	7	14
Mar 29, 2020	40	1	12	81
Mar 30, 2020	48	2	8	0
Mar 31, 2020	57	1	11	78
Apr 01, 2020	76	3	10	101
Apr 02, 2020	102	4	12	92
Apr 03, 2020	113	2	15	101
Apr 04, 2020	117	3	24	90
Apr 05, 2020	133	5	30	110
Apr 06, 2020	147	0	25	170
Apr 07, 2020	157	0	45	217
Apr 08, 2020	161	0	47	159
Apr 09, 2020	161	0	25	297
Apr 10, 2020	153	0	14	293
Apr 11, 2020	152	0	28	195
Apr 12, 2020	156	0	23	308
Apr 13, 2020	146	1	28	279
Apr 14, 2020	153	1	15	291
Apr 15, 2020	145	0	22	362
Apr 16, 2020	153	3	21	322
Apr 17, 2020	165	3	23	414
Apr 18, 2020	171	4	49	303
Apr 19, 2020	168	1	57	338
Apr 20, 2020	176	1	25	293
Apr 21, 2020	184	5	51	417
Apr 22, 2020	191	2	66	418
Apr 23, 2020	188	3	80	523
Apr 24, 2020	197	4	52	419
Apr 25, 2020	199	1	31	278
Apr 26, 2020	200	4	22	303
Apr 27, 2020	197	1	72	383
Apr 28, 2020	195	1	62	347
Apr 29, 2020	197	3	123	523
Apr 30, 2020	187	1	147	438
May 01, 2020	190	3	127	554
May 02, 2020	210	4	143	469
May 03, 2020	218	4	74	374
May 04, 2020	235	3	59	295
May 05, 2020	268	1	72	479
May 06, 2020	302	1	123	475
May 07, 2020	315	2	124	496
May 08, 2020	322	10	134	507
May 09, 2020	342	2	126	445
May 10, 2020	320	2	167	493
May 11, 2020	331	2	95	520
May 12, 2020	332	2	127	740
May 13, 2020	320	3	105	790
May 14, 2020	335	2	121	959
May 15, 2020	355	2	90	1400
May 16, 2020	376	5	152	1199
May 17, 2020	417	4	137	952
May 18, 2020	411	2	133	1342
May 19, 2020	432	1	133	997
May 20, 2020	487	4	184	1488
May 21, 2020	555	1	213	1350
May 22, 2020	600	3	117	1204
May 23, 2020	631	2	104	1602
May 24, 2020	648	5	260	1154
May 25, 2020	693	1	59	1613
May 26, 2020	751	4	155	2625
May 27, 2020	867	3	254	2610
May 28, 2020	993	2	178	2448
May 29, 2020	1093	4	149	1833
May 30, 2020	1200	8	278	2296
May 31, 2020	1254	3	259	2219
Jun 01, 2020	1303	1	120	0
Jun 02, 2020	1350	12	176	41227
Jun 03, 2020	1397	5	307	4575
Jun 04, 2020	1464	7	268	4883
Jun 05, 2020	1528	8	247	0
Jun 06, 2020	1565	5	389	0
Jun 07, 2020	1669	3	309	0
Jun 08, 2020	1632	9	181	0
Jun 09, 2020	1724	4	183	0
Jun 10, 2020	1592	12	278	30813
Jun 11, 2020	1651	10	447	4914
Jun 12, 2020	1640	3	473	5938
Jun 13, 2020	1711	11	278	6408
Jun 14, 2020	1802	4	379	5088
Jun 15, 2020	1890	2	189	7440
Jun 16, 2020	1965	5	497	0
Jun 17, 2020	2113	14	461	30209
Jun 18, 2020	2173	12	421	5050
Jun 19, 2020	2165	14	389	5118
Jun 20, 2020	2218	16	688	3960
Jun 21, 2020	2448	23	603	4828
Jun 22, 2020	2407	5	418	5173
Jun 23, 2020	2421	13	397	4523
Jun 24, 2020	2618	6	637	4234
Jun 25, 2020	2748	3	796	4104
Jun 26, 2020	2827	8	667	4624
Jun 27, 2020	3059	14	375	4155
Jun 28, 2020	3269	5	960	3944
Jun 29, 2020	3331	2	372	5075
Jun 30, 2020	3468	3	606	4214
Jul 01, 2020	3707	15	544	3804
Jul 02, 2020	3945	18	788	4096
Jul 03, 2020	4137	4	723	4102
Jul 04, 2020	4402	5	727	3587
Jul 05, 2020	4641	7	690	3339
Jul 06, 2020	4647	2	544	3874
Jul 07, 2020	4706	8	605	3458
Jul 08, 2020	4862	5	671	3219
Jul 09, 2020	5219	19	538	3131
Jul 10, 2020	5582	10	727	3061
Jul 11, 2020	5724	16	699	2788
Jul 12, 2020	6036	10	599	2654
Jul 13, 2020	6125	6	492	2664
Jul 14, 2020	6521	6	497	2865
Jul 15, 2020	6906	5	679	3216
Jul 16, 2020	6550	5	650	1513
Jul 17, 2020	6469	3	580	2635
Jul 18, 2020	6538	0	515	2345
Jul 19, 2020	6212	5	271	2198
Jul 20, 2020	5960	2	245	2824
Jul 21, 2020	5479	3	271	2425
Jul 22, 2020	5433	0	379	2190
Jul 23, 2020	5716	4	426	2265
Jul 24, 2020	5953	4	322	2473
Jul 25, 2020	6151	4	355	1926
Jul 26, 2020	6881	5	246	1859
Jul 27, 2020	7127	3	193	2378
Jul 28, 2020	7618	2	246	2225
Jul 29, 2020	7998	0	213	2071
Jul 30, 2020	8637	8	373	1699
Jul 31, 2020	9285	5	241	2180
Aug 01, 2020	9647	4	164	1904
Aug 02, 2020	10254	3	263	1565
Aug 03, 2020	10430	3	144	2354
Aug 04, 2020	10237	2	114	1961
Aug 05, 2020	10092	10	178	1877
Aug 06, 2020	9929	3	212	2000
Aug 07, 2020	9733	5	179	1965
Aug 08, 2020	9374	4	136	1693
Aug 09, 2020	8539	0	83	1516
Aug 10, 2020	8308	2	102	2199
Aug 11, 2020	8288	2	151	1878
Aug 12, 2020	7947	9	104	1712
Aug 13, 2020	7932	5	143	1906
Aug 14, 2020	8240	5	190	1914
Aug 15, 2020	7842	13	176	1877
Aug 16, 2020	7186	7	188	1557
Aug 17, 2020	6743	2	48	2055
Aug 18, 2020	6729	9	96	1845
Aug 19, 2020	6760	7	92	1778
Aug 20, 2020	6829	4	183	1834
Aug 21, 2020	6747	7	148	1833
Aug 22, 2020	6693	7	105	1449
Aug 23, 2020	6640	3	152	1285
Aug 24, 2020	6524	3	98	1999
Aug 25, 2020	6549	4	139	1805
Aug 26, 2020	6432	8	130	1654
Aug 27, 2020	6705	5	141	1530
