Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	2	0
Feb 19, 2020	0	0	5	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	2	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	1	0
Feb 24, 2020	0	0	6	0
Feb 25, 2020	0	0	1	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	1	0
Feb 28, 2020	0	0	1	0
Feb 29, 2020	0	0	1	0
Mar 01, 2020	0	0	3	0
Mar 02, 2020	0	0	0	0
Mar 03, 2020	0	0	1	0
Mar 04, 2020	0	0	0	0
Mar 05, 2020	0	0	1	0
Mar 06, 2020	0	1	9	0
Mar 07, 2020	0	0	13	0
Mar 08, 2020	0	0	1	0
Mar 09, 2020	0	0	0	0
Mar 10, 2020	0	0	0	0
Mar 11, 2020	0	0	2	0
Mar 12, 2020	0	0	0	0
Mar 13, 2020	0	1	8	0
Mar 14, 2020	0	0	1	0
Mar 15, 2020	0	0	0	0
Mar 16, 2020	0	0	1	0
Mar 17, 2020	0	0	0	0
Mar 18, 2020	0	0	0	0
Mar 19, 2020	0	0	0	6
Mar 20, 2020	0	0	0	2
Mar 21, 2020	0	0	0	0
Mar 22, 2020	0	0	0	3
Mar 23, 2020	0	0	2	6
Mar 24, 2020	1	0	0	5
Mar 25, 2020	1	0	0	0
Mar 26, 2020	1	0	0	21
Mar 27, 2020	1	0	0	18
Mar 28, 2020	3	0	1	14
Mar 29, 2020	8	0	0	81
Mar 30, 2020	8	0	0	0
Mar 31, 2020	9	0	0	78
Apr 01, 2020	10	0	0	101
Apr 02, 2020	10	0	0	92
Apr 03, 2020	16	0	0	101
Apr 04, 2020	17	0	0	90
Apr 05, 2020	17	0	0	110
Apr 06, 2020	17	0	0	170
Apr 07, 2020	18	0	1	217
Apr 08, 2020	12	0	0	159
Apr 09, 2020	15	1	0	297
Apr 10, 2020	15	1	3	293
Apr 11, 2020	16	0	1	195
Apr 12, 2020	15	0	2	308
Apr 13, 2020	16	0	1	279
Apr 14, 2020	25	0	3	291
Apr 15, 2020	36	0	0	362
Apr 16, 2020	37	0	0	322
Apr 17, 2020	37	0	2	414
Apr 18, 2020	37	0	22	303
Apr 19, 2020	39	0	6	338
Apr 20, 2020	35	0	13	293
Apr 21, 2020	43	0	12	417
Apr 22, 2020	44	0	26	418
Apr 23, 2020	43	0	12	523
Apr 24, 2020	41	0	14	419
Apr 25, 2020	41	1	14	278
Apr 26, 2020	41	2	13	303
Apr 27, 2020	41	2	30	383
Apr 28, 2020	41	0	17	347
Apr 29, 2020	41	0	0	523
Apr 30, 2020	40	0	76	438
May 01, 2020	42	0	27	554
May 02, 2020	38	0	19	469
May 03, 2020	38	0	15	374
May 04, 2020	37	0	16	295
May 05, 2020	37	0	9	479
May 06, 2020	37	7	36	475
May 07, 2020	37	1	13	496
May 08, 2020	37	0	17	507
May 09, 2020	37	0	16	445
May 10, 2020	37	0	10	493
May 11, 2020	33	3	10	520
May 12, 2020	33	2	24	740
May 13, 2020	33	1	27	790
May 14, 2020	33	1	24	959
May 15, 2020	33	1	44	1400
May 16, 2020	34	1	31	1199
May 17, 2020	27	0	28	952
May 18, 2020	27	5	15	1342
May 19, 2020	30	2	14	997
May 20, 2020	31	1	35	1488
May 21, 2020	33	1	40	1350
May 22, 2020	31	2	22	1204
May 23, 2020	33	0	50	1602
May 24, 2020	33	0	17	1154
May 25, 2020	32	1	27	1613
May 26, 2020	34	1	71	2625
May 27, 2020	55	2	57	2610
May 28, 2020	59	1	71	2448
May 29, 2020	72	3	65	1833
May 30, 2020	75	1	86	2296
May 31, 2020	99	1	74	2219
Jun 01, 2020	111	0	0	0
Jun 02, 2020	125	1	47	41227
Jun 03, 2020	139	1	44	4575
Jun 04, 2020	152	3	79	4883
Jun 05, 2020	182	3	51	0
Jun 06, 2020	199	1	26	0
Jun 07, 2020	199	1	63	0
Jun 08, 2020	270	2	52	0
Jun 09, 2020	296	4	87	0
Jun 10, 2020	314	3	75	30813
Jun 11, 2020	329	4	114	4914
Jun 12, 2020	344	2	108	5938
Jun 13, 2020	348	1	88	6408
Jun 14, 2020	381	6	138	5088
Jun 15, 2020	387	3	110	7440
Jun 16, 2020	398	10	123	0
Jun 17, 2020	412	3	122	30209
Jun 18, 2020	419	3	158	5050
Jun 19, 2020	427	8	190	5118
Jun 20, 2020	436	1	205	3960
Jun 21, 2020	458	5	216	4828
Jun 22, 2020	469	6	183	5173
Jun 23, 2020	490	6	70	4523
Jun 24, 2020	514	7	146	4234
Jun 25, 2020	540	0	226	4104
Jun 26, 2020	553	3	161	4624
Jun 27, 2020	538	4	251	4155
Jun 28, 2020	545	6	404	3944
Jun 29, 2020	573	8	200	5075
Jun 30, 2020	591	4	153	4214
Jul 01, 2020	626	7	219	3804
Jul 02, 2020	641	5	478	4096
Jul 03, 2020	661	4	373	4102
Jul 04, 2020	704	7	309	3587
Jul 05, 2020	753	8	439	3339
Jul 06, 2020	814	0	277	3874
Jul 07, 2020	852	11	411	3458
Jul 08, 2020	926	4	434	3219
Jul 09, 2020	997	7	407	3131
Jul 10, 2020	997	9	489	3061
Jul 11, 2020	1011	7	395	2788
Jul 12, 2020	1053	5	244	2654
Jul 13, 2020	1105	1	414	2664
Jul 14, 2020	1151	5	316	2865
Jul 15, 2020	1173	5	0	3216
Jul 16, 2020	1227	8	572	1513
Jul 17, 2020	1277	4	272	2635
Jul 18, 2020	1358	8	553	2345
Jul 19, 2020	1400	10	440	2198
Jul 20, 2020	1490	13	355	2824
Jul 21, 2020	1559	11	329	2425
Jul 22, 2020	1634	18	465	2190
Jul 23, 2020	1757	10	543	2265
Jul 24, 2020	1863	15	658	2473
Jul 25, 2020	1979	13	532	1926
Jul 26, 2020	2056	2	617	1859
Jul 27, 2020	2186	8	672	2378
Jul 28, 2020	2371	6	649	2225
Jul 29, 2020	2555	15	655	2071
Jul 30, 2020	2761	11	1085	1699
Jul 31, 2020	2929	11	749	2180
Aug 01, 2020	2992	13	879	1904
Aug 02, 2020	3131	16	477	1565
Aug 03, 2020	3345	0	969	2354
Aug 04, 2020	3495	16	440	1961
Aug 05, 2020	3736	10	433	1877
Aug 06, 2020	4120	9	734	2000
Aug 07, 2020	4311	5	629	1965
Aug 08, 2020	4428	17	792	1693
Aug 09, 2020	4631	8	886	1516
Aug 10, 2020	5080	21	616	2199
Aug 11, 2020	5430	7	796	1878
Aug 12, 2020	5701	13	715	1712
Aug 13, 2020	6099	11	847	1906
Aug 14, 2020	6340	8	650	1914
Aug 15, 2020	6699	11	651	1877
Aug 16, 2020	7086	8	535	1557
Aug 17, 2020	7453	14	658	2055
Aug 18, 2020	7901	4	538	1845
Aug 19, 2020	8276	6	536	1778
Aug 20, 2020	8487	6	849	1834
Aug 21, 2020	8888	8	801	1833
Aug 22, 2020	9164	5	511	1449
Aug 23, 2020	9164	2	683	1285
