Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	14	0	0	0
Feb 16, 2020	14	0	0	0
Feb 17, 2020	11	0	0	0
Feb 18, 2020	9	0	0	0
Feb 19, 2020	5	0	0	1
Feb 20, 2020	5	0	0	0
Feb 21, 2020	5	0	0	0
Feb 22, 2020	4	0	0	0
Feb 23, 2020	4	0	0	0
Feb 24, 2020	2	0	0	0
Feb 25, 2020	2	0	0	0
Feb 26, 2020	2	0	1	0
Feb 27, 2020	1	0	2	0
Feb 28, 2020	3	0	0	0
Feb 29, 2020	3	0	4	0
Mar 01, 2020	7	0	0	0
Mar 02, 2020	7	0	7	0
Mar 03, 2020	14	0	14	0
Mar 04, 2020	27	0	5	0
Mar 05, 2020	32	0	28	0
Mar 06, 2020	60	0	10	0
Mar 07, 2020	69	0	6	0
Mar 08, 2020	74	0	18	0
Mar 09, 2020	91	0	12	0
Mar 10, 2020	103	0	20	0
Mar 11, 2020	122	0	9	0
Mar 12, 2020	125	2	39	1
Mar 13, 2020	164	0	41	0
Mar 14, 2020	201	0	190	0
Mar 15, 2020	386	1	125	0
Mar 16, 2020	511	5	120	2
Mar 17, 2020	622	2	117	2
Mar 18, 2020	728	4	110	4
Mar 19, 2020	823	2	130	1
Mar 20, 2020	940	4	153	0
Mar 21, 2020	1061	3	123	5
Mar 22, 2020	1157	3	212	6
Mar 23, 2020	1345	1	106	5
Mar 24, 2020	1425	8	172	6
Mar 25, 2020	1577	2	235	9
Mar 26, 2020	1793	6	130	18
Mar 27, 2020	1876	2	159	9
Mar 28, 2020	1973	5	150	14
Mar 29, 2020	2047	3	156	33
Mar 30, 2020	2111	4	140	43
Mar 31, 2020	2187	4	142	32
Apr 01, 2020	2219	1	208	79
Apr 02, 2020	2300	1	217	54
Apr 03, 2020	2454	2	150	52
Apr 04, 2020	2512	2	179	101
Apr 05, 2020	2597	3	131	118
Apr 06, 2020	2491	3	170	120
Apr 07, 2020	2580	3	156	106
Apr 08, 2020	2568	1	109	110
Apr 09, 2020	2554	5	118	125
Apr 10, 2020	2447	1	184	120
Apr 11, 2020	2463	1	153	258
Apr 12, 2020	2500	2	134	278
Apr 13, 2020	2465	2	170	286
Apr 14, 2020	2428	1	85	276
Apr 15, 2020	2343	0	110	328
Apr 16, 2020	2333	3	69	356
Apr 17, 2020	2199	1	54	249
Apr 18, 2020	2116	2	84	380
Apr 19, 2020	2104	1	36	448
Apr 20, 2020	2042	2	57	372
Apr 21, 2020	2042	0	50	391
Apr 22, 2020	1988	1	71	329
Apr 23, 2020	1967	1	88	337
Apr 24, 2020	1933	0	51	375
Apr 25, 2020	1883	2	38	431
Apr 26, 2020	1821	1	40	467
Apr 27, 2020	1765	0	31	564
Apr 28, 2020	1720	2	94	350
Apr 29, 2020	1759	0	57	426
Apr 30, 2020	1730	1	69	423
May 01, 2020	1759	1	105	278
May 02, 2020	1748	0	122	286
May 03, 2020	1781	0	55	257
May 04, 2020	1765	1	30	318
May 05, 2020	1711	0	45	261
May 06, 2020	1620	1	39	225
