Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	1	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	1	1	0
Feb 23, 2020	0	0	3	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	1	0
Feb 26, 2020	0	0	11	0
Feb 27, 2020	0	0	10	0
Feb 28, 2020	0	0	9	0
Feb 29, 2020	0	1	7	0
Mar 01, 2020	0	0	10	0
Mar 02, 2020	0	0	9	0
Mar 03, 2020	0	1	23	0
Mar 04, 2020	0	0	10	0
Mar 05, 2020	1	1	19	0
Mar 06, 2020	1	0	28	0
Mar 07, 2020	2	1	27	0
Mar 08, 2020	3	1	55	0
Mar 09, 2020	7	5	50	0
Mar 10, 2020	7	12	70	0
Mar 11, 2020	13	2	57	0
Mar 12, 2020	16	1	77	0
Mar 13, 2020	24	7	77	0
Mar 14, 2020	38	3	61	0
Mar 15, 2020	61	3	37	0
Mar 16, 2020	64	5	54	0
Mar 17, 2020	85	4	83	0
Mar 18, 2020	116	11	128	0
Mar 19, 2020	150	11	102	6
Mar 20, 2020	202	10	99	2
Mar 21, 2020	238	10	64	0
Mar 22, 2020	272	3	91	3
Mar 23, 2020	399	4	99	6
Mar 24, 2020	552	10	74	5
Mar 25, 2020	700	4	97	0
Mar 26, 2020	919	7	116	21
Mar 27, 2020	1143	8	102	18
Mar 28, 2020	1160	0	125	14
Mar 29, 2020	1253	1	136	81
Mar 30, 2020	1298	3	259	0
Mar 31, 2020	1323	5	281	78
Apr 01, 2020	1331	2	121	101
Apr 02, 2020	1413	4	170	92
Apr 03, 2020	1407	2	191	101
Apr 04, 2020	1487	2	163	90
Apr 05, 2020	1555	4	237	110
Apr 06, 2020	1585	6	122	170
Apr 07, 2020	1647	3	190	217
Apr 08, 2020	1739	1	139	159
Apr 09, 2020	1829	2	168	297
Apr 10, 2020	1575	1	55	293
Apr 11, 2020	1599	3	132	195
Apr 12, 2020	1745	3	69	308
Apr 13, 2020	1843	2	102	279
Apr 14, 2020	1987	1	146	291
Apr 15, 2020	2072	2	160	362
Apr 16, 2020	1662	1	174	322
Apr 17, 2020	1839	5	150	414
Apr 18, 2020	2090	2	166	303
Apr 19, 2020	2213	2	189	338
Apr 20, 2020	2199	0	140	293
Apr 21, 2020	2365	3	163	417
Apr 22, 2020	2529	0	199	418
Apr 23, 2020	2418	2	153	523
Apr 24, 2020	2683	0	218	419
Apr 25, 2020	2818	0	137	278
Apr 26, 2020	3003	0	94	303
Apr 27, 2020	3248	2	95	383
Apr 28, 2020	2845	0	45	347
Apr 29, 2020	3191	2	89	523
Apr 30, 2020	3490	0	129	438
May 01, 2020	3472	0	82	554
May 02, 2020	3684	1	71	469
May 03, 2020	4126	1	110	374
May 04, 2020	4361	2	78	295
May 05, 2020	4705	1	121	479
May 06, 2020	4528	1	74	475
May 07, 2020	4947	1	27	496
May 08, 2020	5597	1	99	507
May 09, 2020	5282	2	45	445
May 10, 2020	5682	0	24	493
May 11, 2020	6126	0	42	520
May 12, 2020	6828	0	71	740
May 13, 2020	7153	2	66	790
May 14, 2020	6866	1	27	959
May 15, 2020	7238	0	26	1400
May 16, 2020	7663	1	33	1199
May 17, 2020	8296	0	56	952
May 18, 2020	8904	2	81	1342
May 19, 2020	8983	0	68	997
May 20, 2020	8767	0	80	1488
May 21, 2020	9877	0	73	1350
May 22, 2020	9681	0	78	1204
May 23, 2020	10896	2	135	1602
May 24, 2020	11119	1	71	1154
May 25, 2020	11282	0	29	1613
May 26, 2020	11062	1	73	2625
May 27, 2020	12002	0	82	2610
May 28, 2020	12526	0	101	2448
May 29, 2020	13612	0	92	1833
May 30, 2020	14287	0	46	2296
May 31, 2020	15275	1	66	2219
Jun 01, 2020	16452	0	77	0
Jun 02, 2020	16837	0	539	41227
Jun 03, 2020	17145	0	226	4575
Jun 04, 2020	18736	1	138	4883
Jun 05, 2020	19545	0	195	0
Jun 06, 2020	20877	0	172	0
Jun 07, 2020	23049	2	563	0
Jun 08, 2020	23830	1	431	0
Jun 09, 2020	22946	1	295	0
Jun 10, 2020	22828	2	244	30813
Jun 11, 2020	24160	1	175	4914
Jun 12, 2020	25703	4	238	5938
Jun 13, 2020	27610	3	243	6408
Jun 14, 2020	30189	0	103	5088
Jun 15, 2020	32270	1	333	7440
Jun 16, 2020	32821	1	319	0
Jun 17, 2020	34592	2	534	30209
Jun 18, 2020	37434	3	393	5050
Jun 19, 2020	38262	2	164	5118
Jun 20, 2020	40695	3	228	3960
Jun 21, 2020	44000	2	164	4828
Jun 22, 2020	46405	0	308	5173
Jun 23, 2020	49225	1	249	4523
Jun 24, 2020	53001	2	214	4234
Jun 25, 2020	56411	5	203	4104
Jun 26, 2020	58453	5	191	4624
Jun 27, 2020	62631	2	161	4155
Jun 28, 2020	67117	2	165	3944
Jun 29, 2020	71510	4	283	5075
Jun 30, 2020	75418	1	181	4214
Jul 01, 2020	80999	5	289	3804
Jul 02, 2020	83672	4	221	4096
Jul 03, 2020	88354	3	326	4102
Jul 04, 2020	94238	4	180	3587
Jul 05, 2020	100785	5	220	3339
Jul 06, 2020	105136	7	302	3874
Jul 07, 2020	110656	7	570	3458
Jul 08, 2020	114846	6	811	3219
Jul 09, 2020	122224	8	633	3131
Jul 10, 2020	129301	3	609	3061
Jul 11, 2020	133226	11	500	2788
Jul 12, 2020	138044	7	826	2654
Jul 13, 2020	146185	12	1046	2664
Jul 14, 2020	148478	7	1063	2865
Jul 15, 2020	146701	14	693	3216
Jul 16, 2020	154803	15	522	1513
Jul 17, 2020	155450	19	659	2635
Jul 18, 2020	164596	16	1021	2345
Jul 19, 2020	169156	18	1283	2198
Jul 20, 2020	174539	14	1144	2824
Jul 21, 2020	169199	12	1018	2425
Jul 22, 2020	160683	19	1345	2190
Jul 23, 2020	166581	18	1230	2265
Jul 24, 2020	170784	18	826	2473
Jul 25, 2020	165354	17	1132	1926
Jul 26, 2020	174503	23	1499	1859
Jul 27, 2020	171429	28	1241	2378
Jul 28, 2020	166047	27	1306	2225
Jul 29, 2020	166514	21	1776	2071
Jul 30, 2020	165599	26	1472	1699
Jul 31, 2020	159812	23	1069	2180
Aug 01, 2020	153440	33	1245	1904
Aug 02, 2020	156671	29	1510	1565
Aug 03, 2020	151027	32	1325	2354
Aug 04, 2020	149407	42	1609	1961
Aug 05, 2020	143996	41	1565	1877
Aug 06, 2020	141928	30	1537	2000
Aug 07, 2020	141463	32	903	1965
Aug 08, 2020	139045	35	1276	1693
Aug 09, 2020	138605	29	1336	1516
Aug 10, 2020	136387	27	1221	2199
Aug 11, 2020	129800	41	1404	1878
Aug 12, 2020	126421	26	1567	1712
Aug 13, 2020	124501	33	1343	1906
Aug 14, 2020	106257	30	1191	1914
Aug 15, 2020	105434	43	1191	1877
Aug 16, 2020	103513	32	1672	1557
