Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	1	0
Feb 19, 2020	0	0	1	1
Feb 20, 2020	0	0	1	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	1	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	4
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	1	0	1	0
Feb 29, 2020	1	0	2	0
Mar 01, 2020	1	0	0	0
Mar 02, 2020	1	0	0	6
Mar 03, 2020	2	0	12	0
Mar 04, 2020	3	0	0	1
Mar 05, 2020	4	0	8	0
Mar 06, 2020	4	0	24	0
Mar 07, 2020	5	0	0	0
Mar 08, 2020	5	0	50	0
Mar 09, 2020	5	0	0	0
Mar 10, 2020	5	0	103	2
Mar 11, 2020	5	0	78	2
Mar 12, 2020	5	0	85	0
Mar 13, 2020	6	0	0	1
Mar 14, 2020	8	1	146	0
Mar 15, 2020	8	0	0	0
Mar 16, 2020	8	0	75	0
Mar 17, 2020	20	0	58	16
Mar 18, 2020	20	0	61	3
Mar 19, 2020	28	0	89	0
Mar 20, 2020	52	0	71	0
Mar 21, 2020	52	0	82	41
Mar 22, 2020	102	0	89	30
Mar 23, 2020	102	0	67	0
Mar 24, 2020	183	0	54	0
Mar 25, 2020	256	0	50	50
Mar 26, 2020	331	0	29	0
Mar 27, 2020	331	1	44	0
Mar 28, 2020	457	3	29	72
Mar 29, 2020	457	0	18	0
Mar 30, 2020	525	1	19	99
Mar 31, 2020	572	6	17	0
Apr 01, 2020	624	0	20	234
Apr 02, 2020	704	0	15	0
Apr 03, 2020	764	3	8	0
Apr 04, 2020	822	0	13	483
Apr 05, 2020	882	1	9	1319
Apr 06, 2020	929	0	9	112
Apr 07, 2020	918	1	5	285
Apr 08, 2020	927	1	3	192
Apr 09, 2020	921	3	3	126
Apr 10, 2020	908	1	5	101
Apr 11, 2020	885	1	5	58
Apr 12, 2020	854	0	8	161
Apr 13, 2020	797	1	0	95
Apr 14, 2020	726	0	3	99
Apr 15, 2020	646	0	2	49
Apr 16, 2020	619	0	2	85
Apr 17, 2020	578	0	3	347
Apr 18, 2020	540	1	6	45
Apr 19, 2020	503	0	0	45
Apr 20, 2020	450	0	0	411
Apr 21, 2020	422	0	1	230
Apr 22, 2020	394	1	2	119
Apr 23, 2020	365	0	1	79
Apr 24, 2020	339	0	1	236
Apr 25, 2020	320	0	2	165
Apr 26, 2020	304	0	2	41
Apr 27, 2020	265	0	3	48
Apr 28, 2020	234	0	0	33
Apr 29, 2020	221	0	0	45
Apr 30, 2020	211	0	0	31
May 01, 2020	203	0	1	45
May 02, 2020	197	0	0	23
May 03, 2020	194	0	1	45
May 04, 2020	184	0	0	28
May 05, 2020	159	0	4	93
May 06, 2020	146	0	0	50
May 07, 2020	131	0	0	42
May 08, 2020	117	0	1	55
May 09, 2020	98	0	0	29
May 10, 2020	97	0	0	16
May 11, 2020	85	0	0	44
May 12, 2020	73	0	0	45
May 13, 2020	69	0	0	20
May 14, 2020	60	1	0	37
May 15, 2020	51	0	0	29
May 16, 2020	44	0	0	4
May 17, 2020	40	0	0	32
May 18, 2020	40	0	0	19
May 19, 2020	35	0	0	34
May 20, 2020	30	0	0	25
May 21, 2020	25	0	0	9
May 22, 2020	23	0	0	19
May 23, 2020	23	0	0	10
May 24, 2020	22	0	0	23
May 25, 2020	22	0	0	21
May 26, 2020	17	0	0	15
May 27, 2020	16	0	0	8
May 28, 2020	3	0	0	9
May 29, 2020	-4	0	0	26
May 30, 2020	-4	0	0	5
May 31, 2020	-4	0	0	5
Jun 01, 2020	-4	0	0	5
Jun 02, 2020	-4	0	2	16
Jun 03, 2020	-4	0	0	27
Jun 04, 2020	-4	0	1	16
Jun 05, 2020	-4	0	0	10
Jun 06, 2020	-4	0	2	12
Jun 07, 2020	-4	0	2	2
Jun 08, 2020	-5	0	2	13
Jun 09, 2020	-5	0	2	24
Jun 10, 2020	-5	0	1	116
Jun 11, 2020	-5	0	3	168
Jun 12, 2020	-5	0	1	19
Jun 13, 2020	-5	0	2	27
Jun 14, 2020	-5	0	4	12
Jun 15, 2020	-5	0	2	7
Jun 16, 2020	-3	0	0	5
Jun 17, 2020	-3	0	0	7
Jun 18, 2020	-2	0	2	5
Jun 19, 2020	-2	0	0	8
Jun 20, 2020	0	0	0	9
Jun 21, 2020	2	0	3	7
Jun 22, 2020	4	0	1	14
Jun 23, 2020	5	0	2	8
Jun 24, 2020	6	0	1	105
Jun 25, 2020	8	0	3	16
Jun 26, 2020	9	0	2	24
Jun 27, 2020	11	0	1	17
Jun 28, 2020	15	0	1	22
Jun 29, 2020	17	0	0	36
Jun 30, 2020	17	0	1	35
Jul 01, 2020	17	0	2	36
Jul 02, 2020	13	0	1	222
Jul 03, 2020	13	0	1	41
Jul 04, 2020	13	0	1	45
Jul 05, 2020	16	0	3	30
Jul 06, 2020	17	0	1	41
Jul 07, 2020	17	0	1	39
Jul 08, 2020	18	0	0	97
Jul 09, 2020	19	0	0	52
Jul 10, 2020	18	0	1	110
Jul 11, 2020	19	0	0	4
Jul 12, 2020	20	0	0	46
Jul 13, 2020	20	0	0	65
Jul 14, 2020	20	0	1	86
Jul 15, 2020	22	0	2	118
Jul 16, 2020	22	0	1	82
Jul 17, 2020	16	0	0	48
Jul 18, 2020	17	0	2	115
Jul 19, 2020	20	0	3	176
Jul 20, 2020	21	0	2	113
Jul 21, 2020	22	0	0	185
Jul 22, 2020	17	0	2	168
Jul 23, 2020	17	0	0	168
Jul 24, 2020	16	0	0	84
Jul 25, 2020	16	0	0	189
Jul 26, 2020	16	0	0	206
Jul 27, 2020	16	0	0	113
Jul 28, 2020	16	0	1	180
Jul 29, 2020	18	0	9	138
Jul 30, 2020	19	0	10	216
Jul 31, 2020	15	0	13	178
Aug 01, 2020	17	0	7	213
Aug 02, 2020	20	0	13	201
Aug 03, 2020	22	0	9	173
Aug 04, 2020	17	0	12	169
Aug 05, 2020	19	0	6	175
Aug 06, 2020	18	0	5	202
Aug 07, 2020	18	0	11	241
Aug 08, 2020	18	0	6	315
Aug 09, 2020	18	0	3	271
Aug 10, 2020	16	0	9	269
Aug 11, 2020	17	0	7	383
Aug 12, 2020	21	0	5	233
Aug 13, 2020	31	0	7	352
Aug 14, 2020	44	0	12	286
Aug 15, 2020	51	0	13	437
Aug 16, 2020	64	0	2	439
Aug 17, 2020	73	0	9	400
Aug 18, 2020	85	0	14	322
Aug 19, 2020	91	0	5	2472
Aug 20, 2020	96	0	2	600
Aug 21, 2020	100	1	5	297
Aug 22, 2020	106	1	3	474
Aug 23, 2020	109	0	5	371
Aug 24, 2020	118	0	4	218
Aug 25, 2020	124	0	6	295
Aug 26, 2020	129	0	6	279
Aug 27, 2020	121	0	4	278
Aug 28, 2020	126	0	1	221
Aug 29, 2020	132	0	2	258
