Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	1	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	1	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	1	0	0	0
Feb 29, 2020	1	0	0	0
Mar 01, 2020	1	0	0	0
Mar 02, 2020	1	0	0	0
Mar 03, 2020	1	0	0	0
Mar 04, 2020	1	0	1	0
Mar 05, 2020	1	0	5	0
Mar 06, 2020	1	0	4	0
Mar 07, 2020	1	0	0	0
Mar 08, 2020	1	0	10	0
Mar 09, 2020	2	0	8	0
Mar 10, 2020	2	1	10	0
Mar 11, 2020	2	0	4	0
Mar 12, 2020	2	0	7	0
Mar 13, 2020	2	0	14	0
Mar 14, 2020	2	0	5	0
Mar 15, 2020	1	0	27	0
Mar 16, 2020	1	0	14	0
Mar 17, 2020	2	1	20	0
Mar 18, 2020	7	0	4	0
Mar 19, 2020	11	0	39	6
Mar 20, 2020	11	0	10	2
Mar 21, 2020	21	2	26	0
Mar 22, 2020	28	0	4	3
Mar 23, 2020	37	1	18	6
Mar 24, 2020	41	0	6	5
Mar 25, 2020	48	1	16	0
Mar 26, 2020	61	0	22	21
Mar 27, 2020	66	1	12	18
Mar 28, 2020	93	0	17	14
Mar 29, 2020	107	3	13	81
Mar 30, 2020	121	0	5	0
Mar 31, 2020	125	0	20	78
Apr 01, 2020	163	1	30	101
Apr 02, 2020	162	1	34	92
Apr 03, 2020	181	1	35	101
Apr 04, 2020	185	4	51	90
Apr 05, 2020	194	2	49	110
Apr 06, 2020	198	2	85	170
Apr 07, 2020	204	1	38	217
Apr 08, 2020	226	3	117	159
Apr 09, 2020	230	3	91	297
Apr 10, 2020	240	3	108	293
Apr 11, 2020	238	1	114	195
Apr 12, 2020	228	3	87	308
Apr 13, 2020	242	5	91	279
Apr 14, 2020	263	0	64	291
Apr 15, 2020	267	4	195	362
Apr 16, 2020	277	7	196	322
Apr 17, 2020	317	7	204	414
Apr 18, 2020	357	10	238	303
Apr 19, 2020	436	17	218	338
Apr 20, 2020	455	2	170	293
Apr 21, 2020	560	6	244	417
Apr 22, 2020	648	5	148	418
Apr 23, 2020	753	5	195	523
Apr 24, 2020	855	4	381	419
Apr 25, 2020	925	10	386	278
Apr 26, 2020	994	11	239	303
Apr 27, 2020	1042	15	248	383
Apr 28, 2020	1233	7	242	347
Apr 29, 2020	1370	8	146	523
Apr 30, 2020	1555	6	184	438
May 01, 2020	1751	3	191	554
May 02, 2020	1952	4	283	469
May 03, 2020	2071	5	176	374
May 04, 2020	2292	6	338	295
May 05, 2020	2371	9	216	479
May 06, 2020	2508	1	226	475
May 07, 2020	2818	8	276	496
May 08, 2020	3116	11	339	507
May 09, 2020	3278	10	245	445
May 10, 2020	3478	0	265	493
May 11, 2020	3589	5	313	520
May 12, 2020	3670	7	229	740
May 13, 2020	3737	16	276	790
May 14, 2020	3815	5	389	959
May 15, 2020	3954	5	182	1400
May 16, 2020	3973	2	387	1199
May 17, 2020	4183	12	553	952
May 18, 2020	4340	14	307	1342
May 19, 2020	4475	12	416	997
May 20, 2020	4637	15	241	1488
May 21, 2020	4898	1	347	1350
May 22, 2020	5033	8	350	1204
May 23, 2020	5131	10	328	1602
May 24, 2020	5350	9	389	1154
May 25, 2020	5524	12	253	1613
May 26, 2020	5710	7	315	2625
May 27, 2020	5978	4	663	2610
May 28, 2020	6064	17	409	2448
May 29, 2020	6344	5	681	1833
May 30, 2020	6726	12	627	2296
May 31, 2020	6868	8	501	2219
Jun 01, 2020	7157	13	403	0
Jun 02, 2020	7265	4	573	41227
Jun 03, 2020	7522	31	490	4575
Jun 04, 2020	7658	14	587	4883
Jun 05, 2020	7815	6	745	0
Jun 06, 2020	8065	12	667	0
Jun 07, 2020	8173	19	661	0
Jun 08, 2020	8400	12	436	0
Jun 09, 2020	8893	7	675	0
Jun 10, 2020	9140	8	452	30813
Jun 11, 2020	9673	9	649	4914
Jun 12, 2020	9891	7	594	5938
Jun 13, 2020	10174	5	684	6408
Jun 14, 2020	10445	4	779	5088
Jun 15, 2020	10885	7	490	7440
Jun 16, 2020	11070	8	566	0
Jun 17, 2020	11299	17	561	30209
Jun 18, 2020	11698	13	790	5050
Jun 19, 2020	12079	13	626	5118
Jun 20, 2020	12584	12	454	3960
Jun 21, 2020	12847	6	603	4828
Jun 22, 2020	13285	11	544	5173
Jun 23, 2020	13500	9	575	4523
Jun 24, 2020	13865	15	503	4234
Jun 25, 2020	14243	15	460	4104
Jun 26, 2020	14491	5	499	4624
Jun 27, 2020	14894	20	575	4155
Jun 28, 2020	14995	15	664	3944
