Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	2	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	1	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	1	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	1	0
Feb 26, 2020	2	0	9	0
Feb 27, 2020	2	0	3	0
Feb 28, 2020	2	0	1	0
Feb 29, 2020	4	0	1	0
Mar 01, 2020	4	0	7	0
Mar 02, 2020	4	0	5	0
Mar 03, 2020	5	0	20	0
Mar 04, 2020	5	0	131	0
Mar 05, 2020	5	0	63	1
Mar 06, 2020	5	2	60	0
Mar 07, 2020	5	0	147	0
Mar 08, 2020	6	1	47	0
Mar 09, 2020	15	0	144	1
Mar 10, 2020	17	2	131	0
Mar 11, 2020	18	1	99	0
Mar 12, 2020	19	1	97	0
Mar 13, 2020	26	1	91	0
Mar 14, 2020	31	1	138	0
Mar 15, 2020	51	2	172	0
Mar 16, 2020	182	1	122	0
Mar 17, 2020	245	2	102	11
Mar 18, 2020	292	7	120	0
Mar 19, 2020	439	5	221	0
Mar 20, 2020	485	1	180	0
Mar 21, 2020	629	7	303	0
Mar 22, 2020	758	6	265	0
Mar 23, 2020	856	1	132	5
Mar 24, 2020	947	6	339	3
Mar 25, 2020	1034	6	609	0
Mar 26, 2020	1171	4	269	2
Mar 27, 2020	1339	4	228	6
Mar 28, 2020	1454	4	226	0
Mar 29, 2020	1554	1	206	47
Mar 30, 2020	1620	21	316	0
Mar 31, 2020	1836	5	219	18
Apr 01, 2020	1997	2	266	31
Apr 02, 2020	2262	3	341	1
Apr 03, 2020	2520	16	546	5
Apr 04, 2020	2646	18	536	80
Apr 05, 2020	2899	7	106	48
Apr 06, 2020	3454	8	613	170
Apr 07, 2020	3549	26	710	38
Apr 08, 2020	3735	8	544	105
Apr 09, 2020	3852	26	673	155
Apr 10, 2020	3902	11	511	35
Apr 11, 2020	4162	24	981	266
Apr 12, 2020	4110	19	883	67
Apr 13, 2020	4307	17	783	283
Apr 14, 2020	4362	12	605	68
Apr 15, 2020	4824	11	587	199
Apr 16, 2020	5143	21	697	120
Apr 17, 2020	5122	32	913	67
Apr 18, 2020	5660	19	948	36
Apr 19, 2020	6308	58	1619	102
Apr 20, 2020	6742	21	930	103
Apr 21, 2020	7286	21	1062	83
Apr 22, 2020	7703	20	857	181
Apr 23, 2020	8479	40	1108	418
Apr 24, 2020	8925	31	1165	111
Apr 25, 2020	9580	43	1430	70
Apr 26, 2020	10103	15	1791	93
Apr 27, 2020	10586	39	2301	204
Apr 28, 2020	11058	24	1598	192
Apr 29, 2020	11747	8	607	680
Apr 30, 2020	11996	59	1733	246
May 01, 2020	13311	39	2624	402
May 02, 2020	13818	9	490	361
May 03, 2020	14498	34	1430	521
May 04, 2020	14814	32	1581	166
May 05, 2020	15716	41	1352	480
May 06, 2020	16370	31	1974	183
May 07, 2020	17574	37	1841	1066
May 08, 2020	18284	48	1932	279
May 09, 2020	20267	33	2193	254
May 10, 2020	21587	52	2603	149
May 11, 2020	22037	35	1743	343
May 12, 2020	23368	33	2164	344
May 13, 2020	25609	35	1748	796
May 14, 2020	25294	31	1356	460
May 15, 2020	26230	29	1446	725
May 16, 2020	27054	36	2076	461
May 17, 2020	27904	59	2801	581
May 18, 2020	29266	81	2429	567
May 19, 2020	30503	92	3039	612
May 20, 2020	31775	62	2964	1054
May 21, 2020	32881	81	3938	1046
May 22, 2020	34386	70	4065	1452
May 23, 2020	34642	85	4801	545
May 24, 2020	36228	71	3985	284
May 25, 2020	37657	101	4734	832
May 26, 2020	38150	70	4960	828
May 27, 2020	38739	68	4728	1089
May 28, 2020	39690	109	4646	2074
May 29, 2020	40358	86	5385	1826
May 30, 2020	40880	105	5834	1140
May 31, 2020	42687	111	6397	812
Jun 01, 2020	44777	92	6472	1027
Jun 02, 2020	47607	84	6825	1813
Jun 03, 2020	49789	101	5248	1205
Jun 04, 2020	53300	114	4443	1070
Jun 05, 2020	56144	142	5839	1383
Jun 06, 2020	59394	123	5358	884
Jun 07, 2020	63400	142	4944	890
Jun 08, 2020	67170	159	6604	663
Jun 09, 2020	71044	124	4951	1290
Jun 10, 2020	75053	93	4471	2083
Jun 11, 2020	78699	109	3946	1856
Jun 12, 2020	83129	62	3892	9809
Jun 13, 2020	79700	154	4044	1679
Jun 14, 2020	84762	61	2775	1986
Jun 15, 2020	87923	76	3138	2669
Jun 16, 2020	89583	86	4072	2047
Jun 17, 2020	93233	51	3557	778
Jun 18, 2020	97690	143	2825	2168
Jun 19, 2020	100324	95	4133	2121
Jun 20, 2020	104648	81	4339	4388
Jun 21, 2020	105087	81	4087	3566
Jun 22, 2020	105899	71	3387	2013
Jun 23, 2020	107723	97	3191	4283
Jun 24, 2020	107270	52	3344	3553
Jun 25, 2020	107607	80	2691	2861
Jun 26, 2020	107460	86	2980	2738
Jun 27, 2020	107784	63	3359	5718
Jun 28, 2020	106052	78	2751	2783
Jun 29, 2020	106775	68	2752	3096
Jun 30, 2020	106361	77	2521	2299
Jul 01, 2020	108100	72	2753	3892
Jul 02, 2020	108466	56	1979	8929
Jul 03, 2020	103543	69	2165	11471
Jul 04, 2020	95388	42	2145	4736
Jul 05, 2020	93746	51	2085	1819
Jul 06, 2020	95219	49	1917	3308
Jul 07, 2020	94522	48	1580	6008
Jul 08, 2020	91408	32	1587	4346
Jul 09, 2020	90358	42	1013	3781
Jul 10, 2020	89250	40	1332	4042
Jul 11, 2020	87892	33	1763	3566
Jul 12, 2020	86770	56	1209	5217
Jul 13, 2020	84234	25	1487	8739
Jul 14, 2020	77418	36	1226	2154
Jul 15, 2020	77360	21	1176	5927
Jul 16, 2020	73536	24	936	5000
Jul 17, 2020	70570	28	1063	14772
Jul 18, 2020	57666	33	1114	5767
Jul 19, 2020	53431	28	903	1653
Jul 20, 2020	53333	20	841	2101
Jul 21, 2020	52203	6	552	2438
Jul 22, 2020	51057	8	331	2707
Jul 23, 2020	50080	16	432	6608
Jul 24, 2020	44625	16	675	16813
Jul 25, 2020	29274	22	727	838
Jul 26, 2020	29626	18	782	3592
Jul 27, 2020	27189	17	842	1410
Jul 28, 2020	26691	15	634	2447
Jul 29, 2020	25279	16	539	1248
Jul 30, 2020	25112	16	531	1046
Jul 31, 2020	24941	18	730	850
Aug 01, 2020	24912	10	753	550
Aug 02, 2020	24908	15	626	296
Aug 03, 2020	24935	9	747	524
Aug 04, 2020	24827	6	670	4889
Aug 05, 2020	20597	7	498	1772
Aug 06, 2020	19530	16	617	2041
Aug 07, 2020	18253	11	613	1505
Aug 08, 2020	17573	8	513	644
Aug 09, 2020	17548	10	630	516
Aug 10, 2020	17555	12	586	482
Aug 11, 2020	17588	4	591	1947
Aug 12, 2020	16353	9	496	867
Aug 13, 2020	16229	11	450	1155
Aug 14, 2020	15685	12	482	409
