Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	1	13	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	13	0
Feb 18, 2020	0	0	16	0
Feb 19, 2020	0	0	12	0
Feb 20, 2020	0	0	14	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	40	0
Feb 23, 2020	0	0	28	0
Feb 24, 2020	0	0	63	0
Feb 25, 2020	0	2	45	0
Feb 26, 2020	0	0	68	0
Feb 27, 2020	0	3	32	0
Feb 28, 2020	0	0	98	0
Feb 29, 2020	0	2	115	0
Mar 01, 2020	0	1	116	0
Mar 02, 2020	0	5	112	0
Mar 03, 2020	0	3	115	0
Mar 04, 2020	0	7	88	0
Mar 05, 2020	0	3	86	0
Mar 06, 2020	0	3	106	0
Mar 07, 2020	0	2	136	0
Mar 08, 2020	0	5	158	0
Mar 09, 2020	0	4	198	0
Mar 10, 2020	1	5	128	0
Mar 11, 2020	13	0	0	0
Mar 12, 2020	13	9	299	0
Mar 13, 2020	26	0	0	0
Mar 14, 2020	42	8	428	0
Mar 15, 2020	54	3	224	0
Mar 16, 2020	68	8	222	0
Mar 17, 2020	68	5	260	0
Mar 18, 2020	108	8	166	1
Mar 19, 2020	135	7	72	0
Mar 20, 2020	198	1	102	0
Mar 21, 2020	241	8	177	0
Mar 22, 2020	309	0	0	0
Mar 23, 2020	338	6	265	0
Mar 24, 2020	436	7	194	1
Mar 25, 2020	548	4	63	0
Mar 26, 2020	663	6	194	0
Mar 27, 2020	770	10	191	2
Mar 28, 2020	880	5	163	0
Mar 29, 2020	961	3	171	5
Mar 30, 2020	1039	2	174	0
Mar 31, 2020	1142	8	172	0
Apr 01, 2020	1276	5	200	0
Apr 02, 2020	1429	6	241	1
Apr 03, 2020	1622	2	242	3
Apr 04, 2020	1742	9	179	0
Apr 05, 2020	1742	2	178	1
Apr 06, 2020	2031	10	154	0
Apr 07, 2020	2031	4	188	2
Apr 08, 2020	2449	5	370	0
Apr 09, 2020	2670	3	107	1
Apr 10, 2020	2883	3	190	6
Apr 11, 2020	3132	7	136	6
Apr 12, 2020	3284	8	208	32
Apr 13, 2020	3317	7	137	11
Apr 14, 2020	3407	6	202	3
Apr 15, 2020	3573	6	212	0
Apr 16, 2020	3573	7	166	23
Apr 17, 2020	3809	5	168	24
Apr 18, 2020	3972	3	167	18
Apr 19, 2020	4013	4	161	25
Apr 20, 2020	4176	4	174	39
Apr 21, 2020	4318	6	150	27
Apr 22, 2020	4449	3	181	24
Apr 23, 2020	4593	6	157	16
Apr 24, 2020	4749	6	261	48
Apr 25, 2020	4865	6	110	19
Apr 26, 2020	5041	4	139	31
Apr 27, 2020	5245	4	151	86
Apr 28, 2020	5399	4	310	29
Apr 29, 2020	5540	7	349	43
Apr 30, 2020	5673	4	257	49
May 01, 2020	5768	3	264	46
May 02, 2020	5906	2	281	19
May 03, 2020	6252	5	403	0
May 04, 2020	6356	6	400	85
May 05, 2020	6458	4	487	97
May 06, 2020	6490	6	445	36
May 07, 2020	6654	8	374	27
May 08, 2020	6757	8	258	0
May 09, 2020	6953	5	514	3615
May 10, 2020	3544	6	435	186
May 11, 2020	3517	7	419	0
May 12, 2020	3680	16	541	1334
May 13, 2020	2510	7	421	46
May 14, 2020	2621	5	429	13
May 15, 2020	2778	5	379	0
May 16, 2020	2922	10	656	0
May 17, 2020	3100	5	697	1
May 18, 2020	3250	3	625	113
May 19, 2020	3392	8	848	0
May 20, 2020	3496	8	627	51
May 21, 2020	3580	11	736	30
May 22, 2020	3697	9	540	4
May 23, 2020	3999	13	635	0
May 24, 2020	4341	5	754	0
May 25, 2020	4594	10	923	100
May 26, 2020	4755	8	948	1000
May 27, 2020	4034	8	808	0
May 28, 2020	4432	20	722	161
May 29, 2020	4665	15	562	1874
May 30, 2020	3274	11	716	100
May 31, 2020	3613	17	1007	0
Jun 01, 2020	3979	11	868	0
Jun 02, 2020	4229	17	753	5
Jun 03, 2020	4733	12	1028	100
Jun 04, 2020	5062	16	1099	100
Jun 05, 2020	5374	11	765	399
Jun 06, 2020	5500	14	913	100
Jun 07, 2020	5814	22	774	183
Jun 08, 2020	6055	31	758	160
Jun 09, 2020	6269	22	988	416
Jun 10, 2020	6499	27	1166	0
Jun 11, 2020	7191	23	1185	2782
Jun 12, 2020	5031	29	957	0
Jun 13, 2020	5871	20	960	7
Jun 14, 2020	6483	20	965	0
Jun 15, 2020	7208	24	1041	8
Jun 16, 2020	7731	30	1075	0
Jun 17, 2020	8353	16	1301	8
Jun 18, 2020	9094	23	1540	577
Jun 19, 2020	9430	28	923	0
Jun 20, 2020	10370	22	1147	0
Jun 21, 2020	11170	18	1130	305
Jun 22, 2020	11567	38	1035	30
Jun 23, 2020	12084	33	853	100
Jun 24, 2020	12689	25	1207	6
Jun 25, 2020	13673	31	958	470
Jun 26, 2020	14060	32	727	100
Jun 27, 2020	14696	21	753	100
Jun 28, 2020	15612	29	911	125
Jun 29, 2020	16570	41	1176	150
Jun 30, 2020	17174	25	871	200
Jul 01, 2020	17873	19	1432	500
Jul 02, 2020	18125	28	1146	500
Jul 03, 2020	18352	27	781	816
Jul 04, 2020	18502	25	1046	225
Jul 05, 2020	19416	23	922	50
Jul 06, 2020	20528	24	1065	690
Jul 07, 2020	20766	28	1127	743
Jul 08, 2020	20963	22	1070	968
Jul 09, 2020	20940	26	1003	989
Jul 10, 2020	20968	25	968	744
Jul 11, 2020	21269	31	807	869
Jul 12, 2020	21685	21	1187	880
Jul 13, 2020	22322	17	1142	744
Jul 14, 2020	22473	18	1091	754
Jul 15, 2020	22844	30	841	425
Jul 16, 2020	23531	25	902	678
Jul 17, 2020	23850	16	1070	974
Jul 18, 2020	23696	23	913	988
Jul 19, 2020	23890	19	1069	682
Jul 20, 2020	24135	12	956	911
Jul 21, 2020	23919	12	1263	1047
Jul 22, 2020	23604	21	1275	706
Jul 23, 2020	23780	21	603	876
Jul 24, 2020	24039	21	247	724
Jul 25, 2020	24161	18	964	703
Jul 26, 2020	24871	17	101	955
Jul 27, 2020	25034	15	537	1095
Jul 28, 2020	24693	19	1088	1135
Jul 29, 2020	24579	14	1420	902
Jul 30, 2020	24576	14	585	948
Jul 31, 2020	24669	13	896	915
Aug 01, 2020	24853	13	701	957
Aug 02, 2020	24944	16	900	1055
Aug 03, 2020	24866	18	642	1237
Aug 04, 2020	24572	17	713	1462
Aug 05, 2020	23886	12	728	866
Aug 06, 2020	24186	7	917	1017
Aug 07, 2020	24294	16	570	809
Aug 08, 2020	24558	12	532	1264
Aug 09, 2020	24105	16	830	762
Aug 10, 2020	24220	17	682	1155
Aug 11, 2020	24119	12	709	932
Aug 12, 2020	24077	11	738	613
Aug 13, 2020	24514	13	535	676
Aug 14, 2020	24782	8	829	971
Aug 15, 2020	25062	9	635	1144
Aug 16, 2020	25172	11	673	844
Aug 17, 2020	24910	13	615	1346
Aug 18, 2020	23790	15	711	1083
Aug 19, 2020	23653	11	704	900
Aug 20, 2020	22837	7	459	548
Aug 21, 2020	22811	14	628	806
Aug 22, 2020	23074	11	634	892
Aug 23, 2020	23588	15	672	765
Aug 24, 2020	23394	16	741	574
Aug 25, 2020	23703	18	722	836
Aug 26, 2020	23555	10	602	401
Aug 27, 2020	24038	15	607	606
Aug 28, 2020	24056	13	474	517
Aug 29, 2020	24235	6	706	628
Aug 30, 2020	24323	6	736	426
Aug 31, 2020	24807	14	705	801
Sep 01, 2020	24560	12	677	513
Sep 02, 2020	24567	17	447	711
Sep 03, 2020	24670	8	722	544
Sep 04, 2020	24791	16	576	481
Sep 05, 2020	25007	8	742	438
Sep 06, 2020	25296	15	747	586
Sep 07, 2020	25232	19	620	504
Sep 08, 2020	25549	8	691	668
Sep 09, 2020	25507	9	633	784
Sep 10, 2020	25385	7	633	655
Sep 11, 2020	25332	10	683	618
Sep 12, 2020	25410	8	698	631
Sep 13, 2020	25472	15	754	675
Sep 14, 2020	25249	11	787	810
Sep 15, 2020	25053	8	825	1195
Sep 16, 2020	24481	9	647	1094
Sep 17, 2020	24044	11	489	1212
Sep 18, 2020	23557	9	494	1097
Sep 19, 2020	23164	8	832	1175
Sep 20, 2020	22581	10	755	955
Sep 21, 2020	22218	17	615	998
Sep 22, 2020	21681	11	609	1119
Sep 23, 2020	21262	7	638	1057
Sep 24, 2020	20935	10	436	664
Sep 25, 2020	20962	11	558	638
Sep 26, 2020	20989	12	696	419
Sep 27, 2020	21000	15	792	480
Sep 28, 2020	21234	10	639	507
Sep 29, 2020	21287	6	649	859
Sep 30, 2020	21162	5	685	842
Oct 01, 2020	21052	5	551	869
Oct 02, 2020	20784	12	671	423
Oct 03, 2020	21044	13	825	614
Oct 04, 2020	21054	15	798	614
Oct 05, 2020	21066	10	822	527
Oct 06, 2020	21212	12	731	660
Oct 07, 2020	21242	6	738	781
Oct 08, 2020	21200	14	579	571
Oct 09, 2020	21405	11	677	590
Oct 10, 2020	21632	13	432	612
Oct 11, 2020	21658	12	543	511
Oct 12, 2020	21625	14	1193	622
Oct 13, 2020	21488	11	746	622
Oct 14, 2020	21690	17	1021	752
Oct 15, 2020	21683	10	804	615
Oct 16, 2020	21666	9	971	1062
Oct 17, 2020	21202	6	1163	693
Oct 18, 2020	21140	7	887	504
Oct 19, 2020	21062	26	1125	483
Oct 20, 2020	21126	11	832	697
Oct 21, 2020	21113	6	1344	673
Oct 22, 2020	21217	8	1014	587
Oct 23, 2020	21259	12	1054	577
Oct 24, 2020	21325	14	1112	669
Oct 25, 2020	21336	15	1256	479
Oct 26, 2020	21403	10	1200	730
Oct 27, 2020	21332	14	1288	951
Oct 28, 2020	21193	11	1206	951
Oct 29, 2020	21025	16	875	1027
Oct 30, 2020	20810	13	1272	1183
Oct 31, 2020	20346	16	1602	1082
Nov 01, 2020	19996	16	1755	931
Nov 02, 2020	19630	12	1457	814
Nov 03, 2020	19482	9	1709	828
Nov 04, 2020	19073	21	1276	871
Nov 05, 2020	18733	19	1077	912
Nov 06, 2020	19000	19	1505	833
Nov 07, 2020	18902	16	2028	947
Nov 08, 2020	18959	27	1880	941
Nov 09, 2020	18812	13	2388	996
Nov 10, 2020	18778	19	2300	1116
Nov 11, 2020	18819	20	1812	1247
Nov 12, 2020	18452	19	1511	1159
Nov 13, 2020	18392	29	1936	1042
Nov 14, 2020	18171	23	1811	1099
Nov 15, 2020	18410	23	2447	1376
Nov 16, 2020	18040	22	2355	1496
Nov 17, 2020	17586	22	2806	1513
Nov 18, 2020	17171	25	2422	1560
Nov 19, 2020	16852	26	1612	1433
Nov 20, 2020	16609	29	2368	1612
Nov 21, 2020	16271	28	2960	1602
Nov 22, 2020	15864	42	3348	1042
Nov 23, 2020	15681	23	3015	1003
Nov 24, 2020	15937	23	3274	1349
Nov 25, 2020	16174	39	2755	1620
Nov 26, 2020	16293	31	1699	1070
Nov 27, 2020	16668	35	3164	826
Nov 28, 2020	17542	32	3059	744
Nov 29, 2020	18053	51	3413	846
Nov 30, 2020	18265	41	2986	1056
Dec 01, 2020	18695	43	2064	1058
Dec 02, 2020	19649	41	2633	1820
Dec 03, 2020	19682	52	2348	1655
Dec 04, 2020	20402	41	4574	1196
Dec 05, 2020	21487	42	4465	1643
Dec 06, 2020	21636	47	4046	1440
Dec 07, 2020	21688	42	2943	1540
Dec 08, 2020	22055	39	2031	1000
Dec 09, 2020	22843	37	1972	1018
Dec 10, 2020	24249	57	2494	1182
Dec 11, 2020	25400	41	3540	1571
Dec 12, 2020	26613	45	5186	1464
Dec 13, 2020	27546	38	4135	1229
Dec 14, 2020	27903	42	3946	1521
Dec 15, 2020	28721	43	3735	1745
Dec 16, 2020	29908	49	2424	1638
Dec 17, 2020	31576	45	2157	1932
Dec 18, 2020	32636	61	3740	1575
Dec 19, 2020	34312	33	3315	1763
Dec 20, 2020	35265	57	2877	1443
Dec 21, 2020	35490	38	2307	1477
Dec 22, 2020	37142	49	2677	1712
Dec 23, 2020	38457	49	1750	1905
Dec 24, 2020	39914	41	1342	1704
Dec 25, 2020	41155	36	2173	1773
Dec 26, 2020	41403	48	2243	2444
Dec 27, 2020	41551	32	1975	1586
Dec 28, 2020	42261	36	2041	2212
Dec 29, 2020	44582	54	2058	2837
Dec 30, 2020	46168	29	1393	2537
Dec 31, 2020	47630	35	914	2790
Jan 01, 2021	47741	39	1676	1766
Jan 02, 2021	47967	39	1566	2122
Jan 03, 2021	47780	20	1408	1872
Jan 04, 2021	48345	25	1445	2399
Jan 05, 2021	49445	23	1200	2533
Jan 06, 2021	52053	26	926	4036
Jan 07, 2021	52114	26	724	2705
Jan 08, 2021	53313	43	1098	2183
