Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	5	0
Feb 16, 2020	0	8	1	0
Feb 17, 2020	0	5	2	0
Feb 18, 2020	0	3	2	0
Feb 19, 2020	0	5	6	0
Feb 20, 2020	0	3	5	0
Feb 21, 2020	0	11	16	0
Feb 22, 2020	0	16	5	0
Feb 23, 2020	0	21	28	0
Feb 24, 2020	0	11	15	0
Feb 25, 2020	0	32	31	0
Feb 26, 2020	0	35	28	0
Feb 27, 2020	0	53	89	0
Feb 28, 2020	0	35	29	0
Feb 29, 2020	0	40	55	0
Mar 01, 2020	0	88	45	0
Mar 02, 2020	0	120	32	0
Mar 03, 2020	0	43	21	0
Mar 04, 2020	0	80	64	0
Mar 05, 2020	0	77	100	0
Mar 06, 2020	1	152	55	0
Mar 07, 2020	6	136	36	0
Mar 08, 2020	7	141	181	0
Mar 09, 2020	9	120	98	0
Mar 10, 2020	11	179	115	0
Mar 11, 2020	17	176	258	0
Mar 12, 2020	22	232	91	0
Mar 13, 2020	38	245	181	0
Mar 14, 2020	43	264	151	3
Mar 15, 2020	71	261	535	0
Mar 16, 2020	85	280	280	0
Mar 17, 2020	116	304	393	0
Mar 18, 2020	144	309	1388	0
Mar 19, 2020	230	304	914	0
Mar 20, 2020	259	365	641	0
Mar 21, 2020	306	365	951	24
Mar 22, 2020	346	392	671	24
Mar 23, 2020	375	373	2265	1
Mar 24, 2020	391	432	519	0
Mar 25, 2020	452	445	1172	20
Mar 26, 2020	528	464	1016	0
Mar 27, 2020	565	432	998	0
Mar 28, 2020	580	493	931	19
Mar 29, 2020	750	573	1208	137
Mar 30, 2020	779	541	697	12
Mar 31, 2020	518	600	1512	8
Apr 01, 2020	723	539	1413	8
Apr 02, 2020	636	608	1664	10
Apr 03, 2020	777	637	734	13
Apr 04, 2020	463	552	3683	1
Apr 05, 2020	803	594	2186	45
Apr 06, 2020	1032	640	1182	13
Apr 07, 2020	1041	613	2491	20
Apr 08, 2020	2320	690	2741	7
