Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	1
Feb 23, 2020	0	0	0	2
Feb 24, 2020	0	0	0	22
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	29
Feb 27, 2020	0	0	0	19
Feb 28, 2020	0	0	0	50
Feb 29, 2020	0	0	0	52
Mar 01, 2020	0	0	0	116
Mar 02, 2020	0	0	0	144
Mar 03, 2020	0	0	0	117
Mar 04, 2020	0	0	0	187
Mar 05, 2020	0	0	2	174
Mar 06, 2020	2	0	1	756
Mar 07, 2020	3	0	4	465
Mar 08, 2020	7	0	14	260
Mar 09, 2020	21	0	8	337
Mar 10, 2020	29	1	16	228
Mar 11, 2020	44	3	3	317
Mar 12, 2020	44	0	12	253
Mar 13, 2020	56	3	46	810
Mar 14, 2020	99	4	29	251
Mar 15, 2020	124	0	2	406
Mar 16, 2020	126	2	44	393
Mar 17, 2020	168	3	15	321
Mar 18, 2020	178	0	15	269
Mar 19, 2020	192	1	12	766
Mar 20, 2020	203	1	76	890
Mar 21, 2020	275	6	72	278
Mar 22, 2020	340	8	81	463
Mar 23, 2020	411	2	88	537
Mar 24, 2020	497	3	83	712
Mar 25, 2020	572	7	70	832
Mar 26, 2020	634	9	94	676
Mar 27, 2020	718	14	268	546
Mar 28, 2020	972	3	338	712
Mar 29, 2020	1305	7	126	1520
Mar 30, 2020	1424	10	529	745
Mar 31, 2020	1943	8	223	817
Apr 01, 2020	2158	11	317	1238
Apr 02, 2020	2464	29	379	1224
Apr 03, 2020	2814	8	75	1801
Apr 04, 2020	2881	8	150	2275
Apr 05, 2020	3023	11	407	2225
Apr 06, 2020	3419	14	103	2803
Apr 07, 2020	3503	5	104	2773
Apr 08, 2020	3592	21	203	2497
Apr 09, 2020	3749	18	117	3156
Apr 10, 2020	3834	26	229	6482
Apr 11, 2020	4024	50	217	1947
Apr 12, 2020	4154	18	279	2089
Apr 13, 2020	4375	20	286	2146
Apr 14, 2020	4593	14	227	1804
Apr 15, 2020	4751	13	204	2296
Apr 16, 2020	4863	25	214	1835
Apr 17, 2020	5004	10	206	1923
Apr 18, 2020	5174	12	169	1036
Apr 19, 2020	5278	19	197	2250
Apr 20, 2020	5418	9	138	1692
Apr 21, 2020	5508	9	109	2148
Apr 22, 2020	5571	16	267	1730
Apr 23, 2020	5797	15	207	1756
Apr 24, 2020	5953	17	101	1594
Apr 25, 2020	6008	7	280	1464
Apr 26, 2020	6216	10	195	1276
Apr 27, 2020	6334	19	178	1506
Apr 28, 2020	6453	28	250	1352
Apr 29, 2020	6631	10	272	1312
Apr 30, 2020	6877	11	279	1215
May 01, 2020	7109	24	154	1032
May 02, 2020	7201	4	290	1072
May 03, 2020	7402	16	258	957
May 04, 2020	7547	14	196	1096
May 05, 2020	7639	21	315	1112
May 06, 2020	7840	27	334	1157
May 07, 2020	8040	11	118	1093
May 08, 2020	8033	8	144	1227
May 09, 2020	8064	15	181	1079
May 10, 2020	8151	7	288	1279
May 11, 2020	8361	25	260	935
May 12, 2020	8493	21	263	1071
May 13, 2020	8595	18	254	1111
May 14, 2020	8749	16	212	1297
May 15, 2020	8825	11	211	1311
May 16, 2020	8927	7	204	1317
May 17, 2020	9054	7	202	1197
May 18, 2020	9158	6	221	1512
May 19, 2020	9262	5	274	1635
May 20, 2020	9447	4	210	1756
May 21, 2020	9588	11	160	1712
May 22, 2020	9648	6	177	1796
May 23, 2020	9737	5	254	1729
May 24, 2020	9918	5	280	1912
May 25, 2020	10123	13	344	1724
May 26, 2020	10371	18	374	1739
May 27, 2020	10639	17	531	1812
May 28, 2020	11069	21	1029	1943
May 29, 2020	11972	8	581	1896
May 30, 2020	12466	7	848	2021
May 31, 2020	13220	3	544	2156
Jun 01, 2020	13699	6	353	2073
Jun 02, 2020	13968	8	739	2129
Jun 03, 2020	14621	10	624	2279
Jun 04, 2020	15150	3	240	2256
Jun 05, 2020	15309	7	703	2297
Jun 06, 2020	15905	9	546	2311
Jun 07, 2020	16362	8	570	2011
Jun 08, 2020	16826	6	510	2097
Jun 09, 2020	17239	10	728	2133
Jun 10, 2020	17810	9	436	2073
Jun 11, 2020	17974	16	602	1986
Jun 12, 2020	18281	22	596	2099
Jun 13, 2020	18612	14	529	1926
Jun 14, 2020	18888	10	483	1916
Jun 15, 2020	19070	5	355	2085
Jun 16, 2020	19126	5	450	2137
Jun 17, 2020	19310	8	552	2179
Jun 18, 2020	19593	14	649	2201
Jun 19, 2020	19951	20	926	2192
Jun 20, 2020	20600	19	642	2207
Jun 21, 2020	20990	8	620	2836
Jun 22, 2020	21362	9	1125	2733
Jun 23, 2020	22197	18	463	2936
Jun 24, 2020	22435	8	762	3007
Jun 25, 2020	22947	12	988	2749
Jun 26, 2020	23667	12	718	2809
Jun 27, 2020	24137	8	642	2649
Jun 28, 2020	24525	11	967	2870
Jun 29, 2020	25227	11	1059	2578
Jun 30, 2020	26015	4	982	2729
Jul 01, 2020	26803	4	289	2611
Jul 02, 2020	26858	6	1507	2348
Jul 03, 2020	27983	10	1470	2503
Jul 04, 2020	29087	7	2386	2381
Jul 05, 2020	31015	6	2046	2753
Jul 06, 2020	32845	6	1516	2917
Jul 07, 2020	34178	5	2446	2463
Jul 08, 2020	36457	0	1373	2713
Jul 09, 2020	37627	46	1142	2839
Jul 10, 2020	38324	12	1287	2651
Jul 11, 2020	38813	162	2005	2327
Jul 12, 2020	38679	63	642	2546
Jul 13, 2020	34943	6	538	2731
Jul 14, 2020	35396	11	1289	2291
Jul 15, 2020	36178	29	2355	3047
Jul 16, 2020	38080	17	1758	2265
Jul 17, 2020	39541	113	2233	2427
Jul 18, 2020	41375	58	2127	2488
Jul 19, 2020	43081	4	1414	2299
Jul 20, 2020	43906	2	1832	2264
Jul 21, 2020	45557	6	1491	2489
Jul 22, 2020	46724	21	2117	2390
Jul 23, 2020	48119	15	2070	1982
Jul 24, 2020	50063	18	1937	2107
Jul 25, 2020	50763	32	1940	1894
Jul 26, 2020	52367	14	1586	1931
Jul 27, 2020	53608	3	1592	1875
Jul 28, 2020	55058	14	1779	2097
Jul 29, 2020	56470	23	3810	2084
Jul 30, 2020	22286	39	3915	2319
Jul 31, 2020	26075	17	4807	2311
Aug 01, 2020	30857	20	4873	2272
Aug 02, 2020	35498	45	3087	2126
Aug 03, 2020	38328	10	6178	2307
Aug 04, 2020	44356	8	3328	2397
Aug 05, 2020	47509	22	3421	2531
Aug 06, 2020	50452	24	3325	2261
Aug 07, 2020	53734	41	4066	2398
Aug 08, 2020	57559	61	2751	2249
Aug 09, 2020	59880	23	6762	2271
Aug 10, 2020	66106	18	2711	1978
Aug 11, 2020	68633	92	4152	1624
Aug 12, 2020	72137	23	3858	1814
Aug 13, 2020	74651	15	6027	1753
