Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	708	1	0	0
Feb 16, 2020	734	1	4	0
Feb 17, 2020	762	0	1	0
Feb 18, 2020	790	1	5	0
Feb 19, 2020	808	1	6	0
Feb 20, 2020	865	0	5	0
Feb 21, 2020	927	0	9	0
Feb 22, 2020	987	0	20	0
Feb 23, 2020	1062	0	17	0
Feb 24, 2020	1170	2	36	0
Feb 25, 2020	1299	1	21	0
Feb 26, 2020	1446	2	52	0
Feb 27, 2020	1626	4	61	0
Feb 28, 2020	1943	2	49	0
Feb 29, 2020	2181	0	68	0
Mar 01, 2020	2857	2	70	0
Mar 02, 2020	3642	4	111	0
Mar 03, 2020	4417	9	98	0
Mar 04, 2020	5350	2	115	0
Mar 05, 2020	6604	10	152	0
Mar 06, 2020	8183	14	150	0
Mar 07, 2020	9971	14	170	0
Mar 08, 2020	12105	8	168	0
Mar 09, 2020	15420	15	249	0
Mar 10, 2020	19879	13	224	0
Mar 11, 2020	24431	22	193	0
Mar 12, 2020	30194	30	256	0
Mar 13, 2020	37768	15	243	1
Mar 14, 2020	44655	7	392	0
Mar 15, 2020	52299	27	437	0
Mar 16, 2020	61486	24	244	0
Mar 17, 2020	69407	13	475	0
Mar 18, 2020	77994	18	311	0
Mar 19, 2020	86212	23	435	0
Mar 20, 2020	95860	28	357	0
Mar 21, 2020	102276	18	370	0
Mar 22, 2020	108030	15	380	0
Mar 23, 2020	114769	13	401	0
Mar 24, 2020	120577	20	318	6
Mar 25, 2020	125101	21	260	0
Mar 26, 2020	128912	25	268	0
Mar 27, 2020	131687	28	380	0
Mar 28, 2020	133117	40	336	0
Mar 29, 2020	133986	30	461	0
Mar 30, 2020	135995	11	363	0
Mar 31, 2020	137053	27	545	49
Apr 01, 2020	138061	34	306	0
Apr 02, 2020	137318	28	263	0
Apr 03, 2020	137030	20	313	60
Apr 04, 2020	136132	7	342	18
Apr 05, 2020	134689	13	381	28
Apr 06, 2020	135062	14	381	29
Apr 07, 2020	134680	20	344	31
Apr 08, 2020	132487	18	285	62
Apr 09, 2020	130872	17	316	34
Apr 10, 2020	129812	22	422	57
Apr 11, 2020	128645	21	237	64
Apr 12, 2020	126954	9	228	48
Apr 13, 2020	126197	15	270	131
Apr 14, 2020	125111	11	318	50
Apr 15, 2020	123520	28	313	106
Apr 16, 2020	121488	22	425	92
Apr 17, 2020	122998	22	309	115
Apr 18, 2020	122854	24	307	59
Apr 19, 2020	119659	8	319	93
Apr 20, 2020	118687	10	285	164
Apr 21, 2020	117502	11	345	216
Apr 22, 2020	115206	12	330	227
Apr 23, 2020	112388	14	595	204
Apr 24, 2020	94741	10	283	182
Apr 25, 2020	90667	10	411	139
Apr 26, 2020	86755	11	401	201
Apr 27, 2020	84006	3	241	189
Apr 28, 2020	81461	11	272	370
Apr 29, 2020	72708	17	356	211
Apr 30, 2020	68139	4	383	255
May 01, 2020	64103	10	471	271
May 02, 2020	60652	13	404	183
May 03, 2020	58627	10	476	150
May 04, 2020	55902	3	312	185
May 05, 2020	52949	10	395	375
May 06, 2020	48364	18	305	207
May 07, 2020	43908	23	443	322
May 08, 2020	39499	2	399	253
May 09, 2020	34813	20	352	261
May 10, 2020	31673	16	330	118
May 11, 2020	30718	4	416	315
May 12, 2020	29640	9	215	279
May 13, 2020	28128	17	379	286
May 14, 2020	26482	23	230	222
May 15, 2020	24759	9	292	257
May 16, 2020	22864	7	361	276
May 17, 2020	21305	15	362	177
May 18, 2020	20249	10	576	275
May 19, 2020	19745	9	575	280
May 20, 2020	18807	16	599	269
May 21, 2020	18050	14	400	279
May 22, 2020	17222	30	282	246
May 23, 2020	16408	18	359	217
May 24, 2020	15634	12	376	82
May 25, 2020	15472	10	440	744
May 26, 2020	15506	3	375	310
May 27, 2020	15255	16	396	230
May 28, 2020	14962	21	407	132
May 29, 2020	14731	16	506	324
May 30, 2020	14310	17	314	255
May 31, 2020	13806	6	301	178
Jun 01, 2020	13581	3	304	277
Jun 02, 2020	13538	6	311	288
Jun 03, 2020	13463	19	296	213
Jun 04, 2020	13526	14	300	183
Jun 05, 2020	13710	15	294	231
Jun 06, 2020	13644	15	298	214
Jun 07, 2020	13544	5	276	143
Jun 08, 2020	13719	5	319	198
Jun 09, 2020	13785	4	193	215
Jun 10, 2020	13570	7	247	285
Jun 11, 2020	13357	14	239	109
Jun 12, 2020	13090	9	382	299
Jun 13, 2020	12678	11	371	122
Jun 14, 2020	12230	6	259	157
Jun 15, 2020	12208	3	314	271
Jun 16, 2020	12186	5	231	267
Jun 17, 2020	11914	12	205	396
Jun 18, 2020	11607	6	257	381
Jun 19, 2020	11376	11	277	483
Jun 20, 2020	11089	7	262	502
Jun 21, 2020	10709	6	265	393
Jun 22, 2020	10675	6	305	497
Jun 23, 2020	10708	3	370	561
Jun 24, 2020	10518	9	299	520
Jun 25, 2020	10300	6	267	564
Jun 26, 2020	10269	9	264	754
Jun 27, 2020	10037	4	333	576
Jun 28, 2020	9793	9	353	349
Jun 29, 2020	9900	7	339	384
Jun 30, 2020	10118	5	358	510
Jul 01, 2020	10270	6	279	418
Jul 02, 2020	10306	12	399	442
Jul 03, 2020	10423	15	380	476
Jul 04, 2020	10480	7	418	619
Jul 05, 2020	10434	5	458	220
Jul 06, 2020	10914	10	584	272
Jul 07, 2020	11525	1	443	640
Jul 08, 2020	12055	6	337	599
Jul 09, 2020	12675	18	502	571
Jul 10, 2020	13493	18	512	587
Jul 11, 2020	14079	13	615	513
Jul 12, 2020	14608	13	657	367
Jul 13, 2020	15886	7	658	241
Jul 14, 2020	17299	2	548	736
Jul 15, 2020	18884	12	575	436
Jul 16, 2020	20350	9	680	577
Jul 17, 2020	22130	14	640	419
Jul 18, 2020	23667	14	726	368
Jul 19, 2020	25007	11	809	247
Jul 20, 2020	27160	8	843	232
Jul 21, 2020	29327	8	624	368
Jul 22, 2020	31452	11	619	402
Jul 23, 2020	33410	17	551	456
Jul 24, 2020	35605	12	715	422
Jul 25, 2020	37344	13	811	334
Jul 26, 2020	38840	13	832	103
Jul 27, 2020	41562	4	771	187
Jul 28, 2020	44481	5	594	147
Jul 29, 2020	47345	17	595	453
Jul 30, 2020	50070	17	597	344
Jul 31, 2020	53171	16	735	387
Aug 01, 2020	56330	8	767	335
Aug 02, 2020	58531	14	903	172
Aug 03, 2020	62197	1	900	175
Aug 04, 2020	66380	6	581	265
Aug 05, 2020	70254	19	548	321
Aug 06, 2020	73969	20	763	399
Aug 07, 2020	78332	14	729	362
Aug 08, 2020	81540	8	887	288
Aug 09, 2020	84331	13	791	186
Aug 10, 2020	89414	7	759	273
Aug 11, 2020	94842	4	631	461
Aug 12, 2020	99905	12	502	350
Aug 13, 2020	104575	11	550	401
Aug 14, 2020	109710	12	595	491
Aug 15, 2020	113479	10	612	277
Aug 16, 2020	116235	13	691	229
Aug 17, 2020	121383	6	567	284
Aug 18, 2020	128039	15	437	456
Aug 19, 2020	133922	24	302	382
Aug 20, 2020	139829	10	400	548
Aug 21, 2020	146913	16	421	632
Aug 22, 2020	151128	17	506	522
Aug 23, 2020	154341	12	594	265
Aug 24, 2020	160270	11	603	336
Aug 25, 2020	168380	5	502	615
Aug 26, 2020	175017	18	377	698
Aug 27, 2020	181189	28	605	688
Aug 28, 2020	188673	25	600	751
Aug 29, 2020	192636	23	837	656
Aug 30, 2020	195249	32	757	446
Aug 31, 2020	199937	8	1002	392
Sep 01, 2020	208372	15	910	835
Sep 02, 2020	214650	36	748	728
Sep 03, 2020	220262	30	711	1227
Sep 04, 2020	227018	30	974	2526
Sep 05, 2020	231035	27	1136	1910
Sep 06, 2020	233013	34	1587	857
Sep 07, 2020	238073	26	1584	797
Sep 08, 2020	245330	29	1350	1225
Sep 09, 2020	250982	58	1306	934
Sep 10, 2020	256137	74	1326	779
Sep 11, 2020	261598	76	1552	877
Sep 12, 2020	264564	52	1967	934
Sep 13, 2020	265431	53	2292	438
Sep 14, 2020	270376	32	2367	451
Sep 15, 2020	277581	34	1934	562
Sep 16, 2020	282620	63	2006	615
Sep 17, 2020	285855	116	2236	587
Sep 18, 2020	291739	91	3003	549
Sep 19, 2020	291788	132	4280	441
Sep 20, 2020	289387	84	4739	302
Sep 21, 2020	292784	49	5300	368
Sep 22, 2020	299175	41	4178	589
Sep 23, 2020	302749	107	4394	597
Sep 24, 2020	303707	130	5068	582
Sep 25, 2020	305669	168	6526	586
Sep 26, 2020	303964	153	8099	578
Sep 27, 2020	299491	178	7705	516
Sep 28, 2020	301446	87	9622	535
Sep 29, 2020	305687	45	8536	740
Sep 30, 2020	307372	130	7482	706
Oct 01, 2020	306722	236	9291	952
Oct 02, 2020	307219	301	10040	856
Oct 03, 2020	304894	202	12107	794
Oct 04, 2020	300790	280	13632	549
Oct 05, 2020	303331	152	13628	606
Oct 06, 2020	308450	92	11742	1188
Oct 07, 2020	311458	227	10241	1144
Oct 08, 2020	312657	372	16300	1385
Oct 09, 2020	314320	367	18820	1107
Oct 10, 2020	313527	445	20156	1320
Oct 11, 2020	310385	349	21629	899
Oct 12, 2020	311825	236	21897	803
Oct 13, 2020	318012	173	17171	1843
Oct 14, 2020	323519	330	15578	1741
Oct 15, 2020	327541	429	19364	2185
Oct 16, 2020	332584	275	24692	2389
Oct 17, 2020	335005	419	27143	2489
Oct 18, 2020	333486	548	27086	1363
Oct 19, 2020	345385	303	27875	1942
Oct 20, 2020	360573	143	24785	2928
Oct 21, 2020	372529	357	21713	3320
Oct 22, 2020	381321	603	25454	2888
Oct 23, 2020	391593	637	25221	4252
Oct 24, 2020	397509	626	22683	3275
Oct 25, 2020	400884	574	24051	2683
Oct 26, 2020	415152	330	25571	3935
Oct 27, 2020	431622	156	21854	4267
Oct 28, 2020	444246	540	20816	5763
Oct 29, 2020	453975	674	19152	5457
Oct 30, 2020	465197	580	19883	5556
Oct 31, 2020	471151	579	23975	6315
Nov 01, 2020	475904	599	22464	7818
Nov 02, 2020	486894	283	23602	5573
Nov 03, 2020	500583	121	18467	8974
Nov 04, 2020	509567	449	37596	8721
Nov 05, 2020	516363	609	10133	10994
Nov 06, 2020	523066	620	15365	11835
Nov 07, 2020	525687	531	16931	8853
Nov 08, 2020	524471	502	17059	10008
Nov 09, 2020	530604	228	15177	11290
Nov 10, 2020	539141	92	11486	12214
Nov 11, 2020	544435	411	5741	11474
Nov 12, 2020	544638	568	9073	13231
Nov 13, 2020	542985	470	13880	14635
Nov 14, 2020	538446	544	14835	12568
Nov 15, 2020	530438	502	13236	11239
Nov 16, 2020	529563	188	12430	18260
Nov 17, 2020	530023	96	9174	18601
Nov 18, 2020	521463	349	4421	19003
Nov 19, 2020	508945	605	8310	19914
Nov 20, 2020	497337	431	12169	25275
Nov 21, 2020	484223	426	13744	16896
Nov 22, 2020	468599	483	13112	14897
Nov 23, 2020	460631	143	11496	15849
Nov 24, 2020	454572	77	8977	14810
Nov 25, 2020	440967	309	4863	25342
Nov 26, 2020	425809	472	6908	21767
Nov 27, 2020	412475	497	12454	21637
Nov 28, 2020	398516	240	11950	21156
Nov 29, 2020	382296	69	10992	18085
Nov 30, 2020	373251	57	11263	20075
Dec 01, 2020	365971	29	8594	25391
Dec 02, 2020	354843	307	4633	23580
Dec 03, 2020	340650	568	7189	19853
Dec 04, 2020	327746	534	12361	21497
Dec 05, 2020	314235	400	13119	18810
Dec 06, 2020	299975	102	8907	15726
Dec 07, 2020	291696	61	5212	16399
Dec 08, 2020	285765	42	3678	29396
Dec 09, 2020	277691	341	2921	23878
Dec 10, 2020	269708	553	7739	23237
Dec 11, 2020	263591	187	13022	25185
Dec 12, 2020	257325	331	13285	18354
Dec 13, 2020	249496	439	11069	10260
Dec 14, 2020	248261	177	6988	10593
Dec 15, 2020	250158	78	5692	12902
Dec 16, 2020	247543	326	4404	10699
Dec 17, 2020	243986	482	7693	12227
Dec 18, 2020	242813	383	14216	12147
Dec 19, 2020	241335	386	12027	10546
Dec 20, 2020	238206	369	8986	7748
Dec 21, 2020	241155	142	10271	8255
Dec 22, 2020	246504	52	9651	10906
Dec 23, 2020	249231	291	4447	10698
Dec 24, 2020	250463	444	5642	8807
Dec 25, 2020	249788	420	9074	7698
Dec 26, 2020	251675	345	9599	7229
Dec 27, 2020	253039	346	7675	5766
Dec 28, 2020	262380	110	7327	8629
Dec 29, 2020	273468	38	6116	11884
Dec 30, 2020	282228	264	3326	10249
Dec 31, 2020	286843	389	4859	10143
Jan 01, 2021	290603	390	6775	9155
Jan 02, 2021	297485	335	7205	7657
Jan 03, 2021	304250	303	6749	6461
Jan 04, 2021	321112	98	6205	9338
Jan 05, 2021	343710	43	4938	8852
Jan 06, 2021	354883	253	2418	7872
Jan 07, 2021	374015	424	4605	8983
Jan 08, 2021	395988	444	6786	9139
Jan 09, 2021	410883	367	7157	9580
Jan 10, 2021	422160	283	6144	7142
Jan 11, 2021	445759	93	5869	7666
Jan 12, 2021	472431	46	4703	8997
Jan 13, 2021	494889	228	2507	8700
Jan 14, 2021	514726	360	4325	8827
Jan 15, 2021	538658	456	6801	8437
Jan 16, 2021	553987	248	6496	8239
Jan 17, 2021	563805	284	6054	6393
Jan 18, 2021	585098	98	5962	9315
Jan 19, 2021	609637	25	4728	10325
Jan 20, 2021	627414	197	2401	8373
Jan 21, 2021	641648	280	4059	0
Jan 22, 2021	651434	273	6935	7050
Jan 23, 2021	663279	241	7007	7664
Jan 24, 2021	674479	254	6378	7290
Jan 25, 2021	693748	94	6586	5839
Jan 26, 2021	711065	18	5333	2692
Jan 27, 2021	725329	247	2541	4625
Jan 28, 2021	735186	372	5183	6460
Jan 29, 2021	747261	286	8695	7222
Jan 30, 2021	753953	259	9068	5893
Jan 31, 2021	758527	302	8776	6169
Feb 01, 2021	768327	114	8512	4760
Feb 02, 2021	780669	23	7039	2302
Feb 03, 2021	786781	259	3884	4465
Feb 04, 2021	786681	309	6311	6524
Feb 05, 2021	794551	289	12147	6884
Feb 06, 2021	783947	265	12139	5590
Feb 07, 2021	766027	245	11536	5695
Feb 08, 2021	760756	126	12102	4618
Feb 09, 2021	755781	32	10099	2161
Feb 10, 2021	742086	282	4785	4466
Feb 11, 2021	726572	399	7937	6026
Feb 12, 2021	708253	375	15701	6340
Feb 13, 2021	687443	352	15252	5564
Feb 14, 2021	661258	343	15827	5639
Feb 15, 2021	648158	110	14852	4773
Feb 16, 2021	637741	28	13573	2155
Feb 17, 2021	618939	373	6169	4068
Feb 18, 2021	601632	453	9971	6550
Feb 19, 2021	584381	356	17326	7110
Feb 20, 2021	565473	422	21143	6088
Feb 21, 2021	549715	350	18789	5959
Feb 22, 2021	535845	140	21062	5143
Feb 23, 2021	524382	65	17258	2465
Feb 24, 2021	504823	400	10894	5361
Feb 25, 2021	487267	575	14397	8210
Feb 26, 2021	465668	522	25048	8909
Feb 27, 2021	445078	443	27276	8368
Feb 28, 2021	421156	448	26049	8032
Mar 01, 2021	407755	131	26406	7171
Mar 02, 2021	398252	47	21850	3447
Mar 03, 2021	381184	461	14577	7140
Mar 04, 2021	361135	652	17565	10945
Mar 05, 2021	339429	624	29977	12044
Mar 06, 2021	316498	498	34153	10960
Mar 07, 2021	294089	571	35145	11515
Mar 08, 2021	284278	204	31770	9270
Mar 09, 2021	275542	64	29261	4552
Mar 10, 2021	282513	60	16957	8635
Mar 11, 2021	254364	640	20887	13944
Mar 12, 2021	259584	954	32876	15667
Mar 13, 2021	263331	768	35246	14076
Mar 14, 2021	266384	749	30546	14228
Mar 15, 2021	270873	244	28084	12709
Mar 16, 2021	275745	62	22966	6001
Mar 17, 2021	281658	645	9903	10667
Mar 18, 2021	200075	803	8243	16440
Mar 19, 2021	205237	683	14913	19778
Mar 20, 2021	208830	596	27899	16777
Mar 21, 2021	211742	616	28523	19181
Mar 22, 2021	174041	207	24886	17867
Mar 23, 2021	174044	101	21706	13971
Mar 24, 2021	172991	600	11989	15010
Mar 25, 2021	172134	741	13210	24367
Mar 26, 2021	170567	694	21279	27845
Mar 27, 2021	175695	541	21129	23854
Mar 28, 2021	179876	513	17870	25509
Mar 29, 2021	164080	193	15761	23768
Mar 30, 2021	164855	22	12172	13726
Mar 31, 2021	167409	460	7281	20254
Apr 01, 2021	168023	635	9242	29070
Apr 02, 2021	167607	541	13927	34745
Apr 03, 2021	165479	428	12770	32439
Apr 04, 2021	164556	423	10863	30875
Apr 05, 2021	165181	144	9510	27269
Apr 06, 2021	168598	37	7235	18120
Apr 07, 2021	172742	28	3453	21807
Apr 08, 2021	178688	350	5707	31272
Apr 09, 2021	182507	509	8894	35289
Apr 10, 2021	188662	453	8420	28236
Apr 11, 2021	197728	420	6802	26481
Apr 12, 2021	190088	147	6473	21873
Apr 13, 2021	193320	5	4610	10146
Apr 14, 2021	199347	319	2525	8837
Apr 15, 2021	204116	343	2299	16594
Apr 16, 2021	208715	343	3892	29989
Apr 17, 2021	209401	289	6431	25924
Apr 18, 2021	212783	298	6053	23833
Apr 19, 2021	214676	55	4769	19674
Apr 20, 2021	219196	11	3851	11578
Apr 21, 2021	225042	246	2031	14557
Apr 22, 2021	230419	329	3002	20670
Apr 23, 2021	235226	250	3948	21202
Apr 24, 2021	234365	191	3694	16753
Apr 25, 2021	234755	191	3289	15593
Apr 26, 2021	236024	46	2897	12031
Apr 27, 2021	239568	17	2169	6938
Apr 28, 2021	242205	151	1109	9806
Apr 29, 2021	252270	209	1727	13030
Apr 30, 2021	248023	135	2348	14048
May 01, 2021	252471	117	2087	10110
May 02, 2021	252162	125	1678	8876
May 03, 2021	247982	56	1517	7087
May 04, 2021	252446	7	1075	3753
May 05, 2021	248414	111	565	6067
May 06, 2021	249802	128	996	8308
May 07, 2021	249336	91	1239	8020
May 08, 2021	243325	26	1227	6422
May 09, 2021	238063	38	947	6533
May 10, 2021	236492	13	775	4211
May 11, 2021	232155	8	579	2274
May 12, 2021	231256	95	330	2232
May 13, 2021	230727	108	583	4526
May 14, 2021	226699	84	657	6358
May 15, 2021	220059	68	572	5339
May 16, 2021	214722	47	317	4729
May 17, 2021	211820	11	415	3513
May 18, 2021	207330	1	310	1716
May 19, 2021	206543	52	195	3088
May 20, 2021	204850	62	532	4011
May 21, 2021	199448	46	424	3655
May 22, 2021	191645	48	381	3038
May 23, 2021	184355	41	338	2955
May 24, 2021	182598	5	238	1947
May 25, 2021	179980	1	226	955
May 26, 2021	178550	29	136	1902
May 27, 2021	176221	35	216	2228
May 28, 2021	173078	24	238	1964
May 29, 2021	165611	36	218	1547
May 30, 2021	160382	21	190	1467
May 31, 2021	159144	5	168	983
Jun 01, 2021	156976	0	133	467
Jun 02, 2021	156591	26	75	988
Jun 03, 2021	157362	16	185	1186
Jun 04, 2021	155993	23	162	960
Jun 05, 2021	150736	21	148	877
Jun 06, 2021	146374	18	132	727
Jun 07, 2021	145690	1	98	463
Jun 08, 2021	143522	1	70	307
Jun 09, 2021	143420	8	51	448
Jun 10, 2021	143750	23	120	593
Jun 11, 2021	143369	19	104	519
Jun 12, 2021	140653	17	99	297
Jun 13, 2021	137473	7	97	355
Jun 14, 2021	134419	1	108	221
Jun 15, 2021	131416	0	54	104
Jun 16, 2021	132251	13	37	351
Jun 17, 2021	132025	6	93	344
Jun 18, 2021	132585	12	103	315
Jun 19, 2021	130548	14	91	282
Jun 20, 2021	127328	7	75	172
