Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	0	0
Mar 01, 2020	0	0	1	0
Mar 02, 2020	1	0	0	0
Mar 03, 2020	1	0	0	0
Mar 04, 2020	1	0	4	0
Mar 05, 2020	5	0	6	0
Mar 06, 2020	11	0	1	1
Mar 07, 2020	11	0	3	0
Mar 08, 2020	14	0	3	0
Mar 09, 2020	17	0	0	0
Mar 10, 2020	17	0	8	0
Mar 11, 2020	25	0	6	0
Mar 12, 2020	31	0	11	5
Mar 13, 2020	37	0	14	0
Mar 14, 2020	51	1	4	0
Mar 15, 2020	55	0	30	0
Mar 16, 2020	85	0	21	0
Mar 17, 2020	106	0	33	0
Mar 18, 2020	139	0	52	0
Mar 19, 2020	190	0	54	4
Mar 20, 2020	240	2	53	4
Mar 21, 2020	289	0	61	0
Mar 22, 2020	350	1	71	1
Mar 23, 2020	420	0	57	5
Mar 24, 2020	472	4	163	7
Mar 25, 2020	626	1	182	9
Mar 26, 2020	799	8	196	7
Mar 27, 2020	987	7	228	4
Mar 28, 2020	1211	6	270	15
Mar 29, 2020	1462	4	302	2
Mar 30, 2020	1761	9	501	55
Mar 31, 2020	2199	2	440	69
Apr 01, 2020	2563	2	771	45
Apr 02, 2020	3283	11	601	46
Apr 03, 2020	3834	5	582	52
Apr 04, 2020	4355	13	658	22
Apr 05, 2020	4989	18	954	51
Apr 06, 2020	5890	12	1154	88
Apr 07, 2020	6945	24	1175	86
Apr 08, 2020	8029	18	1459	118
Apr 09, 2020	9357	22	1786	97
Apr 10, 2020	11028	28	1667	250
Apr 11, 2020	12433	34	2186	246
Apr 12, 2020	14349	41	2558	179
Apr 13, 2020	16710	40	2774	224
Apr 14, 2020	19238	48	3388	292
Apr 15, 2020	22306	44	3448	318
Apr 16, 2020	25402	51	4070	286
Apr 17, 2020	29145	57	4785	467
Apr 18, 2020	33423	42	6060	234
Apr 19, 2020	39201	60	4268	155
Apr 20, 2020	43270	66	5642	427
Apr 21, 2020	48434	66	5236	547
Apr 22, 2020	53066	47	4774	471
Apr 23, 2020	57327	73	5849	677
Apr 24, 2020	62439	105	5966	682
Apr 25, 2020	67657	101	6361	517
Apr 26, 2020	73435	96	6198	579
Apr 27, 2020	79007	53	6411	1110
Apr 28, 2020	84235	58	5841	1830
Apr 29, 2020	88141	76	7099	1333
Apr 30, 2020	93806	95	7933	1601
May 01, 2020	100042	86	9623	1793
May 02, 2020	107819	88	10633	1626
May 03, 2020	116768	98	10581	1456
May 04, 2020	125817	104	10102	1770
May 05, 2020	134054	88	10559	1462
May 06, 2020	143065	94	11231	2476
May 07, 2020	151732	107	10699	2805
May 08, 2020	159528	96	10817	5308
May 09, 2020	164933	93	11012	2390
May 10, 2020	173467	113	11656	5495
May 11, 2020	179534	119	10899	3711
May 12, 2020	186615	94	10028	4491
May 13, 2020	192056	91	9974	5527
May 14, 2020	196410	115	10598	4696
May 15, 2020	202199	135	9200	4940
May 16, 2020	206340	127	9709	4207
May 17, 2020	211748	150	8926	2836
May 18, 2020	217747	139	9263	5921
May 19, 2020	220974	153	8764	9262
May 20, 2020	220341	92	8849	7289
May 21, 2020	221774	174	8894	7144
May 22, 2020	223374	161	9434	8111
May 23, 2020	224558	174	8599	5363
May 24, 2020	227641	232	8946	5499
May 25, 2020	230996	181	8915	12331
May 26, 2020	227406	138	8338	11079
May 27, 2020	224504	162	8371	8785
May 28, 2020	223916	182	8572	8264
May 29, 2020	223992	178	8952	8212
May 30, 2020	224551	169	9268	4414
May 31, 2020	229267	144	9035	3994
Jun 01, 2020	234146	197	8863	11108
Jun 02, 2020	231719	134	8536	8972
Jun 03, 2020	231105	112	8831	8666
Jun 04, 2020	231101	171	8726	8057
Jun 05, 2020	231626	216	8855	8708
Jun 06, 2020	231576	174	8984	5343
Jun 07, 2020	235083	183	8985	3957
Jun 08, 2020	239999	114	8595	11709
Jun 09, 2020	236714	119	8404	10386
Jun 10, 2020	234516	143	8779	8367
Jun 11, 2020	234754	193	8987	8220
Jun 12, 2020	235338	194	8706	5271
Jun 13, 2020	238659	182	8835	5409
Jun 14, 2020	241966	181	8246	4489
Jun 15, 2020	245580	161	8248	9767
Jun 16, 2020	243868	109	7843	10036
Jun 17, 2020	241481	95	7790	9621
Jun 18, 2020	239468	153	7972	10443
Jun 19, 2020	236816	154	7889	10186
Jun 20, 2020	234358	92	7728	5119
Jun 21, 2020	236858	176	7600	4705
Jun 22, 2020	239658	188	7425	12013
Jun 23, 2020	234917	104	7176	12393
Jun 24, 2020	229546	93	7113	6342
Jun 25, 2020	230225	154	6800	8988
Jun 26, 2020	227861	216	6852	9200
Jun 27, 2020	225325	147	6791	5735
Jun 28, 2020	226277	176	6719	4343
Jun 29, 2020	228560	168	6693	9220
Jun 30, 2020	225879	134	6556	10281
Jul 01, 2020	221938	135	6760	6047
Jul 02, 2020	222504	198	6718	8915
Jul 03, 2020	220131	173	6632	8986
Jul 04, 2020	217609	176	6736	3871
Jul 05, 2020	220340	174	6611	3579
Jul 06, 2020	223237	188	6368	9551
Jul 07, 2020	219856	130	6562	8631
Jul 08, 2020	217614	104	6509	8805
Jul 09, 2020	215142	175	6635	7752
Jul 10, 2020	213851	156	6611	8378
Jul 11, 2020	211896	167	6615	3615
Jul 12, 2020	214766	186	6537	2960
Jul 13, 2020	218239	124	6248	8804
Jul 14, 2020	215508	95	6422	10424
Jul 15, 2020	211350	85	6428	8443
Jul 16, 2020	209168	153	6406	7681
Jul 17, 2020	207707	165	6234	7490
Jul 18, 2020	206327	147	6109	3481
Jul 19, 2020	208860	154	5940	3258
Jul 20, 2020	211457	146	5842	8782
Jul 21, 2020	208364	77	5862	9669
Jul 22, 2020	204392	85	5848	8277
Jul 23, 2020	201816	150	5811	8444
Jul 24, 2020	199029	169	5871	8366
Jul 25, 2020	196388	129	5765	3110
Jul 26, 2020	198966	161	5635	3079
Jul 27, 2020	201437	95	5395	8888
Jul 28, 2020	197794	70	5475	8116
Jul 29, 2020	194984	79	5509	9322
Jul 30, 2020	191042	144	5482	8755
Jul 31, 2020	187608	139	5462	8114
Aug 01, 2020	184861	116	5427	3649
Aug 02, 2020	186569	119	5394	3420
Aug 03, 2020	188464	129	5159	7878
Aug 04, 2020	185601	77	5204	7555
Aug 05, 2020	183111	70	5267	7331
Aug 06, 2020	180931	130	5241	7235
Aug 07, 2020	178818	129	5212	6615
Aug 08, 2020	177286	124	5189	3215
Aug 09, 2020	179183	114	5118	3259
Aug 10, 2020	180972	119	4945	6494
