Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	708	0	26	0
Feb 16, 2020	734	0	28	4
Feb 17, 2020	762	0	28	2
Feb 18, 2020	790	0	18	0
Feb 19, 2020	808	0	57	4
Feb 20, 2020	865	0	62	1
Feb 21, 2020	927	0	60	0
Feb 22, 2020	987	0	75	0
Feb 23, 2020	1062	0	108	0
Feb 24, 2020	1170	0	129	1
Feb 25, 2020	1299	0	147	0
Feb 26, 2020	1446	0	180	1
Feb 27, 2020	1626	1	317	0
Feb 28, 2020	1943	1	238	0
Feb 29, 2020	2181	1	676	0
Mar 01, 2020	2857	5	785	0
Mar 02, 2020	3642	2	776	0
Mar 03, 2020	4417	7	934	0
Mar 04, 2020	5350	13	1256	1
Mar 05, 2020	6604	6	1587	1
Mar 06, 2020	8183	20	1814	0
Mar 07, 2020	9971	32	2143	0
Mar 08, 2020	12105	49	3328	0
Mar 09, 2020	15420	65	4568	0
Mar 10, 2020	19879	102	4620	7
Mar 11, 2020	24431	50	5801	0
Mar 12, 2020	30194	198	7627	21
Mar 13, 2020	37768	109	7276	0
Mar 14, 2020	44655	200	7746	0
Mar 15, 2020	52299	272	9250	21
Mar 16, 2020	61486	298	8617	0
Mar 17, 2020	69407	405	8749	38
Mar 18, 2020	77994	559	8444	10
Mar 19, 2020	86212	705	10401	65
Mar 20, 2020	95860	680	7251	29
Mar 21, 2020	102276	744	6609	57
Mar 22, 2020	108030	801	8078	187
Mar 23, 2020	114769	875	6952	2837
Mar 24, 2020	120577	851	6777	257
Mar 25, 2020	125101	946	6203	2126
Mar 26, 2020	128912	775	5918	985
Mar 27, 2020	131687	957	5233	1823
Mar 28, 2020	133117	996	4144	730
Mar 29, 2020	133986	881	5026	4289
Mar 30, 2020	135995	776	4312	2600
Mar 31, 2020	137053	719	5353	2600
Apr 01, 2020	138061	725	4349	3740
Apr 02, 2020	137318	730	4363	2135
Apr 03, 2020	137030	774	3584	1825
Apr 04, 2020	136132	679	3137	2300
Apr 05, 2020	134689	657	3455	0
Apr 06, 2020	135062	544	3119	7381
Apr 07, 2020	134680	625	3394	10219
Apr 08, 2020	132487	567	3208	6107
Apr 09, 2020	130872	517	3100	1506
Apr 10, 2020	129812	577	2818	3487
Apr 11, 2020	128645	330	2216	2900
Apr 12, 2020	126954	361	2146	4000
Apr 13, 2020	126197	586	2208	3900
Apr 14, 2020	125111	425	2335	4400
Apr 15, 2020	123520	414	2242	4400
Apr 16, 2020	121488	446	1871	6114
Apr 17, 2020	122998	451	1636	2286
Apr 18, 2020	122854	456	1122	2600
Apr 19, 2020	119659	380	1453	3500
