Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	20	0	0	0
Feb 16, 2020	20	0	1	1
Feb 17, 2020	20	0	0	2
Feb 18, 2020	18	0	0	0
Feb 19, 2020	18	0	0	0
Feb 20, 2020	18	0	0	2
Feb 21, 2020	16	0	0	1
Feb 22, 2020	15	0	0	1
Feb 23, 2020	14	0	0	-6
Feb 24, 2020	20	0	2	7
Feb 25, 2020	15	1	3	0
Feb 26, 2020	18	0	0	6
Feb 27, 2020	12	0	1	0
Feb 28, 2020	13	0	1	0
Feb 29, 2020	14	0	0	2
Mar 01, 2020	11	0	1	0
Mar 02, 2020	12	0	0	0
Mar 03, 2020	12	0	0	0
Mar 04, 2020	12	0	4	1
Mar 05, 2020	15	0	1	0
Mar 06, 2020	16	0	2	0
Mar 07, 2020	18	0	0	2
Mar 08, 2020	16	0	0	0
Mar 09, 2020	16	0	3	0
Mar 10, 2020	19	0	6	1
Mar 11, 2020	24	0	11	1
Mar 12, 2020	34	0	5	0
Mar 13, 2020	39	0	7	0
Mar 14, 2020	46	0	32	0
Mar 15, 2020	78	0	33	0
Mar 16, 2020	111	0	30	6
Mar 17, 2020	135	0	35	1
Mar 18, 2020	169	0	60	0
Mar 19, 2020	229	3	50	0
Mar 20, 2020	279	0	89	2
Mar 21, 2020	366	0	188	0
Mar 22, 2020	554	1	122	8
Mar 23, 2020	668	1	106	0
Mar 24, 2020	771	1	107	18
Mar 25, 2020	860	2	111	18
Mar 26, 2020	953	1	91	9
Mar 27, 2020	1034	2	109	0
Mar 28, 2020	1142	3	143	132
Mar 29, 2020	1152	4	136	0
Mar 30, 2020	1286	1	127	113
Mar 31, 2020	1299	3	120	163
Apr 01, 2020	1254	3	104	0
Apr 02, 2020	1355	1	103	107
Apr 03, 2020	1347	3	89	62
Apr 04, 2020	1373	2	102	119
Apr 05, 2020	1353	1	51	0
Apr 06, 2020	1401	2	38	95
Apr 07, 2020	1343	3	111	0
Apr 08, 2020	1451	2	54	52
Apr 09, 2020	1451	1	50	73
Apr 10, 2020	1427	2	45	122
Apr 11, 2020	1348	3	33	83
Apr 12, 2020	1295	1	28	70
Apr 13, 2020	1251	0	34	117
Apr 14, 2020	1167	0	30	92
Apr 15, 2020	1103	0	29	96
Apr 16, 2020	1033	1	28	96
Apr 17, 2020	964	1	33	98
Apr 18, 2020	899	1	32	141
Apr 19, 2020	790	0	27	71
Apr 20, 2020	746	1	19	109
Apr 21, 2020	655	0	15	244
Apr 22, 2020	425	1	13	78
Apr 23, 2020	359	2	15	60
Apr 24, 2020	314	0	53	57
Apr 25, 2020	309	0	15	47
Apr 26, 2020	277	0	9	15
Apr 27, 2020	270	0	7	43
Apr 28, 2020	232	0	9	13
Apr 29, 2020	228	0	7	22
Apr 30, 2020	213	0	6	32
May 01, 2020	187	1	6	13
May 02, 2020	180	0	3	7
May 03, 2020	176	0	18	1
May 04, 2020	193	1	1	7
May 05, 2020	187	0	1	14
May 06, 2020	173	0	3	11
May 07, 2020	165	0	8	12
May 08, 2020	161	0	4	3
May 09, 2020	161	0	5	7
May 10, 2020	159	0	6	2
May 11, 2020	163	0	2	2
May 12, 2020	163	0	0	46
May 13, 2020	117	0	1	6
May 14, 2020	112	0	7	4
May 15, 2020	115	0	0	1
May 16, 2020	114	0	3	1
May 17, 2020	116	0	3	1
May 18, 2020	118	0	2	0
May 19, 2020	120	0	1	31
May 20, 2020	90	1	3	9
May 21, 2020	84	0	0	13
May 22, 2020	71	0	3	6
May 23, 2020	68	0	0	5
May 24, 2020	63	0	2	7
May 25, 2020	57	0	3	1
May 26, 2020	59	0	9	2
May 27, 2020	66	0	11	14
May 28, 2020	63	1	11	0
May 29, 2020	74	0	1	16
May 30, 2020	59	0	4	2
May 31, 2020	61	0	1	2
Jun 01, 2020	60	0	1	1
Jun 02, 2020	59	0	1	2
Jun 03, 2020	58	0	17	0
Jun 04, 2020	75	0	1	3
Jun 05, 2020	73	0	2	0
Jun 06, 2020	75	0	8	1
Jun 07, 2020	82	0	7	1
Jun 08, 2020	88	0	2	0
Jun 09, 2020	90	0	4	8
Jun 10, 2020	86	0	0	6
Jun 11, 2020	80	0	4	0
Jun 12, 2020	84	0	5	0
Jun 13, 2020	89	0	1	0
Jun 14, 2020	90	0	0	0
Jun 15, 2020	90	0	0	6
Jun 16, 2020	84	0	0	3
Jun 17, 2020	81	0	6	1
Jun 18, 2020	86	0	5	11
Jun 19, 2020	80	0	1	10
Jun 20, 2020	71	0	1	0
Jun 21, 2020	72	0	3	4
Jun 22, 2020	71	0	5	1
Jun 23, 2020	75	0	1	3
Jun 24, 2020	73	0	1	12
Jun 25, 2020	62	0	4	2
Jun 26, 2020	64	0	0	13
Jun 27, 2020	51	0	0	0
Jun 28, 2020	51	0	7	0
Jun 29, 2020	58	0	2	3
Jun 30, 2020	57	0	2	3
Jul 01, 2020	56	0	6	0
Jul 02, 2020	62	0	1	7
Jul 03, 2020	56	0	5	0
Jul 04, 2020	61	0	5	5
Jul 05, 2020	61	0	5	1
Jul 06, 2020	65	0	0	0
Jul 07, 2020	65	0	2	2
Jul 08, 2020	65	0	5	11
Jul 09, 2020	59	0	0	2
Jul 10, 2020	57	0	14	1
Jul 11, 2020	70	0	1	0
Jul 12, 2020	71	0	3	2
Jul 13, 2020	72	0	7	1
Jul 14, 2020	78	0	5	1
Jul 15, 2020	82	0	4	3
Jul 16, 2020	83	0	3	1
Jul 17, 2020	85	0	7	0
Jul 18, 2020	92	0	3	0
Jul 19, 2020	95	0	1	0
Jul 20, 2020	96	0	5	9
Jul 21, 2020	92	0	6	0
Jul 22, 2020	98	0	8	0
Jul 23, 2020	106	0	10	2
Jul 24, 2020	114	0	3	2
Jul 25, 2020	115	0	9	0
Jul 26, 2020	124	0	4	2
Jul 27, 2020	126	0	2	0
Jul 28, 2020	128	0	1	0
Jul 29, 2020	129	0	6	0
Jul 30, 2020	135	0	6	14
Jul 31, 2020	127	0	2	10
Aug 01, 2020	119	0	5	7
Aug 02, 2020	117	0	3	0
Aug 03, 2020	120	0	1	0
Aug 04, 2020	121	0	7	2
Aug 05, 2020	126	0	2	4
Aug 06, 2020	124	0	15	0
Aug 07, 2020	139	0	3	2
Aug 08, 2020	140	0	3	1
Aug 09, 2020	142	0	0	9
Aug 10, 2020	133	0	0	3
Aug 11, 2020	130	0	5	6
Aug 12, 2020	129	0	3	0
Aug 13, 2020	132	0	17	4
Aug 14, 2020	145	0	0	20
Aug 15, 2020	125	0	1	1
Aug 16, 2020	125	0	1	0
Aug 17, 2020	126	0	3	4
Aug 18, 2020	125	0	1	1
Aug 19, 2020	125	0	7	19
Aug 20, 2020	113	0	1	1
Aug 21, 2020	113	0	0	1
Aug 22, 2020	112	0	5	1
Aug 23, 2020	116	0	2	1
Aug 24, 2020	117	0	5	7
Aug 25, 2020	115	0	1	8
Aug 26, 2020	108	0	1	0
Aug 27, 2020	109	0	6	0
Aug 28, 2020	115	0	1	5
Aug 29, 2020	111	0	0	10
Aug 30, 2020	101	0	1	0
Aug 31, 2020	102	0	5	22
Sep 01, 2020	85	0	8	0
Sep 02, 2020	93	0	2	3
Sep 03, 2020	92	0	4	0
Sep 04, 2020	96	0	7	2
Sep 05, 2020	101	0	6	2
Sep 06, 2020	105	0	1	0
Sep 07, 2020	106	0	1	3
Sep 08, 2020	104	0	1	2
Sep 09, 2020	103	0	7	24
Sep 10, 2020	86	0	7	2
Sep 11, 2020	91	0	5	0
Sep 12, 2020	96	0	7	0
