Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	1	0
Feb 21, 2020	0	0	3	0
Feb 22, 2020	0	0	1	0
Feb 23, 2020	0	0	1	0
Feb 24, 2020	0	0	6	0
Feb 25, 2020	0	0	3	0
Feb 26, 2020	0	0	2	0
Feb 27, 2020	0	0	2	0
Feb 28, 2020	0	0	4	0
Feb 29, 2020	0	0	3	0
Mar 01, 2020	0	0	2	0
Mar 02, 2020	0	1	10	0
Mar 03, 2020	0	0	15	0
Mar 04, 2020	0	0	6	0
Mar 05, 2020	1	2	15	0
Mar 06, 2020	1	0	14	0
Mar 07, 2020	2	1	25	0
Mar 08, 2020	3	1	61	0
Mar 09, 2020	7	0	24	0
Mar 10, 2020	7	2	30	0
Mar 11, 2020	13	1	53	0
Mar 12, 2020	16	0	34	0
Mar 13, 2020	24	1	52	0
Mar 14, 2020	38	1	32	0
Mar 15, 2020	61	2	29	0
Mar 16, 2020	64	2	32	0
Mar 17, 2020	85	6	41	0
Mar 18, 2020	116	0	60	0
Mar 19, 2020	150	6	21	6
Mar 20, 2020	202	0	22	2
Mar 21, 2020	238	1	27	0
Mar 22, 2020	272	1	5	3
Mar 23, 2020	399	1	15	6
Mar 24, 2020	552	0	28	5
Mar 25, 2020	700	3	14	0
Mar 26, 2020	919	3	22	21
Mar 27, 2020	1143	3	19	18
Mar 28, 2020	1160	0	21	14
Mar 29, 2020	1253	1	33	81
Mar 30, 2020	1298	2	43	0
Mar 31, 2020	1323	0	43	78
Apr 01, 2020	1331	0	2	101
Apr 02, 2020	1413	1	13	92
Apr 03, 2020	1407	0	5	101
Apr 04, 2020	1487	0	17	90
Apr 05, 2020	1555	0	8	110
Apr 06, 2020	1585	0	9	170
Apr 07, 2020	1647	0	4	217
Apr 08, 2020	1739	0	17	159
Apr 09, 2020	1829	0	10	297
Apr 10, 2020	1575	1	18	293
Apr 11, 2020	1599	1	8	195
Apr 12, 2020	1745	0	5	308
Apr 13, 2020	1843	1	14	279
Apr 14, 2020	1987	0	4	291
Apr 15, 2020	2072	1	11	362
Apr 16, 2020	1662	0	4	322
Apr 17, 2020	1839	1	5	414
Apr 18, 2020	2090	0	4	303
Apr 19, 2020	2213	0	3	338
Apr 20, 2020	2199	1	1	293
Apr 21, 2020	2365	1	4	417
Apr 22, 2020	2529	0	2	418
Apr 23, 2020	2418	0	0	523
Apr 24, 2020	2683	0	0	419
Apr 25, 2020	2818	0	0	278
Apr 26, 2020	3003	0	0	303
Apr 27, 2020	3248	0	0	383
Apr 28, 2020	2845	0	3	347
Apr 29, 2020	3191	0	2	523
Apr 30, 2020	3490	0	0	438
May 01, 2020	3472	0	6	554
May 02, 2020	3684	1	0	469
May 03, 2020	4126	1	2	374
May 04, 2020	4361	0	1	295
May 05, 2020	4705	0	2	479
May 06, 2020	4528	0	0	475
May 07, 2020	4947	1	0	496
May 08, 2020	5597	0	3	507
May 09, 2020	5282	0	0	445
May 10, 2020	5682	0	0	493
May 11, 2020	6126	0	17	520
May 12, 2020	6828	0	3	740
May 13, 2020	7153	0	5	790
May 14, 2020	6866	0	1	959
May 15, 2020	7238	0	7	1400
May 16, 2020	7663	0	2	1199
May 17, 2020	8296	1	1	952
May 18, 2020	8904	0	0	1342
May 19, 2020	8983	0	0	997
May 20, 2020	8767	0	0	1488
May 21, 2020	9877	0	0	1350
May 22, 2020	9681	0	0	1204
May 23, 2020	10896	0	0	1602
May 24, 2020	11119	0	0	1154
May 25, 2020	11282	0	0	1613
May 26, 2020	11062	0	6	2625
May 27, 2020	12002	0	1	2610
May 28, 2020	12526	0	2	2448
May 29, 2020	13612	0	14	1833
May 30, 2020	14287	0	15	2296
May 31, 2020	15275	1	3	2219
Jun 01, 2020	16452	0	4	0
Jun 02, 2020	16837	0	14	41227
Jun 03, 2020	17145	0	10	4575
Jun 04, 2020	18736	0	1	4883
Jun 05, 2020	19545	0	2	0
Jun 06, 2020	20877	0	0	0
Jun 07, 2020	23049	0	1	0
Jun 08, 2020	23830	0	2	0
Jun 09, 2020	22946	0	2	0
Jun 10, 2020	22828	0	4	30813
Jun 11, 2020	24160	0	1	4914
Jun 12, 2020	25703	0	3	5938
Jun 13, 2020	27610	0	2	6408
Jun 14, 2020	30189	0	1	5088
Jun 15, 2020	32270	0	3	7440
Jun 16, 2020	32821	0	3	0
Jun 17, 2020	34592	0	5	30209
Jun 18, 2020	37434	0	2	5050
Jun 19, 2020	38262	0	11	5118
Jun 20, 2020	40695	0	6	3960
Jun 21, 2020	44000	0	16	4828
Jun 22, 2020	46405	0	10	5173
Jun 23, 2020	49225	0	9	4523
Jun 24, 2020	53001	0	5	4234
Jun 25, 2020	56411	0	18	4104
Jun 26, 2020	58453	0	40	4624
Jun 27, 2020	62631	0	4	4155
Jun 28, 2020	67117	0	13	3944
Jun 29, 2020	71510	0	8	5075
Jun 30, 2020	75418	0	9	4214
Jul 01, 2020	80999	0	12	3804
Jul 02, 2020	83672	0	26	4096
Jul 03, 2020	88354	0	7	4102
Jul 04, 2020	94238	0	8	3587
Jul 05, 2020	100785	0	5	3339
Jul 06, 2020	105136	0	12	3874
Jul 07, 2020	110656	0	19	3458
Jul 08, 2020	114846	0	18	3219
Jul 09, 2020	122224	0	9	3131
Jul 10, 2020	129301	0	3	3061
Jul 11, 2020	133226	0	13	2788
Jul 12, 2020	138044	0	20	2654
Jul 13, 2020	146185	0	26	2664
Jul 14, 2020	148478	0	21	2865
Jul 15, 2020	146701	1	17	3216
Jul 16, 2020	154803	0	9	1513
Jul 17, 2020	155450	0	4	2635
Jul 18, 2020	164596	0	19	2345
Jul 19, 2020	169156	0	17	2198
Jul 20, 2020	174539	0	42	2824
Jul 21, 2020	169199	0	14	2425
Jul 22, 2020	160683	0	22	2190
Jul 23, 2020	166581	0	19	2265
Jul 24, 2020	170784	0	20	2473
Jul 25, 2020	165354	1	21	1926
Jul 26, 2020	174503	0	43	1859
Jul 27, 2020	171429	1	70	2378
Jul 28, 2020	166047	0	58	2225
Jul 29, 2020	166514	1	124	2071
Jul 30, 2020	165599	0	87	1699
Jul 31, 2020	159812	2	81	2180
Aug 01, 2020	153440	1	133	1904
Aug 02, 2020	156671	3	116	1565
Aug 03, 2020	151027	3	120	2354
Aug 04, 2020	149407	1	67	1961
Aug 05, 2020	143996	6	135	1877
Aug 06, 2020	141928	3	83	2000
Aug 07, 2020	141463	0	78	1965
Aug 08, 2020	139045	0	181	1693
Aug 09, 2020	138605	0	142	1516
Aug 10, 2020	136387	2	121	2199
Aug 11, 2020	129800	1	143	1878
Aug 12, 2020	126421	2	114	1712
Aug 13, 2020	124501	0	116	1906
Aug 14, 2020	106257	1	122	1914
Aug 15, 2020	105434	3	165	1877
Aug 16, 2020	103513	1	242	1557
Aug 17, 2020	100596	3	206	2055
