Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	22	0	0	0
Feb 16, 2020	22	0	0	1
Feb 17, 2020	22	0	1	2
Feb 18, 2020	23	0	0	0
Feb 19, 2020	23	0	0	0
Feb 20, 2020	23	0	0	0
Feb 21, 2020	23	0	2	3
Feb 22, 2020	25	1	0	0
Feb 23, 2020	24	0	6	1
Feb 24, 2020	30	0	2	0
Feb 25, 2020	32	0	3	0
Feb 26, 2020	35	0	2	0
Feb 27, 2020	37	0	8	0
Feb 28, 2020	45	0	12	1
Feb 29, 2020	57	0	4	0
Mar 01, 2020	61	0	20	0
Mar 02, 2020	81	1	41	0
Mar 03, 2020	121	0	58	0
Mar 04, 2020	179	1	56	0
Mar 05, 2020	224	2	49	0
Mar 06, 2020	271	2	83	0
Mar 07, 2020	352	0	68	0
Mar 08, 2020	420	2	55	0
Mar 09, 2020	473	5	148	0
Mar 10, 2020	616	3	265	0
Mar 11, 2020	878	7	403	0
Mar 12, 2020	1274	13	484	0
Mar 13, 2020	1745	16	478	0
Mar 14, 2020	2207	21	352	0
Mar 15, 2020	2536	30	441	0
Mar 16, 2020	2915	50	602	590
Mar 17, 2020	3454	58	783	0
Mar 18, 2020	4179	73	984	693
Mar 19, 2020	5090	79	1040	292
Mar 20, 2020	6051	118	1253	0
Mar 21, 2020	7158	143	1183	613
Mar 22, 2020	8198	183	1361	0
Mar 23, 2020	9334	206	2289	1081
Mar 24, 2020	11417	263	2353	619
Mar 25, 2020	13507	337	2666	1048
Mar 26, 2020	15836	410	3039	752
Mar 27, 2020	18465	463	3155	0
Mar 28, 2020	21157	516	2774	1502
Mar 29, 2020	23415	585	2818	725
Mar 30, 2020	25648	710	4195	1517
Mar 31, 2020	29133	827	4463	1491
Apr 01, 2020	32769	922	4891	1493
Apr 02, 2020	36738	1006	4824	1580
Apr 03, 2020	40556	1056	4853	1430
Apr 04, 2020	44353	1146	3976	745
Apr 05, 2020	47183	1219	3556	1067
Apr 06, 2020	49520	1168	5273	2087
Apr 07, 2020	53625	1292	5477	1917
Apr 08, 2020	57810	1459	5146	1952
Apr 09, 2020	61497	1371	4875	1726
Apr 10, 2020	64792	1319	4327	1459
Apr 11, 2020	67800	1362	3585	795
Apr 12, 2020	70023	1376	3507	532
Apr 13, 2020	72154	1230	4203	1087
Apr 14, 2020	75127	1252	4335	2150
Apr 15, 2020	78210	1275	5070	1857
Apr 16, 2020	82005	1320	5292	1608
Apr 17, 2020	85977	1267	4977	1563
Apr 18, 2020	89687	1188	4744	595
Apr 19, 2020	93243	1122	3881	831
Apr 20, 2020	96002	1159	4441	1772
Apr 21, 2020	99284	1082	4796	1476
Apr 22, 2020	102998	1101	5517	1431
Apr 23, 2020	107414	1037	5166	1405
Apr 24, 2020	111543	1004	4961	1101
Apr 25, 2020	115500	918	3757	309
Apr 26, 2020	118339	894	3476	610
Apr 27, 2020	120921	866	4739	1373
Apr 28, 2020	124794	800	4719	1342
Apr 29, 2020	128713	817	5433	1248
Apr 30, 2020	133329	780	4961	736
May 01, 2020	137510	785	4766	350
May 02, 2020	141491	705	3258	222
May 03, 2020	144044	661	3002	587
May 04, 2020	146385	676	3398	1365
May 05, 2020	149107	642	3686	1236
May 06, 2020	152151	627	3832	1055
May 07, 2020	155356	629	3787	815
May 08, 2020	158514	568	3064	4206
May 09, 2020	161010	539	2170	4272
May 10, 2020	162641	493	2337	2851
May 11, 2020	164485	427	3612	1265
May 12, 2020	167670	441	3410	2590
May 13, 2020	170639	454	3330	5146
May 14, 2020	173515	465	2630	2529
May 15, 2020	175680	421	2530	2468
May 16, 2020	177789	419	2082	77
May 17, 2020	179452	377	1837	2361
May 18, 2020	180912	407	2581	1002
May 19, 2020	183086	371	3063	1941
May 20, 2020	185778	353	2719	2584
May 21, 2020	188144	342	2567	1753
May 22, 2020	186773	300	2057	1610
May 23, 2020	185207	284	1532	1738
May 24, 2020	183658	281	1373	1267
May 25, 2020	179693	279	1625	3800
May 26, 2020	177873	299	2070	520
May 27, 2020	177027	281	1825	532
May 28, 2020	174208	288	1757	351
May 29, 2020	172234	254	1531	138
May 30, 2020	166240	219	1132	394
May 31, 2020	162701	195	1080	628
Jun 01, 2020	159036	199	1439	366
Jun 02, 2020	156537	233	1492	499
Jun 03, 2020	153601	203	1369	480
Jun 04, 2020	151040	183	1249	301
Jun 05, 2020	148299	184	1123	81
Jun 06, 2020	144493	151	804	446
Jun 07, 2020	140567	163	722	435
Jun 08, 2020	135926	161	1099	302
Jun 09, 2020	132778	137	1165	273
Jun 10, 2020	130382	166	1196	339
Jun 11, 2020	127688	121	1013	205
Jun 12, 2020	124712	135	1053	83
Jun 13, 2020	121059	101	886	325
Jun 14, 2020	117623	136	826	228
Jun 15, 2020	114655	107	1045	67
Jun 16, 2020	111793	120	1103	3070
Jun 17, 2020	109280	105	1017	528
Jun 18, 2020	106924	89	1022	1689
Jun 19, 2020	102736	88	993	223
Jun 20, 2020	98293	87	683	308
Jun 21, 2020	94684	80	636	260
Jun 22, 2020	91382	83	899	273
Jun 23, 2020	88682	97	883	709
Jun 24, 2020	85713	101	777	552
Jun 25, 2020	81102	108	726	517
Jun 26, 2020	76773	79	666	314
Jun 27, 2020	73401	73	653	189
Jun 28, 2020	70603	70	449	360
Jun 29, 2020	67489	69	724	481
Jun 30, 2020	64679	81	623	381
Jul 01, 2020	62326	54	652	667
Jul 02, 2020	60145	61	606	476
Jul 03, 2020	57650	48	568	375
Jul 04, 2020	55078	52	399	136
Jul 05, 2020	52403	52	558	310
Jul 06, 2020	49741	54	714	417
Jul 07, 2020	47975	43	609	406
Jul 08, 2020	46470	47	713	747
Jul 09, 2020	45870	61	722	577
Jul 10, 2020	44237	44	568	263
Jul 11, 2020	41862	38	458	347
Jul 12, 2020	39676	32	366	467
Jul 13, 2020	37865	45	740	5
Jul 14, 2020	37102	42	705	-20
Jul 15, 2020	36039	41	777	1472
Jul 16, 2020	35039	21	712	476
Jul 17, 2020	34122	34	582	481
Jul 18, 2020	32850	31	505	255
Jul 19, 2020	31911	24	448	500
Jul 20, 2020	30612	31	830	848
Jul 21, 2020	30010	31	788	611
Jul 22, 2020	29321	34	816	536
Jul 23, 2020	28507	36	808	516
Jul 24, 2020	27683	19	774	596
Jul 25, 2020	26991	23	530	161
Jul 26, 2020	26123	32	563	437
Jul 27, 2020	25472	18	869	608
Jul 28, 2020	25242	26	856	568
Jul 29, 2020	24547	28	1062	601
Jul 30, 2020	24729	17	946	617
Jul 31, 2020	24543	31	698	624
Aug 01, 2020	23848	20	559	266
Aug 02, 2020	23113	17	564	458
Aug 03, 2020	22297	23	1060	388
Aug 04, 2020	22465	27	1066	492
Aug 05, 2020	22392	13	1091	778
Aug 06, 2020	22486	21	1105	800
Aug 07, 2020	22490	24	973	811
Aug 08, 2020	22246	22	710	327
Aug 09, 2020	21770	19	627	534
Aug 10, 2020	21283	25	1499	923
Aug 11, 2020	21899	20	1378	980
Aug 12, 2020	22448	24	1242	1043
Aug 13, 2020	23092	23	1156	939
Aug 14, 2020	23221	18	1185	951
Aug 15, 2020	23169	23	714	481
Aug 16, 2020	23069	15	602	656
Aug 17, 2020	22848	21	1298	1289
Aug 18, 2020	23391	15	1116	1275
Aug 19, 2020	23889	13	1282	1251
Aug 20, 2020	24441	16	1498	-23
Aug 21, 2020	25347	10	1218	2637
Aug 22, 2020	26052	12	842	521
Aug 23, 2020	26269	17	831	960
Aug 24, 2020	26570	9	1300	1575
Aug 25, 2020	27509	22	1270	1505
Aug 26, 2020	28192	16	1388	2115
Aug 27, 2020	28946	12	1591	1890
Aug 28, 2020	29899	12	1632	1903
Aug 29, 2020	31018	8	1230	733
Aug 30, 2020	31421	11	1171	1282
Aug 31, 2020	31935	18	1513	2343
Sep 01, 2020	32917	11	2288	2480
Sep 02, 2020	34810	15	3077	2671
Sep 03, 2020	37354	9	3152	3106
Sep 04, 2020	39874	15	3092	2817
Sep 05, 2020	42275	14	2551	460
Sep 06, 2020	43988	13	2465	2075
Sep 07, 2020	45719	24	3931	3506
Sep 08, 2020	49049	16	3370	4447
Sep 09, 2020	51970	14	3365	4285
Sep 10, 2020	54777	16	3628	3300
Sep 11, 2020	57626	19	3324	4579
Sep 12, 2020	60165	23	2670	1829
Sep 13, 2020	62063	20	2154	3067
Sep 14, 2020	63458	21	3428	5046
Sep 15, 2020	66184	26	3551	5689
Sep 16, 2020	69144	31	4399	6875
Sep 17, 2020	72765	38	4675	4964
Sep 18, 2020	76568	30	4973	5054
Sep 19, 2020	80640	25	4889	2881
Sep 20, 2020	84745	40	5340	4622
Sep 21, 2020	89303	30	5627	6507
Sep 22, 2020	93974	39	6441	6673
Sep 23, 2020	99709	58	7096	8371
Sep 24, 2020	105866	34	7682	7874
Sep 25, 2020	112577	40	7318	6597
Sep 26, 2020	118994	47	6810	3917
Sep 27, 2020	125011	56	7023	6060
Sep 28, 2020	130918	55	9983	7964
Sep 29, 2020	140033	48	10366	9174
Sep 30, 2020	149235	61	12717	8764
Oct 01, 2020	160890	71	13357	9781
Oct 02, 2020	173061	74	13854	6692
Oct 03, 2020	185407	70	11667	5747
Oct 04, 2020	195936	63	11953	7300
Oct 05, 2020	206791	68	16753	9116
Oct 06, 2020	222772	84	17250	9861
Oct 07, 2020	238876	110	18573	12326
Oct 08, 2020	256547	97	18425	12558
Oct 09, 2020	273714	96	15893	9864
Oct 10, 2020	288505	107	12648	4926
Oct 11, 2020	299785	128	12202	9297
Oct 12, 2020	310717	120	19671	12159
Oct 13, 2020	329426	119	19116	15001
Oct 14, 2020	347276	122	19920	14737
Oct 15, 2020	366063	152	18606	13347
Oct 16, 2020	383035	162	17915	10349
Oct 17, 2020	399547	186	14882	3734
Oct 18, 2020	413169	167	14311	7409
Oct 19, 2020	425615	193	25872	11792
Oct 20, 2020	449901	210	25613	12947
Oct 21, 2020	474080	232	25714	11238
Oct 22, 2020	498125	242	23475	15629
Oct 23, 2020	519682	225	21694	11655
Oct 24, 2020	539277	219	16434	4655
Oct 25, 2020	553728	255	15895	9586
Oct 26, 2020	566413	282	26807	17069
Oct 27, 2020	590009	285	24351	16769
Oct 28, 2020	611691	281	23901	18852
Oct 29, 2020	632722	320	23614	24695
Oct 30, 2020	653174	352	22890	14887
Oct 31, 2020	672260	340	16673	7750
Nov 01, 2020	685177	359	15970	11726
Nov 02, 2020	697523	338	31925	20294
Nov 03, 2020	726541	377	25943	28299
Nov 04, 2020	749145	340	24027	23127
Nov 05, 2020	768978	387	24063	29551
Nov 06, 2020	789397	417	23659	27644
Nov 07, 2020	808453	417	18766	12106
Nov 08, 2020	822436	432	20244	18660
Nov 09, 2020	838159	491	31510	24177
Nov 10, 2020	864821	410	27789	38732
Nov 11, 2020	887362	409	27757	39020
Nov 12, 2020	908002	430	24826	41694
Nov 13, 2020	925230	450	24388	48256
Nov 14, 2020	941874	459	18223	24623
Nov 15, 2020	952233	456	16233	30656
Nov 16, 2020	960448	431	26952	33569
Nov 17, 2020	982409	466	23488	44028
Nov 18, 2020	996682	514	21076	45504
Nov 19, 2020	1007397	485	18041	32813
Nov 20, 2020	1014186	485	17100	44868
Nov 21, 2020	1019321	498	12533	50752
Nov 22, 2020	1024612	512	11895	35274
Nov 23, 2020	1028176	507	19024	39288
Nov 24, 2020	1034235	496	16679	55723
Nov 25, 2020	1036273	499	16814	58054
Nov 26, 2020	1038918	461	14761	82743
Nov 27, 2020	1036056	459	14554	37743
Nov 28, 2020	1036643	484	11086	20431
Nov 29, 2020	1032492	501	10852	22123
Nov 30, 2020	1030127	465	18198	35022
Dec 01, 2020	1034084	422	16684	32523
Dec 02, 2020	1033644	414	16676	23708
Dec 03, 2020	1030779	503	15860	31540
Dec 04, 2020	1027734	498	15834	27043
Dec 05, 2020	1027796	407	12893	10358
Dec 06, 2020	1024574	436	13731	13150
Dec 07, 2020	1021056	466	21584	26145
Dec 08, 2020	1023584	472	21065	19445
Dec 09, 2020	1023445	448	21909	21073
Dec 10, 2020	1018751	496	22916	16368
Dec 11, 2020	1020429	491	24390	12033
Dec 12, 2020	1024308	488	19588	3907
Dec 13, 2020	1020737	480	22266	8099
Dec 14, 2020	1023131	506	35197	14852
Dec 15, 2020	1037138	506	34378	12321
Dec 16, 2020	1048733	484	35427	11316
Dec 17, 2020	1059671	567	34437	11432
Dec 18, 2020	1070973	586	36419	8888
Dec 19, 2020	1082922	548	25589	3522
Dec 20, 2020	1086527	550	33066	7129
Dec 21, 2020	1096002	601	48192	12711
Dec 22, 2020	1124848	628	46475	11555
Dec 23, 2020	1151280	629	42936	10157
Dec 24, 2020	1169061	616	32392	11885
Dec 25, 2020	1177110	655	14419	10114
Dec 26, 2020	1168091	691	41110	2944
Dec 27, 2020	1183950	717	48520	12422
Dec 28, 2020	1211412	722	46408	13229
Dec 29, 2020	1235920	712	83090	12527
Dec 30, 2020	1298502	760	72161	12256
Dec 31, 2020	1347486	822	53947	12881
Jan 01, 2021	1367657	807	32482	10592
Jan 02, 2021	1372456	832	61654	2683
Jan 03, 2021	1406937	806	56335	10369
Jan 04, 2021	1437648	896	77972	16111
Jan 05, 2021	1493593	973	66638	16743
Jan 06, 2021	1539713	1013	58784	14328
Jan 07, 2021	1578487	1053	53187	16103
