Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	12	0	0	0
Feb 16, 2020	12	0	0	0
Feb 17, 2020	12	0	0	0
Feb 18, 2020	12	0	0	0
Feb 19, 2020	12	0	0	0
Feb 20, 2020	10	0	20	0
Feb 21, 2020	29	0	0	0
Feb 22, 2020	29	0	0	0
Feb 23, 2020	28	0	18	0
Feb 24, 2020	48	1	4	0
Feb 25, 2020	51	0	3	0
Feb 26, 2020	54	5	0	0
Feb 27, 2020	54	3	3	0
Feb 28, 2020	57	2	5	0
Feb 29, 2020	60	1	7	0
Mar 01, 2020	65	3	25	0
Mar 02, 2020	85	4	24	0
Mar 03, 2020	106	3	34	0
Mar 04, 2020	138	4	63	0
Mar 05, 2020	200	4	98	0
Mar 06, 2020	289	8	116	0
Mar 07, 2020	401	21	106	0
Mar 08, 2020	504	5	163	0
Mar 09, 2020	663	11	290	0
Mar 10, 2020	949	17	307	0
Mar 11, 2020	1248	22	1134	0
Mar 12, 2020	2367	29	741	0
Mar 13, 2020	3102	48	844	1
Mar 14, 2020	3895	58	1039	0
Mar 15, 2020	4905	77	1361	0
Mar 16, 2020	6228	69	2479	0
Mar 17, 2020	8645	170	3765	0
Mar 18, 2020	12359	176	5356	0
Mar 19, 2020	17654	266	6596	0
Mar 20, 2020	24121	311	5862	0
Mar 21, 2020	29866	386	10250	0
Mar 22, 2020	39903	534	11522	0
Mar 23, 2020	51101	651	12923	0
Mar 24, 2020	63616	561	14951	6
Mar 25, 2020	78181	855	18685	0
Mar 26, 2020	94915	1085	20364	0
Mar 27, 2020	113987	1300	20156	0
Mar 28, 2020	131404	1207	20702	0
Mar 29, 2020	148243	1331	24020	0
Mar 30, 2020	169461	1636	26697	0
Mar 31, 2020	188896	1514	27880	49
Apr 01, 2020	210363	1579	28790	0
Apr 02, 2020	232470	2201	34181	0
Apr 03, 2020	258587	2274	33330	60
Apr 04, 2020	284035	2210	27188	18
Apr 05, 2020	301360	2274	31474	28
Apr 06, 2020	324110	2166	34113	29
Apr 07, 2020	348568	1902	32953	31
Apr 08, 2020	372321	1810	34263	62
Apr 09, 2020	395178	2530	34245	34
Apr 10, 2020	418942	2720	30755	57
Apr 11, 2020	435911	2293	26373	64
Apr 12, 2020	448669	2653	27507	48
Apr 13, 2020	460109	1973	29801	131
Apr 14, 2020	477282	1699	32185	50
Apr 15, 2020	495181	2023	30847	106
Apr 16, 2020	504261	2679	33892	92
Apr 17, 2020	524769	2468	29664	115
Apr 18, 2020	533983	2422	26224	59
Apr 19, 2020	543920	2031	28763	93
Apr 20, 2020	560008	2373	27569	164
Apr 21, 2020	571903	1356	31841	216
Apr 22, 2020	592612	1609	34632	227
Apr 23, 2020	614093	2373	34801	204
Apr 24, 2020	612447	2248	35461	182
Apr 25, 2020	628839	2242	27724	139
Apr 26, 2020	644556	1968	24290	201
Apr 27, 2020	654450	1836	27005	189
Apr 28, 2020	669678	1331	30435	370
Apr 29, 2020	687025	1482	31325	211
Apr 30, 2020	703829	2088	35662	255
May 01, 2020	720971	2510	28788	271
May 02, 2020	727308	1999	26610	183
May 03, 2020	737428	1654	24912	150
May 04, 2020	738116	1543	25722	185
May 05, 2020	743870	1417	25926	375
May 06, 2020	750196	1160	29880	207
May 07, 2020	766471	1854	29364	322
May 08, 2020	778228	1687	25506	253
May 09, 2020	779117	1693	20582	261
May 10, 2020	785265	1540	18802	118
May 11, 2020	791059	1303	24419	315
May 12, 2020	780885	1035	23024	279
May 13, 2020	777633	1036	27029	286
May 14, 2020	791576	1542	28488	222
May 15, 2020	801978	1388	24510	257
May 16, 2020	811463	1432	20858	276
May 17, 2020	818668	1285	23052	177
May 18, 2020	825166	1057	22371	275
May 19, 2020	830823	771	23747	280
May 20, 2020	836894	763	27611	269
May 21, 2020	842981	872	25592	279
May 22, 2020	804158	1423	22361	246
May 23, 2020	809646	1192	20097	217
May 24, 2020	812754	1140	18586	82
May 25, 2020	809877	995	18946	744
May 26, 2020	802422	760	21532	310
May 27, 2020	799506	734	24249	230
May 28, 2020	799895	1119	25770	132
May 29, 2020	802988	1052	24538	324
May 30, 2020	805685	1005	20986	255
May 31, 2020	751071	899	18536	178
Jun 01, 2020	747065	730	23985	277
Jun 02, 2020	727945	508	21403	288
Jun 03, 2020	697877	689	23327	213
Jun 04, 2020	693115	940	25671	183
Jun 05, 2020	696318	954	23265	231
Jun 06, 2020	699824	838	20211	214
Jun 07, 2020	700623	772	18644	143
Jun 08, 2020	697855	738	20494	198
Jun 09, 2020	695083	427	22252	215
Jun 10, 2020	685166	509	23815	285
Jun 11, 2020	690367	804	26610	109
Jun 12, 2020	682285	839	26319	299
Jun 13, 2020	688065	660	20183	122
Jun 14, 2020	685711	699	21340	157
Jun 15, 2020	682027	570	27913	271
Jun 16, 2020	689237	368	28453	267
Jun 17, 2020	688115	477	28880	396
Jun 18, 2020	698688	826	35772	381
Jun 19, 2020	698195	808	35287	483
Jun 20, 2020	712507	658	28435	502
Jun 21, 2020	724871	671	32737	393
Jun 22, 2020	731971	564	38244	497
Jun 23, 2020	745470	405	40431	561
Jun 24, 2020	756808	445	43212	520
Jun 25, 2020	781708	696	49128	564
Jun 26, 2020	807749	666	46631	754
Jun 27, 2020	834414	671	42685	576
Jun 28, 2020	858407	655	43032	349
Jun 29, 2020	873625	441	50689	384
Jun 30, 2020	895219	442	55981	510
Jul 01, 2020	928303	527	61627	418
Jul 02, 2020	963523	1027	62425	442
Jul 03, 2020	1002099	973	54047	476
Jul 04, 2020	1035085	1022	46160	619
Jul 05, 2020	1063033	903	51963	220
Jul 06, 2020	1081651	751	60507	272
Jul 07, 2020	1116115	590	67222	640
Jul 08, 2020	1157319	646	65943	599
Jul 09, 2020	1193774	1001	75713	571
Jul 10, 2020	1241595	1058	65377	587
Jul 11, 2020	1282422	1022	61500	513
Jul 12, 2020	1321672	1062	64871	367
Jul 13, 2020	1359374	942	69743	241
Jul 14, 2020	1387362	624	76709	736
Jul 15, 2020	1427235	782	75767	436
Jul 16, 2020	1472683	1301	77894	577
Jul 17, 2020	1495877	1275	67774	419
Jul 18, 2020	1533150	1242	63625	368
Jul 19, 2020	1575448	1306	62112	247
Jul 20, 2020	1592960	1088	70509	232
Jul 21, 2020	1628499	960	75178	368
Jul 22, 2020	1652626	1019	72223	402
Jul 23, 2020	1685528	1485	80577	456
Jul 24, 2020	1716793	1391	73698	422
Jul 25, 2020	1754107	1437	55752	334
Jul 26, 2020	1779413	1474	58608	103
Jul 27, 2020	1793909	1173	68645	187
Jul 28, 2020	1812590	730	69790	147
Jul 29, 2020	1835208	891	69609	453
Jul 30, 2020	1858440	1401	74474	344
Jul 31, 2020	1886739	1421	62384	387
Aug 01, 2020	1909253	1346	49437	335
Aug 02, 2020	1935992	1427	47662	172
Aug 03, 2020	1914842	1119	56703	175
Aug 04, 2020	1931649	784	58763	265
Aug 05, 2020	1936123	741	59490	321
Aug 06, 2020	1951833	1389	65592	399
Aug 07, 2020	1968082	1450	59643	362
Aug 08, 2020	1993630	1352	48164	288
Aug 09, 2020	2013887	1225	49363	186
Aug 10, 2020	2006862	1116	57114	273
Aug 11, 2020	2017953	735	57980	461
Aug 12, 2020	2022544	728	55185	350
Aug 13, 2020	2033460	1286	63330	401
Aug 14, 2020	2052379	1260	56645	491
Aug 15, 2020	2070734	1190	39579	277
Aug 16, 2020	2080799	1204	41141	229
Aug 17, 2020	2068151	1082	45840	284
Aug 18, 2020	2067454	700	47310	456
Aug 19, 2020	2066138	642	46838	382
Aug 20, 2020	2066760	1198	53338	548
Aug 21, 2020	2075139	1283	46044	632
Aug 22, 2020	2087429	1205	36593	522
Aug 23, 2020	2092534	1130	39492	265
Aug 24, 2020	2077348	954	43491	336
Aug 25, 2020	2072093	631	46399	615
Aug 26, 2020	2053329	620	46249	698
Aug 27, 2020	2052208	1098	50213	688
Aug 28, 2020	2061069	1083	45335	751
Aug 29, 2020	2062671	1095	35241	656
Aug 30, 2020	2069082	1036	36914	446
Aug 31, 2020	2071089	794	42739	392
Sep 01, 2020	2062292	603	43937	835
Sep 02, 2020	2050460	515	46004	728
Sep 03, 2020	2053199	653	54235	1227
Sep 04, 2020	2014215	1043	45026	2526
Sep 05, 2020	2019352	989	32462	1910
Sep 06, 2020	2022598	943	25070	857
Sep 07, 2020	2005827	761	29583	797
Sep 08, 2020	1989110	581	37338	1225
Sep 09, 2020	1970785	567	40350	934
Sep 10, 2020	1963401	1074	49091	779
Sep 11, 2020	1962081	964	43404	877
Sep 12, 2020	1965679	870	33078	934
Sep 13, 2020	1965774	833	36154	438
Sep 14, 2020	1941758	709	39734	451
Sep 15, 2020	1934068	444	42673	562
Sep 16, 2020	1918707	481	47286	615
Sep 17, 2020	1921550	893	50127	587
Sep 18, 2020	1925544	965	45738	549
Sep 19, 2020	1931896	872	34414	441
Sep 20, 2020	1932018	869	35620	302
Sep 21, 2020	1913812	712	37951	368
Sep 22, 2020	1898220	489	43890	589
Sep 23, 2020	1884577	533	46418	597
Sep 24, 2020	1884796	877	52077	582
Sep 25, 2020	1885770	842	45231	586
Sep 26, 2020	1879142	845	33836	578
Sep 27, 2020	1875783	836	37534	516
Sep 28, 2020	1858827	786	44480	535
Sep 29, 2020	1857047	434	44219	740
Sep 30, 2020	1847462	564	47368	706
Oct 01, 2020	1852200	785	51979	952
Oct 02, 2020	1855361	905	48374	856
Oct 03, 2020	1859485	879	36175	794
Oct 04, 2020	1860450	888	39728	549
Oct 05, 2020	1850050	732	47085	606
Oct 06, 2020	1853938	467	51348	1188
Oct 07, 2020	1856784	517	60155	1144
Oct 08, 2020	1867389	766	61065	1385
Oct 09, 2020	1882618	907	56885	1107
Oct 10, 2020	1907595	870	43989	1320
Oct 11, 2020	1909557	892	47303	899
Oct 12, 2020	1899984	755	55883	803
Oct 13, 2020	1905405	634	60232	1843
Oct 14, 2020	1912627	613	67108	1741
Oct 15, 2020	1931140	897	72235	2185
Oct 16, 2020	1922381	1170	63480	2389
Oct 17, 2020	1947507	1048	48953	2489
Oct 18, 2020	1966050	863	56160	1363
Oct 19, 2020	1972896	881	66236	1942
