Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	0	0
Feb 22, 2020	0	0	0	0
Feb 23, 2020	0	0	2	0
Feb 24, 2020	0	1	0	0
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	4	0
Feb 28, 2020	0	1	7	0
Feb 29, 2020	0	0	2	0
Mar 01, 2020	0	1	10	0
Mar 02, 2020	0	0	15	0
Mar 03, 2020	1	0	6	0
Mar 04, 2020	1	0	26	0
Mar 05, 2020	1	0	0	0
Mar 06, 2020	1	0	29	0
Mar 07, 2020	1	2	43	0
Mar 08, 2020	1	0	51	0
Mar 09, 2020	1	0	114	0
Mar 10, 2020	1	4	46	0
Mar 11, 2020	1	1	119	0
Mar 12, 2020	3	3	73	0
Mar 13, 2020	2	4	97	1
Mar 14, 2020	2	3	149	0
Mar 15, 2020	2	2	103	0
Mar 16, 2020	6	5	175	0
Mar 17, 2020	12	5	153	0
Mar 18, 2020	14	5	83	0
Mar 19, 2020	23	1	11	0
Mar 20, 2020	37	7	143	0
Mar 21, 2020	43	7	206	0
Mar 22, 2020	69	5	224	0
Mar 23, 2020	69	12	311	0
Mar 24, 2020	98	4	308	6
Mar 25, 2020	139	10	266	0
Mar 26, 2020	190	10	325	0
Mar 27, 2020	300	5	270	0
Mar 28, 2020	342	10	392	0
Mar 29, 2020	459	8	397	0
Mar 30, 2020	527	9	501	0
Mar 31, 2020	618	8	444	49
Apr 01, 2020	761	8	343	0
Apr 02, 2020	856	10	261	0
Apr 03, 2020	1023	10	415	60
Apr 04, 2020	1168	13	467	18
Apr 05, 2020	1243	13	578	28
Apr 06, 2020	1253	6	477	29
Apr 07, 2020	1389	8	478	31
Apr 08, 2020	1581	8	492	62
Apr 09, 2020	1790	11	392	34
Apr 10, 2020	2073	19	401	57
Apr 11, 2020	2359	11	456	64
Apr 12, 2020	2605	11	540	48
Apr 13, 2020	2912	11	455	131
Apr 14, 2020	3155	7	550	50
Apr 15, 2020	3513	9	502	106
Apr 16, 2020	3859	15	418	92
Apr 17, 2020	4291	13	366	115
Apr 18, 2020	4698	11	487	59
Apr 19, 2020	4961	13	507	93
Apr 20, 2020	5200	21	504	164
Apr 21, 2020	5597	15	515	216
Apr 22, 2020	5994	15	522	227
Apr 23, 2020	6479	17	416	204
Apr 24, 2020	6853	17	375	182
Apr 25, 2020	7142	14	402	139
Apr 26, 2020	7568	17	422	201
Apr 27, 2020	7925	20	483	189
Apr 28, 2020	8179	21	528	370
Apr 29, 2020	8513	17	433	211
Apr 30, 2020	8907	21	325	255
May 01, 2020	9176	13	260	271
May 02, 2020	9634	16	354	183
May 03, 2020	10077	15	476	150
May 04, 2020	10409	9	442	185
May 05, 2020	10506	17	432	375
May 06, 2020	10760	12	406	207
May 07, 2020	10955	6	259	322
May 08, 2020	11128	21	339	253
May 09, 2020	11425	14	321	261
May 10, 2020	11781	11	477	118
May 11, 2020	11952	10	429	315
May 12, 2020	12225	17	393	279
May 13, 2020	12270	12	468	286
May 14, 2020	12248	10	340	222
May 15, 2020	12381	9	328	257
May 16, 2020	12455	8	483	276
May 17, 2020	12661	12	588	177
May 18, 2020	12805	15	553	275
May 19, 2020	12696	15	550	280
May 20, 2020	12711	11	485	269
May 21, 2020	12900	9	463	279
May 22, 2020	12975	13	394	246
May 23, 2020	13046	23	525	217
May 24, 2020	13261	21	689	82
May 25, 2020	13388	16	683	744
May 26, 2020	13365	10	753	310
May 27, 2020	13252	9	648	230
May 28, 2020	13274	12	656	132
May 29, 2020	13198	11	666	324
May 30, 2020	13197	31	758	255
May 31, 2020	13426	23	829	178
Jun 01, 2020	13604	19	921	277
Jun 02, 2020	13535	9	841	288
Jun 03, 2020	13648	8	735	213
Jun 04, 2020	13622	10	681	183
Jun 05, 2020	13830	23	833	231
Jun 06, 2020	13925	16	940	214
Jun 07, 2020	14157	16	994	143
Jun 08, 2020	14470	19	1109	198
Jun 09, 2020	14634	24	948	215
Jun 10, 2020	14779	19	917	285
Jun 11, 2020	15075	18	646	109
Jun 12, 2020	15316	12	706	299
Jun 13, 2020	15650	14	664	122
Jun 14, 2020	16183	12	889	157
Jun 15, 2020	16656	27	876	271
Jun 16, 2020	17036	15	914	267
Jun 17, 2020	17348	22	823	396
Jun 18, 2020	17650	13	543	381
Jun 19, 2020	17966	21	564	483
Jun 20, 2020	18425	23	807	502
Jun 21, 2020	19049	21	810	393
Jun 22, 2020	19587	18	819	497
Jun 23, 2020	20083	27	800	561
Jun 24, 2020	20554	11	678	520
Jun 25, 2020	21183	15	612	564
Jun 26, 2020	21732	14	638	754
Jun 27, 2020	22254	15	836	576
Jun 28, 2020	22919	18	848	349
Jun 29, 2020	23454	11	809	384
Jun 30, 2020	24060	21	847	510
Jul 01, 2020	24277	8	731	418
Jul 02, 2020	24649	13	651	442
Jul 03, 2020	24993	20	673	476
Jul 04, 2020	25335	16	829	619
Jul 05, 2020	25875	17	856	220
Jul 06, 2020	26078	20	972	272
Jul 07, 2020	26131	19	1106	640
Jul 08, 2020	25989	15	920	599
Jul 09, 2020	26113	11	807	571
Jul 10, 2020	25898	13	919	587
Jul 11, 2020	25810	21	1022	513
Jul 12, 2020	26020	23	1197	367
Jul 13, 2020	26232	20	1090	241
Jul 14, 2020	26205	16	1172	736
Jul 15, 2020	26049	16	1112	436
Jul 16, 2020	26079	13	990	577
Jul 17, 2020	26039	26	1061	419
Jul 18, 2020	26109	24	1271	368
Jul 19, 2020	26478	31	1318	247
Jul 20, 2020	26556	33	1453	232
Jul 21, 2020	26449	27	1489	368
Jul 22, 2020	26289	18	1199	402
Jul 23, 2020	26300	25	1008	456
Jul 24, 2020	26366	29	1158	422
Jul 25, 2020	26842	19	1433	334
Jul 26, 2020	27437	22	1592	103
Jul 27, 2020	27928	19	1732	187
Jul 28, 2020	28202	33	1847	147
Jul 29, 2020	28553	26	1637	453
Jul 30, 2020	28967	19	1464	344
Jul 31, 2020	29439	27	1616	387
Aug 01, 2020	30039	28	1967	335
Aug 02, 2020	30900	40	2134	172
Aug 03, 2020	31544	23	2106	175
Aug 04, 2020	31842	37	2328	265
Aug 05, 2020	32175	27	1984	321
Aug 06, 2020	32465	22	1802	399
Aug 07, 2020	33354	25	1658	362
Aug 08, 2020	34216	36	1670	288
Aug 09, 2020	35080	49	1974	186
Aug 10, 2020	35676	48	2438	273
Aug 11, 2020	36230	41	2481	461
Aug 12, 2020	36892	35	2096	350
Aug 13, 2020	37932	30	2141	401
Aug 14, 2020	39064	48	2079	491
Aug 15, 2020	40245	51	2504	277
Aug 16, 2020	41464	54	2430	229
Aug 17, 2020	42567	51	2723	284
Aug 18, 2020	43395	50	2836	456
Aug 19, 2020	44522	35	2107	382
Aug 20, 2020	45912	31	2174	548
