Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	2	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	23	0
Feb 18, 2020	0	1	21	0
Feb 19, 2020	0	2	29	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	1	31	0
Feb 22, 2020	0	1	0	0
Feb 23, 2020	0	0	48	0
Feb 24, 2020	0	1	4	0
Feb 25, 2020	0	0	27	0
Feb 26, 2020	0	0	28	0
Feb 27, 2020	0	0	21	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	66	0
Mar 01, 2020	0	1	0	0
Mar 02, 2020	0	0	16	0
Mar 03, 2020	0	1	18	0
Mar 04, 2020	0	0	12	0
Mar 05, 2020	0	0	0	0
Mar 06, 2020	0	0	36	0
Mar 07, 2020	0	1	14	0
Mar 08, 2020	0	0	6	0
Mar 09, 2020	0	2	9	0
Mar 10, 2020	0	0	9	0
Mar 11, 2020	0	0	32	0
Mar 12, 2020	0	0	0	0
Mar 13, 2020	4	0	17	0
Mar 14, 2020	6	2	21	0
Mar 15, 2020	6	1	18	0
Mar 16, 2020	29	0	-29	0
Mar 17, 2020	50	0	9	0
Mar 18, 2020	79	2	1	0
Mar 19, 2020	79	0	9	6
Mar 20, 2020	110	0	0	2
Mar 21, 2020	110	0	15	0
Mar 22, 2020	158	0	0	3
Mar 23, 2020	162	0	18	6
Mar 24, 2020	189	0	8	5
Mar 25, 2020	217	0	6	0
Mar 26, 2020	238	1	0	21
Mar 27, 2020	238	0	14	18
Mar 28, 2020	303	1	0	14
Mar 29, 2020	303	0	33	81
Mar 30, 2020	294	0	10	0
Mar 31, 2020	296	0	14	78
Apr 01, 2020	286	0	5	101
Apr 02, 2020	284	0	18	92
Apr 03, 2020	296	0	5	101
Apr 04, 2020	302	1	4	90
Apr 05, 2020	296	0	3	110
Apr 06, 2020	286	0	2	170
Apr 07, 2020	267	0	13	217
Apr 08, 2020	257	0	3	159
Apr 09, 2020	257	0	11	297
Apr 10, 2020	260	2	10	293
Apr 11, 2020	273	0	8	195
Apr 12, 2020	274	0	5	308
Apr 13, 2020	227	0	4	279
Apr 14, 2020	224	0	6	291
Apr 15, 2020	212	0	2	362
Apr 16, 2020	207	0	5	322
Apr 17, 2020	207	0	8	414
Apr 18, 2020	210	0	1	303
Apr 19, 2020	209	1	1	338
Apr 20, 2020	212	0	3	293
Apr 21, 2020	207	0	1	417
Apr 22, 2020	200	0	8	418
Apr 23, 2020	200	0	3	523
Apr 24, 2020	182	0	4	419
Apr 25, 2020	182	0	11	278
Apr 26, 2020	212	0	5	303
Apr 27, 2020	216	0	18	383
Apr 28, 2020	219	0	2	347
Apr 29, 2020	216	0	14	523
Apr 30, 2020	209	0	8	438
May 01, 2020	196	0	5	554
May 02, 2020	195	0	5	469
May 03, 2020	196	0	2	374
May 04, 2020	193	1	2	295
May 05, 2020	185	0	1	479
May 06, 2020	170	0	2	475
May 07, 2020	175	0	4	496
May 08, 2020	170	1	2	507
May 09, 2020	171	0	11	445
May 10, 2020	171	0	0	493
May 11, 2020	169	0	0	520
May 12, 2020	166	1	1	740
May 13, 2020	155	0	1	790
May 14, 2020	158	0	0	959
May 15, 2020	160	0	0	1400
May 16, 2020	156	1	0	1199
May 17, 2020	150	0	1	952
May 18, 2020	148	0	0	1342
May 19, 2020	139	1	1	997
May 20, 2020	138	0	0	1488
May 21, 2020	135	0	1	1350
May 22, 2020	130	0	3	1204
May 23, 2020	126	0	6	1602
May 24, 2020	129	1	17	1154
May 25, 2020	136	0	6	1613
May 26, 2020	129	0	3	2625
May 27, 2020	131	0	17	2610
May 28, 2020	135	0	5	2448
May 29, 2020	114	1	12	1833
May 30, 2020	117	1	5	2296
May 31, 2020	116	0	5	2219
Jun 01, 2020	113	0	3	0
Jun 02, 2020	112	0	4	41227
Jun 03, 2020	107	1	7	4575
Jun 04, 2020	100	0	4	4883
Jun 05, 2020	90	1	5	0
Jun 06, 2020	96	0	3	0
Jun 07, 2020	92	0	1	0
Jun 08, 2020	84	0	4	0
Jun 09, 2020	69	1	5	0
Jun 10, 2020	66	0	9	30813
Jun 11, 2020	52	0	3	4914
Jun 12, 2020	44	0	8	5938
Jun 13, 2020	40	0	1	6408
Jun 14, 2020	37	1	1	5088
Jun 15, 2020	33	0	2	7440
Jun 16, 2020	24	0	8	0
Jun 17, 2020	15	0	12	30209
Jun 18, 2020	12	0	17	5050
Jun 19, 2020	15	0	11	5118
Jun 20, 2020	19	1	7	3960
Jun 21, 2020	37	0	10	4828
Jun 22, 2020	42	1	10	5173
Jun 23, 2020	45	0	32	4523
Jun 24, 2020	61	0	21	4234
Jun 25, 2020	63	0	24	4104
Jun 26, 2020	75	0	25	4624
Jun 27, 2020	80	0	8	4155
Jun 28, 2020	84	0	18	3944
Jun 29, 2020	83	0	10	5075
Jun 30, 2020	85	0	16	4214
Jul 01, 2020	90	0	19	3804
Jul 02, 2020	91	1	6	4096
Jul 03, 2020	87	0	21	4102
Jul 04, 2020	87	0	14	3587
Jul 05, 2020	79	2	8	3339
Jul 06, 2020	73	0	5	3874
Jul 07, 2020	71	0	9	3458
Jul 08, 2020	74	1	9	3219
Jul 09, 2020	70	1	9	3131
Jul 10, 2020	70	0	7	3061
Jul 11, 2020	60	0	10	2788
Jul 12, 2020	60	0	18	2654
