Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	1	0	0
Feb 16, 2020	0	0	15	0
Feb 17, 2020	0	1	0	0
Feb 18, 2020	0	0	16	0
Feb 19, 2020	0	0	3	0
Feb 20, 2020	0	0	6	0
Feb 21, 2020	0	2	23	0
Feb 22, 2020	0	2	5	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	14	0
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	22	0
Feb 27, 2020	0	2	1	0
Feb 28, 2020	0	0	6	0
Feb 29, 2020	0	0	6	0
Mar 01, 2020	0	0	0	0
Mar 02, 2020	0	0	16	0
Mar 03, 2020	0	0	0	0
Mar 04, 2020	0	0	9	0
Mar 05, 2020	0	0	2	0
Mar 06, 2020	0	0	7	0
Mar 07, 2020	0	0	2	0
Mar 08, 2020	0	0	4	0
Mar 09, 2020	0	0	6	0
Mar 10, 2020	0	1	1	0
Mar 11, 2020	0	0	1	0
Mar 12, 2020	0	0	4	0
Mar 13, 2020	2	0	4	0
Mar 14, 2020	2	0	0	0
Mar 15, 2020	17	0	6	0
Mar 16, 2020	17	0	8	0
Mar 17, 2020	33	0	0	0
Mar 18, 2020	36	0	8	0
Mar 19, 2020	42	0	7	6
Mar 20, 2020	64	0	0	2
Mar 21, 2020	55	0	23	0
Mar 22, 2020	55	0	29	3
Mar 23, 2020	69	0	29	6
Mar 24, 2020	69	0	3	5
Mar 25, 2020	91	0	10	0
Mar 26, 2020	91	0	0	21
Mar 27, 2020	80	0	20	18
Mar 28, 2020	78	0	5	14
Mar 29, 2020	77	0	2	81
Mar 30, 2020	93	0	4	0
Mar 31, 2020	93	0	0	78
Apr 01, 2020	98	0	2	101
Apr 02, 2020	98	0	2	92
Apr 03, 2020	94	0	2	101
Apr 04, 2020	96	0	10	90
Apr 05, 2020	100	0	12	110
Apr 06, 2020	93	0	0	170
Apr 07, 2020	94	0	4	217
Apr 08, 2020	93	0	18	159
Apr 09, 2020	78	0	2	297
Apr 10, 2020	82	0	7	293
Apr 11, 2020	73	0	14	195
Apr 12, 2020	79	0	12	308
Apr 13, 2020	70	0	8	279
Apr 14, 2020	70	0	1	291
Apr 15, 2020	77	1	17	362
Apr 16, 2020	84	0	15	322
Apr 17, 2020	84	0	4	414
Apr 18, 2020	101	3	45	303
Apr 19, 2020	130	0	37	338
Apr 20, 2020	158	0	77	293
Apr 21, 2020	156	3	0	417
Apr 22, 2020	166	1	206	418
Apr 23, 2020	166	2	58	523
Apr 24, 2020	176	0	62	419
Apr 25, 2020	181	0	66	278
Apr 26, 2020	178	2	111	303
Apr 27, 2020	177	0	56	383
Apr 28, 2020	177	0	34	347
Apr 29, 2020	179	1	34	523
Apr 30, 2020	181	0	80	438
May 01, 2020	183	0	45	554
May 02, 2020	187	0	89	469
May 03, 2020	199	1	51	374
May 04, 2020	189	0	152	295
May 05, 2020	193	2	157	479
May 06, 2020	193	1	133	475
May 07, 2020	186	1	135	496
May 08, 2020	188	0	58	507
May 09, 2020	202	2	171	445
May 10, 2020	211	3	61	493
