Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	9	0	0	0
Feb 16, 2020	9	0	0	1
Feb 17, 2020	9	0	0	2
Feb 18, 2020	9	0	0	0
Feb 19, 2020	2	0	0	0
Feb 20, 2020	2	0	0	2
Feb 21, 2020	1	0	0	1
Feb 22, 2020	1	0	0	1
Feb 23, 2020	1	0	0	-6
Feb 24, 2020	1	0	0	7
Feb 25, 2020	0	0	0	0
Feb 26, 2020	0	0	0	6
Feb 27, 2020	0	0	0	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	0	2
Mar 01, 2020	0	0	0	0
Mar 02, 2020	0	0	0	0
Mar 03, 2020	0	0	0	0
Mar 04, 2020	0	0	0	1
Mar 05, 2020	0	0	1	0
Mar 06, 2020	1	0	3	0
Mar 07, 2020	4	0	11	2
Mar 08, 2020	15	0	1	0
Mar 09, 2020	16	0	3	0
Mar 10, 2020	19	0	5	1
Mar 11, 2020	24	0	5	1
Mar 12, 2020	29	0	0	0
Mar 13, 2020	29	0	9	0
Mar 14, 2020	38	0	4	0
Mar 15, 2020	42	0	4	0
Mar 16, 2020	46	0	5	6
Mar 17, 2020	51	0	11	1
Mar 18, 2020	62	0	9	0
Mar 19, 2020	71	0	6	0
Mar 20, 2020	76	0	3	2
Mar 21, 2020	79	0	23	0
Mar 22, 2020	102	0	11	8
Mar 23, 2020	113	0	12	0
Mar 24, 2020	125	0	17	18
Mar 25, 2020	142	0	5	18
Mar 26, 2020	144	0	11	9
Mar 27, 2020	155	0	12	0
Mar 28, 2020	166	0	25	132
Mar 29, 2020	187	0	11	0
Mar 30, 2020	168	0	8	113
Mar 31, 2020	173	0	6	163
Apr 01, 2020	174	0	18	0
Apr 02, 2020	180	0	6	107
Apr 03, 2020	176	0	1	62
Apr 04, 2020	172	0	1	119
Apr 05, 2020	173	0	4	0
Apr 06, 2020	172	0	6	95
Apr 07, 2020	150	0	0	0
Apr 08, 2020	147	0	4	52
Apr 09, 2020	149	0	2	73
Apr 10, 2020	135	0	1	122
Apr 11, 2020	136	0	4	83
Apr 12, 2020	140	0	3	70
Apr 13, 2020	141	0	1	117
Apr 14, 2020	119	0	2	92
Apr 15, 2020	119	0	0	96
Apr 16, 2020	113	0	0	96
Apr 17, 2020	92	0	0	98
Apr 18, 2020	89	0	0	141
Apr 19, 2020	88	0	0	71
Apr 20, 2020	76	0	0	109
Apr 21, 2020	74	0	0	244
Apr 22, 2020	74	0	0	78
Apr 23, 2020	74	0	2	60
Apr 24, 2020	72	0	0	57
Apr 25, 2020	72	0	0	47
Apr 26, 2020	72	0	0	15
Apr 27, 2020	72	0	0	43
Apr 28, 2020	72	0	0	13
Apr 29, 2020	70	0	0	22
Apr 30, 2020	70	0	0	32
May 01, 2020	70	0	0	13
May 02, 2020	70	0	1	7
