Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	0	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	1	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	9	0
Feb 22, 2020	0	1	4	0
Feb 23, 2020	0	0	6	0
Feb 24, 2020	0	0	6	0
Feb 25, 2020	0	0	1	0
Feb 26, 2020	0	0	6	0
Feb 27, 2020	0	0	1	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	0	3	0
Mar 01, 2020	0	0	0	0
Mar 02, 2020	0	1	0	0
Mar 03, 2020	0	0	0	0
Mar 04, 2020	0	0	0	0
Mar 05, 2020	0	0	0	0
Mar 06, 2020	0	0	0	0
Mar 07, 2020	0	0	0	0
Mar 08, 2020	0	0	1	0
Mar 09, 2020	0	0	0	0
Mar 10, 2020	0	0	3	0
Mar 11, 2020	0	0	2	0
Mar 12, 2020	0	0	0	0
Mar 13, 2020	0	0	3	0
Mar 14, 2020	0	0	0	0
Mar 15, 2020	0	0	4	0
Mar 16, 2020	0	0	5	0
Mar 17, 2020	0	0	4	0
Mar 18, 2020	2	0	4	0
Mar 19, 2020	2	1	5	6
Mar 20, 2020	2	0	4	2
Mar 21, 2020	2	0	2	0
Mar 22, 2020	3	3	8	3
Mar 23, 2020	3	0	0	6
Mar 24, 2020	3	0	4	5
Mar 25, 2020	12	0	1	0
Mar 26, 2020	16	0	6	21
Mar 27, 2020	22	0	2	18
Mar 28, 2020	28	0	9	14
Mar 29, 2020	29	0	3	81
Mar 30, 2020	35	0	10	0
Mar 31, 2020	36	0	5	78
Apr 01, 2020	36	0	13	101
Apr 02, 2020	38	0	1	92
Apr 03, 2020	36	0	8	101
Apr 04, 2020	36	0	7	90
Apr 05, 2020	35	0	14	110
Apr 06, 2020	33	0	85	170
Apr 07, 2020	31	0	15	217
Apr 08, 2020	31	0	0	159
Apr 09, 2020	14	0	174	297
Apr 10, 2020	13	0	5	293
Apr 11, 2020	10	0	208	195
Apr 12, 2020	11	0	0	308
Apr 13, 2020	13	0	25	279
Apr 14, 2020	13	0	74	291
Apr 15, 2020	16	0	8	362
Apr 16, 2020	16	0	11	322
Apr 17, 2020	20	0	60	414
Apr 18, 2020	22	0	34	303
Apr 19, 2020	25	0	54	338
Apr 20, 2020	27	0	0	293
Apr 21, 2020	32	3	0	417
Apr 22, 2020	36	0	0	418
Apr 23, 2020	36	0	0	523
Apr 24, 2020	44	0	137	419
Apr 25, 2020	44	0	0	278
Apr 26, 2020	43	0	0	303
Apr 27, 2020	44	1	0	383
Apr 28, 2020	50	0	0	347
Apr 29, 2020	40	0	32	523
Apr 30, 2020	48	0	0	438
May 01, 2020	32	0	0	554
May 02, 2020	41	0	0	469
May 03, 2020	43	0	0	374
May 04, 2020	56	0	0	295
May 05, 2020	43	0	0	479
May 06, 2020	41	7	111	475
May 07, 2020	46	0	0	496
May 08, 2020	52	0	0	507
May 09, 2020	133	3	0	445
May 10, 2020	143	0	121	493
May 11, 2020	143	1	36	520
May 12, 2020	317	0	1	740
May 13, 2020	315	2	24	790
May 14, 2020	523	6	23	959
May 15, 2020	523	0	7	1400
May 16, 2020	489	0	4	1199
May 17, 2020	558	0	14	952
May 18, 2020	562	0	0	1342
May 19, 2020	573	0	0	997
May 20, 2020	628	12	0	1488
May 21, 2020	557	1	47	1350
May 22, 2020	577	0	12	1204
May 23, 2020	577	0	8	1602
May 24, 2020	577	15	34	1154
May 25, 2020	577	25	0	1613
May 26, 2020	577	0	26	2625
May 27, 2020	271	1	11	2610
May 28, 2020	271	1	26	2448
May 29, 2020	271	0	38	1833
May 30, 2020	271	24	0	2296
May 31, 2020	271	11	0	2219
Jun 01, 2020	170	0	0	0
Jun 02, 2020	170	8	0	41227
Jun 03, 2020	170	0	0	4575
Jun 04, 2020	170	0	263	4883
Jun 05, 2020	170	6	42	0
Jun 06, 2020	170	2	69	0
Jun 07, 2020	170	3	29	0
Jun 08, 2020	278	0	99	0
Jun 09, 2020	278	1	71	0
Jun 10, 2020	278	2	78	30813
Jun 11, 2020	278	4	80	4914
Jun 12, 2020	207	3	138	5938
Jun 13, 2020	243	2	119	6408
Jun 14, 2020	225	14	190	5088
Jun 15, 2020	229	5	170	7440
Jun 16, 2020	252	1	168	0
Jun 17, 2020	259	2	178	30209
Jun 18, 2020	261	3	60	5050
Jun 19, 2020	225	23	197	5118
Jun 20, 2020	225	1	206	3960
Jun 21, 2020	225	3	67	4828
Jun 22, 2020	225	32	472	5173
Jun 23, 2020	246	6	153	4523
Jun 24, 2020	248	0	71	4234
Jun 25, 2020	256	5	450	4104
Jun 26, 2020	277	0	247	4624
Jun 27, 2020	277	10	306	4155
Jun 28, 2020	224	4	408	3944
Jun 29, 2020	235	0	265	5075
Jun 30, 2020	241	4	119	4214
Jul 01, 2020	254	0	233	3804
Jul 02, 2020	254	5	213	4096
Jul 03, 2020	254	5	229	4102
Jul 04, 2020	254	3	142	3587
Jul 05, 2020	254	2	322	3339
Jul 06, 2020	254	1	417	3874
Jul 07, 2020	505	0	182	3458
Jul 08, 2020	480	2	125	3219
Jul 09, 2020	549	0	65	3131
Jul 10, 2020	574	0	226	3061
Jul 11, 2020	658	1	162	2788
Jul 12, 2020	688	1	358	2654
Jul 13, 2020	766	3	165	2664
Jul 14, 2020	845	1	157	2865
Jul 15, 2020	975	2	496	3216
Jul 16, 2020	1094	2	142	1513
Jul 17, 2020	1251	0	237	2635
Jul 18, 2020	1398	0	154	2345
Jul 19, 2020	1531	0	255	2198
Jul 20, 2020	1578	3	204	2824
Jul 21, 2020	1638	0	251	2425
Jul 22, 2020	1778	2	66	2190
Jul 23, 2020	1978	3	137	2265
Jul 24, 2020	2043	0	91	2473
Jul 25, 2020	2236	6	225	1926
Jul 26, 2020	1992	6	178	1859
Jul 27, 2020	1597	0	123	2378
Jul 28, 2020	1665	8	123	2225
Jul 29, 2020	1818	4	72	2071
Jul 30, 2020	2117	2	284	1699
Jul 31, 2020	2009	0	34	2180
Aug 01, 2020	1933	3	108	1904
Aug 02, 2020	1684	1	116	1565
Aug 03, 2020	1708	0	70	2354
Aug 04, 2020	1511	1	67	1961
Aug 05, 2020	1179	0	60	1877
Aug 06, 2020	1179	1	116	2000
Aug 07, 2020	1022	0	160	1965
Aug 08, 2020	1269	0	102	1693
Aug 09, 2020	1152	0	109	1516
Aug 10, 2020	1167	0	143	2199
Aug 11, 2020	1030	0	73	1878
Aug 12, 2020	1022	0	181	1712
Aug 13, 2020	1016	0	99	1906
Aug 14, 2020	1179	1	68	1914
Aug 15, 2020	861	0	41	1877
Aug 16, 2020	671	0	94	1557
Aug 17, 2020	1000	0	48	2055
Aug 18, 2020	941	1	61	1845
Aug 19, 2020	823	1	44	1778
Aug 20, 2020	972	0	214	1834
Aug 21, 2020	1224	0	54	1833
Aug 22, 2020	610	1	48	1449
Aug 23, 2020	860	1	24	1285
