Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	0	0	2	0
Feb 16, 2020	0	0	0	0
Feb 17, 2020	0	0	0	0
Feb 18, 2020	0	0	0	0
Feb 19, 2020	0	0	0	0
Feb 20, 2020	0	0	0	0
Feb 21, 2020	0	0	2	0
Feb 22, 2020	0	0	2	0
Feb 23, 2020	0	0	0	0
Feb 24, 2020	0	0	0	0
Feb 25, 2020	0	0	1	0
Feb 26, 2020	0	0	0	0
Feb 27, 2020	0	0	1	0
Feb 28, 2020	0	0	0	0
Feb 29, 2020	0	1	0	0
Mar 01, 2020	0	1	0	0
Mar 02, 2020	0	0	1	0
Mar 03, 2020	0	0	1	0
Mar 04, 2020	0	0	0	0
Mar 05, 2020	0	0	0	0
Mar 06, 2020	0	0	2	0
Mar 07, 2020	0	0	1	0
Mar 08, 2020	0	0	0	0
Mar 09, 2020	0	0	3	0
Mar 10, 2020	0	0	0	0
Mar 11, 2020	0	0	6	0
Mar 12, 2020	0	0	0	0
Mar 13, 2020	0	0	1	0
Mar 14, 2020	0	0	1	0
Mar 15, 2020	0	1	0	0
Mar 16, 2020	0	0	0	0
Mar 17, 2020	0	0	3	0
Mar 18, 2020	0	0	0	0
Mar 19, 2020	0	0	0	6
Mar 20, 2020	1	0	1	2
Mar 21, 2020	3	0	2	0
Mar 22, 2020	3	0	0	3
Mar 23, 2020	2	0	0	6
Mar 24, 2020	2	0	1	5
Mar 25, 2020	2	0	0	0
Mar 26, 2020	2	0	2	21
Mar 27, 2020	4	0	0	18
Mar 28, 2020	6	0	0	14
Mar 29, 2020	6	0	0	81
Mar 30, 2020	6	0	0	0
Mar 31, 2020	7	0	0	78
Apr 01, 2020	7	0	0	101
Apr 02, 2020	8	0	0	92
Apr 03, 2020	8	0	0	101
Apr 04, 2020	8	0	1	90
Apr 05, 2020	8	0	1	110
Apr 06, 2020	9	0	0	170
Apr 07, 2020	9	0	0	217
Apr 08, 2020	8	0	1	159
Apr 09, 2020	8	0	0	297
Apr 10, 2020	10	0	5	293
Apr 11, 2020	11	0	0	195
Apr 12, 2020	11	0	2	308
Apr 13, 2020	14	0	2	279
Apr 14, 2020	14	0	0	291
Apr 15, 2020	19	0	2	362
Apr 16, 2020	19	0	3	322
Apr 17, 2020	19	0	0	414
Apr 18, 2020	20	0	5	303
Apr 19, 2020	20	0	0	338
Apr 20, 2020	20	0	0	293
Apr 21, 2020	23	0	0	417
Apr 22, 2020	22	0	76	418
Apr 23, 2020	22	0	17	523
Apr 24, 2020	23	0	0	419
Apr 25, 2020	25	0	25	278
Apr 26, 2020	25	0	4	303
Apr 27, 2020	22	0	25	383
Apr 28, 2020	23	0	3	347
Apr 29, 2020	23	0	16	523
Apr 30, 2020	25	0	15	438
May 01, 2020	25	0	28	554
May 02, 2020	25	0	14	469
May 03, 2020	25	0	3	374
May 04, 2020	25	0	5	295
May 05, 2020	25	0	27	479
May 06, 2020	25	0	6	475
May 07, 2020	25	0	12	496
May 08, 2020	21	0	11	507
May 09, 2020	22	0	13	445
May 10, 2020	23	0	27	493
May 11, 2020	23	0	4	520
May 12, 2020	23	0	4	740
May 13, 2020	21	0	10	790
May 14, 2020	20	2	62	959
May 15, 2020	25	0	16	1400
May 16, 2020	25	0	0	1199
May 17, 2020	23	0	10	952
May 18, 2020	24	0	23	1342
May 19, 2020	24	0	13	997
May 20, 2020	26	0	5	1488
May 21, 2020	29	0	21	1350
May 22, 2020	29	1	10	1204
May 23, 2020	34	0	6	1602
May 24, 2020	27	0	0	1154
May 25, 2020	27	0	7	1613
May 26, 2020	27	0	17	2625
May 27, 2020	103	1	14	2610
May 28, 2020	117	0	12	2448
May 29, 2020	117	1	8	1833
May 30, 2020	141	0	73	2296
May 31, 2020	145	0	18	2219
Jun 01, 2020	170	3	18	0
Jun 02, 2020	173	1	53	41227
Jun 03, 2020	189	5	98	4575
Jun 04, 2020	202	0	41	4883
Jun 05, 2020	228	1	16	0
Jun 06, 2020	242	1	40	0
Jun 07, 2020	244	0	3	0
Jun 08, 2020	237	3	49	0
Jun 09, 2020	264	1	30	0
Jun 10, 2020	267	1	25	30813
Jun 11, 2020	277	0	273	4914
Jun 12, 2020	288	1	58	5938
Jun 13, 2020	298	0	58	6408
Jun 14, 2020	325	0	133	5088
Jun 15, 2020	329	2	102	7440
Jun 16, 2020	325	4	107	0
Jun 17, 2020	334	2	214	30209
Jun 18, 2020	396	0	90	5050
Jun 19, 2020	412	2	172	5118
Jun 20, 2020	412	4	138	3960
Jun 21, 2020	419	1	78	4828
Jun 22, 2020	442	12	192	5173
Jun 23, 2020	455	14	113	4523
Jun 24, 2020	401	2	62	4234
Jun 25, 2020	417	1	213	4104
Jun 26, 2020	420	10	77	4624
Jun 27, 2020	419	1	490	4155
Jun 28, 2020	419	0	262	3944
Jun 29, 2020	415	3	154	5075
Jun 30, 2020	422	18	146	4214
Jul 01, 2020	432	0	0	3804
Jul 02, 2020	437	2	118	4096
Jul 03, 2020	442	0	112	4102
Jul 04, 2020	509	0	124	3587
Jul 05, 2020	527	18	74	3339
Jul 06, 2020	528	6	99	3874
Jul 07, 2020	577	0	70	3458
Jul 08, 2020	670	2	75	3219
Jul 09, 2020	608	2	97	3131
Jul 10, 2020	609	3	82	3061
Jul 11, 2020	644	6	104	2788
Jul 12, 2020	639	9	85	2654
